"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48906","Forua","4.94","4.92","5.07","8.29","8.21"
"48035","Fruiz","13.33","7.09","7.35","7.43","7.46"
"20038","Gabiria","8.13","8.44","8.93","11.52","11.66"
"20037","Gaintza","15.62","15.15","15.15","14.71","15.15"
"48036","Galdakao","2.97","2.91","2.91","1.37","1.19"
"48037","Galdames","13.13","13.14","12.30","13.27","13.53"
"48038","Gamiz-Fika","3.01","3.03","1.56","1.56","1.55"
"48039","Garai","12.38","12.58","12.46","12.94","14.34"
"48040","Gatika","4.46","4.49","7.89","2.73","2.82"
"48041","Gautegiz Arteaga","5.75","4.57","4.60","4.59","4.54"
"20907","Gaztelu","6.02","6.33","6.02","5.88","6.58"
"48046","Gernika-Lumo","3.56","3.57","3.45","3.15","2.76"
"20039","Getaria","6.73","6.47","6.58","6.33","6.34"
"48044","Getxo","2.33","2.39","2.17","1.52","1.46"
"48047","Gizaburuaga","14.93","10.20","16.48","11.49","11.17"
"48042","Gordexola","8.62","8.62","7.04","6.09","5.66"
"48043","Gorliz","5.45","4.81","5.30","3.48","3.37"
"48045","Güeñes","4.79","4.88","4.94","4.35","4.05"
"01056","Harana/Valle de Arana","13.51","13.11","12.86","12.78","12.16"
"20040","Hernani","3.58","1.87","1.87","2.62","2.64"
"20041","Hernialde","14.37","11.56","14.58","14.97","14.97"
"20036","Hondarribia","4.43","4.07","4.11","3.94","4.11"
"20042","Ibarra","4.14","4.15","3.72","3.04","3.02"
"48048","Ibarrangelu","13.03","12.99","13.09","10.12","10.45"
"20043","Idiazabal","3.98","3.98","4.07","5.49",NA
"48094","Igorre","5.90","5.90","5.53","2.70","2.46"
"20044","Ikaztegieta","10.64","10.75","4.36","4.40","4.42"
"20045","Irun","3.64","3.64","3.55","3.46","3.55"
"20046","Irura","6.98","7.26","4.94","5.51","5.87"
"01027","Iruraiz-Gauna","23.48","24.34","24.69","22.77","23.21"
"01901","Iruña Oka/Iruña de Oca","13.12","4.50","4.67","5.03","5.33"
"48049","Ispaster","11.98","12.08","10.57","11.13","11.33"
"20047","Itsasondo","9.08","9.24","6.34","8.20","6.77"
"48910","Iurreta","6.82","5.99","5.71","5.46",NA
"48050","Izurtza","11.11","11.63","11.54","8.16","7.97"
"48022","Karrantza Harana/Valle de Carranza","6.46","6.41","6.36","6.39","5.64"
"48907","Kortezubi","14.32","9.71","9.78","7.44","7.65"
"01019","Kripan","20.51","15.46","16.30","10.87","10.64"
"01020","Kuartango","11.27","11.20","11.20","11.17","10.99"
"01028","Labastida/Bastida","8.16","6.69","3.99","2.71","2.79"
"01030","Lagrán","11.24","10.75","5.26","10.31","10.47"
"01031","Laguardia","10.58","9.27","3.98","1.35","1.35"
"01032","Lanciego/Lantziego","8.62","10.34","4.39","2.91","2.97"
"48051","Lanestosa","7.35","6.97","6.99","6.80","7.17"
"01902","Lantarón","17.76","17.31","14.93","13.49","13.58"
"01033","Lapuebla de Labarca","6.93","6.84","6.59",NA,NA
"48052","Larrabetzu","3.65","3.74","3.80","3.44","3.01"
"20048","Larraul","7.91","8.03","4.18","4.81","5.65"
"20902","Lasarte-Oria","2.63","2.08","2.49","2.16","2.16"
"01036","Laudio/Llodio","2.88","2.73","2.41","2.72","2.71"
"48053","Laukiz","6.31","6.47","7.58","7.02","7.15"
"20049","Lazkao","5.80","5.79","5.68","5.77","5.86"
"20050","Leaburu","20.25","20.73","7.73","15.62",NA
"20051","Legazpi","3.90","3.90","3.90","4.29",NA
"20052","Legorreta","7.35","7.36","7.60","6.95","7.07"
"01058","Legutio","7.91","6.70","8.10","3.78","3.96"
"20068","Leintz-Gatzaga","15.27","15.04","15.21","16.00","15.56"
"48054","Leioa","4.63","4.49","4.30","4.28","3.54"
"48057","Lekeitio","5.38","5.35","3.47","3.51","3.28"
"48055","Lemoa","6.20","6.33","6.74","4.72","4.26"
"48056","Lemoiz","20.53","20.43","8.73","16.15","16.84"
"01034","Leza","8.47","13.33","8.85","8.70","9.01"
"48081","Lezama","4.80","4.87","4.09","5.39","5.10"
"20053","Lezo","5.01","3.66","3.65","1.01","1.01"
"20054","Lizartza","6.05","6.24","4.78","4.92","4.98"
"48903","Loiu","9.12","10.04","10.25","10.09","9.09"
"48058","Mallabia","11.00","11.04","8.54","8.61","8.81"
"48060","Markina-Xemein","5.25","5.26","5.62","3.42","3.50"
"48061","Maruri-Jatabe","10.04","14.48","15.20","15.35","15.42"
"48059","Mañaria","15.41","10.08","10.55","14.80","10.89"
"20901","Mendaro","5.27","5.24","5.44","4.07","4.14"
"48062","Mendata","10.26","10.47","10.78","10.72","10.70"
"48063","Mendexa","13.92","9.15","9.66","9.73","10.00"
"48064","Meñaka","5.70","5.90","6.02","3.10","3.15"
"01039","Moreda de Álava / Moreda Araba","12.05","11.49","11.24","10.91","10.95"
"48066","Morga","9.55","7.33","7.52","10.13","7.43"
"48068","Mundaka","3.61","1.55","1.61","2.69","2.66"
"48069","Mungia","6.35","6.48","6.75","5.91","5.23"
"48007","Munitibar-Arbatzegi Gerrikaitz-","7.23","4.84","7.59","7.87","7.89"
"48908","Murueta","16.23","12.90","16.18","13.11","0.00"
"48071","Muskiz","4.77","4.85","4.94","4.90","4.97"
"20057","Mutiloa","32.26","34.04","34.04","9.17","10.00"
"20056","Mutriku","5.58","5.22","5.23","4.27","4.38"
"48067","Muxika","8.19","7.47","7.60","7.98",NA
"48909","Nabarniz","21.37","21.65","22.22","17.39","8.97"
"01041","Navaridas","4.74","4.78","9.13","4.59","4.74"
"20063","Oiartzun","7.64","3.84","3.76","3.67","3.56"
"01042","Okondo","11.65","9.20","6.51","7.52","7.75"
"20058","Olaberria","12.66","12.40","9.31","9.62","9.78"
"48073","Ondarroa","4.29","4.26","4.34","2.43","2.37"
"20076","Ordizia","3.69","3.70","3.69","4.39","4.46"
"20905","Orendain","10.47","10.93","11.11","5.71","5.88"
"20060","Orexa","8.13","8.26","8.26","8.70","10.42"
"20061","Orio","10.49","10.74","10.87","10.75","10.65"
"20062","Ormaiztegi","4.55","4.54","4.59","3.84","3.94"
"48075","Orozko","6.65","6.64","7.14","5.97","5.99"
"48083","Ortuella","3.32","3.17","3.29","2.91","2.55"
"48072","Otxandio","3.94","4.06","4.10","4.23","4.52"
"01043","Oyón-Oion","3.39","6.67","6.77","6.64","6.83"
"20059","Oñati","4.65","4.68","4.62","14.22","14.24"
"20064","Pasaia","2.75","2.25","2.25","1.93","1.92"
"01044","Peñacerrada-Urizaharra","16.89","17.24","22.14","15.81","15.38"
"48077","Plentzia","5.36","4.42","5.07","4.90","4.67"
"48078","Portugalete","2.26","2.04","2.03","1.80","1.69"
"01047","Ribera Baja/Erribera Beitia","12.28","11.69","10.23","6.19","6.38"
"01051","Salvatierra/Agurain","5.34","5.42","5.62","2.72","2.85"
"01052","Samaniego","9.12","18.81","9.12","12.78","12.99"
"01053","San Millán/Donemiliaga","17.93","25.32","25.17","22.85","23.74"
"48082","Santurtzi","2.72","2.30","2.28","2.34","2.20"
"20070","Segura","4.12","4.31","4.36","3.03","3.20"
"48084","Sestao","2.22","2.21","2.19","2.15","2.13"
