"Udalerri kodea","Udalerria","2005"
"01039","Moreda de Álava / Moreda Araba","50.31"
"48066","Morga","54.47"
"48068","Mundaka","34.61"
"48069","Mungia","43.73"
"48007","Munitibar-Arbatzegi Gerrikaitz-","42.00"
"48908","Murueta","45.02"
"48071","Muskiz","47.61"
"20057","Mutiloa","61.30"
"20056","Mutriku","36.10"
"48067","Muxika","65.29"
"48909","Nabarniz","41.51"
"01041","Navaridas","57.08"
"20063","Oiartzun","48.60"
"01042","Okondo","65.17"
"20058","Olaberria","30.10"
"48073","Ondarroa","40.00"
"20076","Ordizia","51.70"
"20905","Orendain","38.20"
"20060","Orexa","45.47"
"20061","Orio","41.10"
"20062","Ormaiztegi","56.40"
"48075","Orozko","48.71"
"48083","Ortuella","37.64"
"48072","Otxandio","44.45"
"01043","Oyón-Oion","41.03"
"20059","Oñati","31.77"
"20064","Pasaia","55.00"
"01044","Peñacerrada-Urizaharra","80.37"
"48077","Plentzia","69.62"
"48078","Portugalete","35.43"
"01047","Ribera Baja/Erribera Beitia","52.47"
"01051","Salvatierra/Agurain","52.03"
"01052","Samaniego","60.16"
"01053","San Millán/Donemiliaga","52.03"
"48082","Santurtzi","33.76"
"20070","Segura","33.60"
"48084","Sestao","37.68"
"48904","Sondika","52.71"
"48085","Sopela","50.06"
"48086","Sopuerta","47.61"
"20065","Soraluze-Placencia de las Armas","35.80"
"48076","Sukarrieta","41.51"
"20071","Tolosa","52.97"
"48087","Trucios-Turtzioz","34.77"
"48088","Ubide","65.44"
"48065","Ugao-Miraballes","38.78"
"48089","Urduliz","44.90"
"48074","Urduña/Orduña","33.11"
"01054","Urkabustaiz","42.84"
"20072","Urnieta","35.20"
"20077","Urretxu","17.10"
"20073","Usurbil","50.00"
"01055","Valdegovía/Gaubea","63.19"
"48080","Valle de Trápaga-Trapagaran","52.00"
"20075","Villabona","52.75"
"01057","Villabuena de Álava/Eskuernaga","59.24"
"01059","Vitoria-Gasteiz","26.26"
"01060","Yécora/Iekora","51.04"
"48095","Zaldibar","18.38"
"20078","Zaldibia","38.96"
"01061","Zalduondo","52.03"
"48096","Zalla","57.11"
"01062","Zambrana","58.98"
"48905","Zamudio","37.88"
"48097","Zaratamo","61.00"
"20079","Zarautz","35.70"
"48024","Zeanuri","30.65"
"48025","Zeberio","45.57"
"20025","Zegama","42.50"
"20026","Zerain","30.30"
"20027","Zestoa","49.40"
"48913","Zierbena","64.74"
"01018","Zigoitia","39.36"
"48915","Ziortza-Bolibar","40.00"
"20028","Zizurkil","52.75"
"01063","Zuia","45.75"
"20081","Zumaia","25.10"
"20080","Zumarraga","15.20"
