"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","33.49","30.16","30.36","23.04","15.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20001","Abaltzisketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.40","8.47","8.56","11.59","11.72"
"20002","Aduna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20016","Aia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.78","14.08","14.29","14.46"
"20003","Aizarnazabal","0.00","0.00","0.00","22.66","23.53","24.39","24.96","25.68","0.00","0.00","0.00","0.00"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","0.00","0.00","0.00","0.00","4.65","4.88","5.16","5.49","5.90","0.00","0.00","0.00"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","17.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.41","4.45","4.48","4.48"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66.12"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.84","11.33","11.73","23.81","24.17"
"20008","Amezketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","11.66","17.26","17.40","17.59","18.60","17.11","11.52","18.00","18.26","7.80","6.55","4.64"
"48004","Amoroto","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01002","Amurrio","18.32","18.40","16.86","16.90","8.99","9.86","9.96","12.54","12.66","12.74","5.32","2.81"
"20009","Andoain","0.00","0.00","0.00","6.84","9.77","18.25","34.25","48.28","41.51","38.65","29.97","13.74"
"20010","Anoeta","14.92","15.09","0.00","31.61","31.76","31.96","32.19","32.46","0.00","0.00","0.00","0.00"
"20011","Antzuola","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","0.00","0.00","29.35","29.35","29.43","29.45","29.43","0.00","0.00","0.00","0.00","0.00"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","0.00","37.59","38.10","38.86","39.89","40.65","0.00","0.00","0.00","0.00","0.00","11.59"
"20013","Aretxabaleta","14.50","14.62","14.75","14.88","10.50","3.02","3.06","3.10","3.14","0.00","0.00","0.00"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.42","16.57"
"48009","Arrankudiaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20055","Arrasate/Mondragón","6.35","6.36","21.02","23.76","23.74","23.67","23.54","8.94","0.00","0.00","0.00","0.00"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48010","Arrieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","0.00","0.00","0.00","8.20","8.22","8.26","11.70","17.05","8.82","14.25","31.70","28.78"
"48023","Artea","1.29","1.30","10.43","10.51","39.19","40.33","41.31","32.02","32.69","48.05","48.34","45.80"
"48008","Artzentales","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01004","Artziniega","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
