"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","0.00","0.00","0.00","0.00","0.00"
"20001","Abaltzisketa","3.07","3.16","3.15","3.29","3.39"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.62","0.62","0.42","0.31","0.31"
"20002","Aduna","2.33","2.49","2.66","2.70","2.72"
"20016","Aia","0.50","0.51","0.54","0.55","0.56"
"20003","Aizarnazabal","1.41","1.49","1.53","1.57","1.63"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","3.17","3.21","3.18","3.31","3.41"
"20005","Alegia","1.14","1.15","0.58","0.59","0.60"
"01001","Alegría-Dulantzi","0.74","0.76","0.41","0.43","0.46"
"20006","Alkiza","2.83","2.80","2.88","3.11","3.12"
"48912","Alonsotegi","0.71","0.71","0.71","0.00","0.00"
"20906","Altzaga","6.29","6.21","6.37","6.41","6.54"
"20007","Altzo","2.51","2.49","2.50","2.64","2.79"
"20008","Amezketa","3.02","3.03","3.05","2.10","2.05"
"48003","Amorebieta-Etxano","0.28","0.28","0.28","0.23","0.23"
"48004","Amoroto","2.42","2.45","2.48","2.44","0.00"
"01002","Amurrio","0.60","0.50",NA,"0.00","0.00"
"20009","Andoain","0.34","0.34","0.42","0.42","0.43"
"20010","Anoeta","0.54","0.54","0.55","0.56",NA
"20011","Antzuola","0.46","0.46","0.47","0.47","0.48"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","4.59","5.03","5.32","5.43","5.78"
"01003","Aramaio","1.34","1.33","0.00","0.00","0.00"
"48006","Arantzazu","3.08","0.00","0.00","0.00","0.00"
"48093","Areatza","0.88","0.00","0.00","0.00","0.00"
"20013","Aretxabaleta","0.30","0.30","0.30","0.30","0.31"
"01006","Armiñón","4.44","4.83","0.00","0.00","0.00"
"01037","Arraia-Maeztu","4.24","4.23","0.00","0.00","0.00"
"48009","Arrankudiaga","0.00",NA,NA,"0.00","0.00"
"20055","Arrasate/Mondragón","0.27","0.27","0.27","0.27","0.27"
"48914","Arratzu","5.28","5.33","2.79","5.67","0.00"
"01008","Arratzua-Ubarrundia","1.10","1.09","0.00","0.00","0.00"
"48010","Arrieta","1.79","1.81","1.81","1.81","1.85"
"48011","Arrigorriaga","0.32","0.32","0.32","0.32","0.33"
"48023","Artea","1.32","1.33","0.00","0.00","0.00"
"48008","Artzentales","0.00","0.00","0.00","1.46","0.00"
"01004","Artziniega","1.10","0.55","0.57","0.59","0.61"
"01009","Asparrena","1.19","1.22","0.00","0.00","0.00"
"20014","Asteasu","0.68","0.68","0.67","0.69","0.70"
"20903","Astigarraga","0.64","0.64","0.66","0.46","0.47"
"20015","Ataun","0.60","0.60","0.60","0.63","0.64"
"48091","Atxondo","0.70","0.00","0.69","0.00","0.00"
"48070","Aulesti","0.00","0.00","0.00","0.00","0.00"
"01010","Ayala/Aiara","1.06","0.72","0.00","0.00","0.00"
"20017","Azkoitia","0.35","0.36","0.36","0.37","0.38"
"20018","Azpeitia","0.35","0.35","0.35","0.36","0.22"
"01049","Añana","5.71","5.68","0.00","0.00","0.00"
"48012","Bakio","0.81","0.86","0.89","0.91","0.95"
"20904","Baliarrain","8.33","9.09","10.00","10.99","10.53"
"48090","Balmaseda","0.27","0.28","0.28","0.28","0.28"
"48013","Barakaldo","0.23","0.20","0.21","0.00","0.00"
"48014","Barrika","1.34","0.69","0.71","1.42","1.45"
"01013","Barrundia","1.10","1.14","0.00","0.00","0.00"
"48015","Basauri","0.28","0.28","0.28","0.28","0.23"
"01011","Baños de Ebro/Mañueta","3.04","3.00","0.00","0.00","0.00"
"20019","Beasain","0.44","0.44","0.44","0.08","0.08"
"48092","Bedia","1.04","0.00","0.00",NA,NA
"20020","Beizama","5.46","5.56","5.56","5.49","5.88"
"20021","Belauntza","3.38","3.42","3.13","3.27","3.26"
"48016","Berango","0.30","0.30","0.31","0.32","0.33"
"01014","Berantevilla","4.01","4.57","0.00","0.00","0.00"
"20022","Berastegi","0.95","0.97","0.97","1.00","1.00"
"20074","Bergara","0.34","0.34","0.34","0.27","0.27"
"48017","Bermeo","0.00","0.00","0.00","0.00","0.00"
"01016","Bernedo","1.74","1.74","0.00","0.00","0.00"
"48018","Berriatua","0.78","0.76","0.78","0.81","0.00"
"48019","Berriz","0.41","0.00","0.00",NA,NA
"20023","Berrobi","1.74","1.67","1.70","1.70","1.70"
"20024","Bidania-Goiatz","1.88","1.96","2.03","2.07","2.16"
"48020","Bilbao","0.06","0.03","0.00","0.06","0.06"
"48021","Busturia","1.70","0.00","0.00","0.00","0.00"
"01017","Campezo/Kanpezu","1.78","1.79","0.00","0.00","0.00"
"20029","Deba","0.74","0.74","0.74","0.56","0.56"
"48901","Derio","0.56","0.57","0.57","0.39","0.39"
"48026","Dima","0.76","0.00","0.00","0.00","0.00"
"20069","Donostia / San Sebastián","0.26","0.25","0.16","0.08","0.08"
"48027","Durango","0.21","0.21","0.11","0.15","0.00"
"48028","Ea","0.00","0.00","0.00","0.00","0.00"
"20030","Eibar","0.40","0.40","0.40","0.29","0.22"
"48031","Elantxobe","0.00","0.00","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","0.00","1.85","0.00","0.00","0.00"
"01022","Elciego","1.90","0.00","0.00","0.00","0.00"
"20031","Elduain","4.26","4.20","4.24","4.41","4.65"
"20033","Elgeta","0.93","0.94","0.95","0.95","0.98"
"20032","Elgoibar","0.44","0.45","0.45","0.28","0.19"
"48032","Elorrio","0.00",NA,NA,"0.00","0.00"
"01023","Elvillar/Bilar","2.72","2.71","0.00","0.00","0.00"
"48902","Erandio","0.00","0.00","0.00","0.00","0.00"
"48033","Ereño","0.00","0.00","0.00","0.00","0.00"
"48034","Ermua","0.37","0.37","0.31","0.31","0.31"
"20067","Errenteria","0.33","0.41","0.42","0.42","0.37"
"20066","Errezil","1.62","1.59","1.60","1.58","1.64"
"01046","Erriberagoitia/Ribera Alta","1.33","1.37","0.00","0.00","0.00"
"48079","Errigoiti","0.00","0.00","0.00","0.00","0.00"
"20034","Eskoriatza","0.25","0.25","0.25","0.25","0.25"
"48029","Etxebarri","0.31","0.22","0.23","0.25","0.00"
"48030","Etxebarria","1.22","1.20","1.20","1.22","1.23"
"20035","Ezkio-Itsaso","1.64","1.70",NA,"1.75",NA
"48906","Forua","0.99","0.98","1.01","1.04","1.03"
"48035","Fruiz","2.22","0.00","0.00","0.00","0.00"
"20038","Gabiria","2.03","2.11","2.23","2.30","2.33"
"20037","Gaintza","7.81","7.58","7.58","7.35","7.58"
"48036","Galdakao","0.21","0.21","0.21","0.41","0.00"
"48037","Galdames","1.19","0.00","0.00","0.00","0.00"
"48038","Gamiz-Fika","0.00","0.00","0.00","0.00","0.00"
"48039","Garai","3.10","3.14","3.12","0.00","0.00"
"48040","Gatika","0.64","0.64","0.66","0.00","0.00"
"48041","Gautegiz Arteaga","0.00","0.00","0.00","0.00","0.00"
"20907","Gaztelu","6.02","6.33","6.02","5.88","6.58"
"48046","Gernika-Lumo","0.18","0.37","0.37","0.37","0.38"
"20039","Getaria","0.75","0.76","0.77","0.79","0.79"
"48044","Getxo","0.22","0.22","0.22","0.20","0.19"
"48047","Gizaburuaga","4.98","5.10","0.00","5.75","0.00"
"48042","Gordexola","0.57","0.57","0.59","0.61","0.00"
"48043","Gorliz","0.36","0.37","0.38","0.39","0.00"
"48045","Güeñes","1.24","0.32","0.00","0.32","0.00"
"01056","Harana/Valle de Arana","3.38","3.28","0.00","0.00","0.00"
"20040","Hernani","0.10","0.10","0.10","0.10","0.26"
"20041","Hernialde","2.87","2.89","2.92","2.99","2.99"
"20036","Hondarribia","0.49","0.49","0.49","0.49","0.50"
"20042","Ibarra","0.46","0.46","0.47","0.47","0.47"
