"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","781.40","628.76","503.68","498.11","628.52","579.13","403.71","702.33","595.06","515.66","510.22"
"20001","Abaltzisketa","1207.95","689.97","448.48","296.64","396.28","373.46","389.41","527.33","401.93","680.00","831.03"
"48002","Abanto y Ciérvana-Abanto Zierbena","388.40","404.06","287.36","279.05","297.60","295.30","275.24","346.24","358.83","327.19","361.13"
"20002","Aduna","1136.17","949.04","978.45","657.14","849.56","836.73","518.07","1005.36","1227.88","1365.85","1094.44"
"20016","Aia","377.75","237.16","197.65","177.66","216.98","315.21","170.95","207.93","220.96","245.42","281.50"
"20003","Aizarnazabal","234.84","170.32","157.83","162.76","277.33","226.07","332.37","462.85","465.94","643.77","522.51"
"48911","Ajangiz","801.72","561.82","601.75","403.08","779.48","803.96","698.66","700.45","867.12","769.23","740.91"
"20004","Albiztur","104.62","89.51","98.46","115.99","124.20","468.15","312.10","353.90","275.97","355.70","334.46"
"20005","Alegia","223.50","195.07","136.57","124.15","169.58","100.91","111.94","168.33","210.12","250.74","157.32"
"01001","Alegría-Dulantzi","230.05","289.60","250.86","245.99","217.56","225.08","212.22","336.13","370.08","358.26","324.21"
"20006","Alkiza","191.67","163.04","177.72","196.81","101.65","163.38","166.20","202.99","211.94","327.10","311.90"
"48912","Alonsotegi","254.46","304.21","229.28","184.77","200.14","295.68","200.92","457.06","268.63","253.67","380.83"
"20906","Altzaga","45.98","76.02","103.03","49.08","68.32","31.25","56.25","25.48","82.80","129.03","64.94"
"20007","Altzo","303.18","124.07","170.37","217.07","230.39","226.37","207.50","220.51","289.74","430.89","406.69"
"20008","Amezketa","108.51","81.68","74.23","82.14","90.44","116.09","69.56","119.71","67.08","163.90","82.30"
"48003","Amorebieta-Etxano","671.77","578.30","541.28","503.55","513.01","574.08","456.16","554.24","570.06","513.94","501.71"
"48004","Amoroto","212.92","181.16","156.10","178.22","198.04","289.86","231.14","606.88","1098.28","714.64","1724.49"
"01002","Amurrio","995.42","822.07","564.73","637.60","582.37","447.67","308.64","512.51","454.34","442.29","408.66"
"20009","Andoain","235.78","219.14","186.44","157.81","180.53","191.13","168.29","221.56","237.83","278.32","254.31"
"20010","Anoeta","191.10","443.93","311.21","312.26","323.87","306.90","316.05","247.36","222.35","318.18","258.84"
"20011","Antzuola","180.78","115.37","135.10","128.26","185.61","187.21","58.66","225.50","150.49","142.58","140.50"
