"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","25.60","25.45","25.35","26.70","25.06","25.41","26.90","28.81","27.39","27.48","28.95","27.70","26.50"
"20001","Abaltzisketa","2.00","2.00","2.00","2.00","3.00","3.00","NA","1.50","NA","1.67","1.50","1.50","NA"
"48002","Abanto y Ciérvana-Abanto Zierbena","15.40","15.32","15.49","16.04","13.82","14.50","17.12","18.26","17.70","16.76","16.87","18.49","17.53"
"20002","Aduna","10.97","11.77","11.69","11.84","12.03","12.41","14.47","15.31","15.23","14.84","15.29","15.94","15.66"
"20016","Aia","7.98","7.61","8.13","9.61","9.56","9.29","11.27","11.52","12.47","13.72","13.82","12.75","12.60"
"20003","Aizarnazabal","14.71","13.81","16.13","17.88","22.06","27.85","31.08","28.79","31.15","32.54","34.25","34.42","36.18"
"48911","Ajangiz","309.33","306.33","296.00","461.00","274.33","252.67","291.67","307.00","296.33","296.67","349.67","224.50","210.00"
"20004","Albiztur","5.50","11.00","12.43","13.43","15.33","12.50","12.25","12.12","11.62","10.89","9.88","10.00","9.88"
"20005","Alegia","7.65","8.71","8.83","8.91","6.87","6.70","7.57","7.54","7.86","8.25","8.59","7.83","8.44"
"01001","Alegría-Dulantzi","11.57","12.29","11.57","14.36","13.88","15.27","15.96","14.27","13.76","13.96","13.76","14.43","16.67"
"20006","Alkiza","1.50","1.50","1.50","1.50","3.67","3.00","1.40","2.33","3.33","1.00","1.00","4.00","4.00"
"48912","Alonsotegi","9.68","10.24","9.61","10.28","11.76","14.07","13.92","13.07","12.30","12.19","11.44","11.21","11.65"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","2.00","NA","NA","NA","NA","NA","NA","NA"
"20007","Altzo","20.44","18.67","19.56","18.89","19.30","17.90","19.67","19.91","18.27","12.58","12.25","19.38","26.57"
"20008","Amezketa","14.79","15.92","15.00","17.08","16.46","15.85","15.54","14.57","15.31","16.27","16.36","15.33","15.33"
"48003","Amorebieta-Etxano","18.48","19.30","20.03","19.55","17.49","20.39","22.35","22.66","21.13","20.50","19.35","21.00","21.55"
"48004","Amoroto","70.50","69.00","66.50","69.50","66.50","64.00","55.33","57.00","43.67","43.00","34.25","34.00","34.75"
"01002","Amurrio","35.60","35.28","38.51","37.25","34.25","32.29","34.69","35.97","36.36","37.56","37.10","36.08","33.78"
"20009","Andoain","14.82","15.14","15.96","15.85","15.83","15.69","18.00","17.16","15.78","16.73","15.77","15.83","17.04"
"20010","Anoeta","14.90","16.44","17.65","17.53","15.00","15.39","15.53","14.21","14.19","16.87","14.27","17.35","17.29"
"20011","Antzuola","65.22","48.00","46.77","38.29","35.61","37.18","33.14","30.81","33.60","37.33","35.35","32.86","33.00"
"48005","Arakaldo","14.00","21.33","19.00","23.25","24.75","26.50","28.75","31.50","40.67","40.33","38.00","36.00","42.00"
"20012","Arama","4.00","3.00","4.00","4.00","1.75","1.75","1.75","1.75","NA","1.75","1.75","2.50","2.50"
"01003","Aramaio","7.75","7.75","7.88","8.88","8.88","8.22","9.88","8.00","8.78","9.78","8.00","8.10","7.50"
"48006","Arantzazu","24.00","23.00","12.00","12.50","19.00","19.00","24.00","9.67","14.25","6.33","6.33","6.00","11.67"
"48093","Areatza","6.50","4.33","4.33","4.33","4.50","4.75","3.80","5.33","9.00","8.50","6.00","6.00","6.00"
"20013","Aretxabaleta","27.29","25.87","23.73","22.69","21.63","20.66","23.39","27.97","28.42","28.35","28.64","28.85","30.06"
"01006","Armiñón","26.25","26.00","26.75","27.50","28.00","27.75","30.75","29.50","29.75","37.33","34.00","37.25","42.00"
"01037","Arraia-Maeztu","8.14","9.17","8.71","7.75","8.67","6.78","7.33","8.11","8.44","8.56","10.38","10.71","11.29"
"48009","Arrankudiaga","9.44","10.93","11.34","11.10","10.71","10.24","11.86","12.36","13.79","14.58","15.00","15.05","15.02"
