"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","15659.76","14822.02","13844.72","14200.73","15940.16","14413.87","11838.62","16261.56","16864.45","16960.31","16792.56","17149.12","16239.96","15159.56"
"20001","Abaltzisketa","175.70","134.34","0.00","182.67","184.01","94.31","19.37","25.19","2.79","0.92","6.72","6.09","12.32","48.58"
"48002","Abanto y Ciérvana-Abanto Zierbena","3961.88","4090.01","3279.64","3292.91","2889.41","2589.34","2282.28","2929.05","3050.46","2835.60","2860.61","2802.26","2288.62","2124.47"
"20002","Aduna","21372.13","20740.10","21696.71","22522.82","23512.11","23175.80","22501.42","28927.76","30294.87","30565.11","29644.04","33570.25","29426.76","30770.42"
"20016","Aia","3413.54","3698.91","3814.92","3952.00","4154.45","3986.85","3924.92","5773.16","6913.31","6771.59","7265.86","7141.49","6594.85","6110.87"
"20003","Aizarnazabal","98823.09","103999.33","109819.54","91106.48","118606.08","125026.54","105103.74","134178.81","138503.24","138046.76","152048.49","157482.96","154467.16","165252.82"
"48911","Ajangiz","57111.82","53637.88","54468.99","55654.44","58045.54","55298.28","46313.60","51491.93","208.43","141.38","167.93","200.40","213.43","205.45"
"20004","Albiztur","2516.86","2070.14","6379.88","7844.33","8212.80","8274.00","8410.57","8805.38","8592.54","8688.68","8451.44","6593.10","7110.04","6631.00"
"20005","Alegia","8385.52","7991.78","8329.29","7923.36","8718.47","8642.92","7770.73","8799.60","10024.33","8399.49","7506.87","7257.70","5336.83","5956.46"
"01001","Alegría-Dulantzi","3393.85","3900.99","3955.64","4146.06","4208.96","4000.26","4632.01","5972.29","5587.08","4535.00","4236.17","4289.59","2957.14","4452.88"
"20006","Alkiza","6.10","7.13","1.28","58.11","293.86","366.14","390.14","475.78","552.16","606.42","605.98","699.09","740.24","572.38"
"48912","Alonsotegi","1664.30","3487.79","3373.15","3873.52","4581.48","5934.53","6508.70","8477.18","7348.55","7558.81","7333.93","7958.41","8300.60","7748.73"
"20906","Altzaga","9.37","6.75","0.00","1.63","1.85","0.01","0.00",NA,"0.03","14.31","12.94","0.07","2.45","37.02"
