"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","51.00","50.31","52.64","53.20","54.05","52.21","48.74","46.21","46.16","52.17","51.61","63.11"
"20001","Abaltzisketa","41.62","41.62","58.21","54.48","53.79","53.79","53.79","53.98","49.83","46.37","42.56","53.67"
"48002","Abanto y Ciérvana-Abanto Zierbena","35.11","35.11","33.89","43.17","43.14","37.22","35.14","35.14","34.62","34.13","33.68","38.37"
"20002","Aduna","29.84","29.84","29.38","25.41","25.41","25.41","25.41","25.30","26.14","23.10","26.25","26.08"
"20016","Aia","27.93","27.93","27.25","25.14","25.14","25.12","25.00","31.17","37.20","34.47","30.50","30.50"
"20003","Aizarnazabal","36.75","36.75","38.18","31.96","31.74","31.74","31.52","31.59","31.59","31.59","26.80","26.80"
"48911","Ajangiz","6.09","6.09","6.20","5.48","5.48","5.37","5.37","5.37","4.10","3.78","3.46","3.35"
"20004","Albiztur","26.67","26.67","27.06","47.18","46.41","46.41","45.90","46.37","41.45","41.19","41.19","49.69"
"20005","Alegia","81.18","81.18","84.83","84.83","79.69","79.49","79.49","78.24","78.24","74.67","74.57","78.66"
"01001","Alegría-Dulantzi","13.11","13.11","13.34","12.69","12.69","12.68","12.68","11.96","24.47","23.43","23.22","20.33"
"20006","Alkiza","45.00","45.00","44.74","36.30","35.22","35.00","30.00","28.94","28.94","26.78","23.33","23.33"
"48912","Alonsotegi","40.65","40.65","39.81","29.60","29.60","29.60","29.60","29.36","29.22","28.22","29.14","28.85"
"20906","Altzaga","18.68","18.68","18.68","18.68","18.68","18.68","17.11","16.97","16.97","16.71","16.45","16.19"
"20007","Altzo","30.00","28.49","27.96","27.96","28.49","28.49","28.49","28.38","28.20","28.20","28.20","28.20"
"20008","Amezketa","35.79","35.73","36.40","33.11","33.11","33.11","32.66","9.79","22.96","35.66","35.66","35.66"
"48003","Amorebieta-Etxano","38.50","38.28","37.91","38.53","38.14","37.99","37.22","36.81","37.60","37.45","51.43","55.11"
"48004","Amoroto","12.28","11.71","10.95","13.79","13.79","13.48","13.48","13.53","14.37","14.37","14.37","15.13"
"01002","Amurrio","22.33","22.14","22.25","22.08","21.63","21.42","21.20","21.09","20.35","20.34","20.23","19.66"
"20009","Andoain","61.22","60.46","60.97","60.97","82.37","82.37","82.18","82.07","82.06","72.30","71.41","78.27"
"20010","Anoeta","65.04","65.04","65.04","50.24","57.32","57.32","57.32","57.43","57.43","57.43","57.43","57.43"
"20011","Antzuola","50.00","50.00","50.68","51.77","51.77","51.77","52.68","52.71","50.46","49.43","47.28","45.92"
"48005","Arakaldo","10.00","10.41","11.00","10.85","10.85","10.85","10.85","10.22","9.66","6.57","6.57","10.20"
"20012","Arama","31.92","31.92","31.92","36.09","36.09","36.09","36.09","36.56","36.56","35.24","29.07","29.07"
"01003","Aramaio","9.34","8.47","8.45","4.76","4.76","4.76","4.73","4.62","4.60","3.76","3.76","3.73"
"48006","Arantzazu","8.05","8.05","8.14","7.90","7.86","7.70","7.66","7.58","6.97","5.86","5.86","16.13"
"48093","Areatza","31.19","29.33","29.79","29.79","29.79","29.79","29.74","29.07","26.61","27.73","26.63","26.53"
"20013","Aretxabaleta","42.17","42.14","43.46","46.56","46.51","46.51","46.51","44.60","39.73","39.25","69.82","67.24"
"01006","Armiñón","6.94","6.94","6.90","7.13","7.08","7.08","7.13","7.14","6.59","5.85","5.06","5.06"
"01037","Arraia-Maeztu","8.14","8.14","8.10","8.26","8.23","8.16","8.12","7.87","7.82","7.52","7.45","7.37"
