"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","0.58","0.58","0.58","0.35","0.35"
"20001","Abaltzisketa","1.03","1.03","1.03","1.04","1.04"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.24","0.24","0.24","0.14","0.14"
"20002","Aduna","0.69","0.69","0.76","0.86","1.07"
"20016","Aia","0.67","1.46","0.25","0.12","0.12"
"20003","Aizarnazabal","0.41","0.41","1.22","1.22","1.22"
"48911","Ajangiz","0.12","0.12","0.12","0.12","0.64"
"20004","Albiztur","1.07","1.07","1.07","0.00","0.00"
"20005","Alegia","0.61","0.61",NA,"0.61","0.61"
"01001","Alegría-Dulantzi","0.31","0.23","0.29","0.29","0.30"
"20006","Alkiza","6.25","0.25","0.00","0.00","0.00"
"48912","Alonsotegi","1.00","1.00","0.99","0.99","1.01"
"20906","Altzaga","1.58","1.58","1.58","1.57","1.57"
"20007","Altzo","0.55","0.55","0.55","0.55","0.55"
"20008","Amezketa","0.30","0.30","0.30","0.36","0.36"
"48003","Amorebieta-Etxano","0.91","0.83","0.71","0.72","0.65"
"48004","Amoroto","0.75","0.75","0.75","0.75","0.75"
"01002","Amurrio","0.53","0.52","0.50","0.47",NA
"20009","Andoain","1.07","1.07","1.05","0.50","0.50"
"20010","Anoeta","0.25","0.45","0.45","0.45","0.45"
"20011","Antzuola","0.44","0.44","0.44","0.44","0.43"
"48005","Arakaldo","0.57","0.85","0.71","0.71","0.71"
"20012","Arama","1.21","1.21","0.91","0.61","0.61"
"01003","Aramaio","4.77","4.77","4.77","4.52","4.52"
"48006","Arantzazu","0.61","0.61","0.61","0.72","0.72"
"48093","Areatza","0.10","0.10","0.10","0.12","0.12"
"20013","Aretxabaleta","0.49","0.69","0.67","0.59","0.59"
"01006","Armiñón","0.29","0.25","0.26","0.31","0.31"
"01037","Arraia-Maeztu","1.00","1.00","1.00","0.91","0.96"
"48009","Arrankudiaga","0.28","0.15",NA,"0.15","0.15"
"20055","Arrasate/Mondragón","0.63","0.63","0.59","0.59","0.55"
"48914","Arratzu","0.45","0.90","0.75","0.15","0.15"
"01008","Arratzua-Ubarrundia","0.53","0.53","0.53","0.53","0.53"
"48010","Arrieta","0.28","0.28","0.28","0.28","0.28"
"48011","Arrigorriaga","1.69","1.69","1.69","1.43","1.16"
"48023","Artea","1.96","1.98","0.27","0.27","0.27"
"48008","Artzentales","0.45","0.45","0.38","0.38","0.38"
"01004","Artziniega","0.32","0.32","0.32","0.19","0.19"
"01009","Asparrena","0.68","0.40","0.31","0.31","0.42"
"20014","Asteasu","0.98","0.98","1.92","1.93","1.93"
"20903","Astigarraga","1.98","2.11","2.14","1.31","1.30"
"20015","Ataun","1.40","1.31","1.17","1.17","1.17"
"48091","Atxondo","0.12","0.12","0.09","0.09","0.09"
"48070","Aulesti","0.30","0.30","0.30","0.10","0.10"
"01010","Ayala/Aiara","0.51","0.53","0.53","0.53","0.53"
"20017","Azkoitia","0.59","0.59","0.59","0.57","0.54"
"20018","Azpeitia","0.47","0.47","0.60","0.57","0.53"
"01049","Añana","0.66","0.66","0.66","0.66","0.66"
"48012","Bakio","0.61","0.46","0.46","0.46","0.46"
"20904","Baliarrain","2.50","2.50","2.38","1.95","1.95"
"48090","Balmaseda","0.45","0.34","0.34","0.32","0.32"
"48013","Barakaldo","0.52","0.40","0.40","0.36","0.32"
"48014","Barrika","3.94","3.94","3.43","2.23","2.50"
"01013","Barrundia","0.21","0.21","0.21","0.20","0.20"
"48015","Basauri","1.64","1.65","1.61","1.59","1.58"
"01011","Baños de Ebro/Mañueta","0.30","0.31","0.31","0.41","0.41"
"20019","Beasain","0.52","0.52","0.44","0.44","0.44"
"48092","Bedia","1.07","1.07","0.38","0.39","0.30"
"20020","Beizama","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.12","0.28","0.27","0.27","0.24"
"48016","Berango","0.73","0.69","0.69",NA,NA
"01014","Berantevilla","0.40","0.40","0.40","0.40",NA
"20022","Berastegi","2.84","3.04","2.84","2.83","2.59"
"20074","Bergara","0.46","0.46","0.67","0.68","0.65"
"48017","Bermeo","0.77","0.77","0.79","0.79","0.82"
"01016","Bernedo","0.16","0.14","0.14","0.14","0.40"
"48018","Berriatua","0.09","0.09","0.09","0.10","0.10"
"48019","Berriz","2.09","0.76","0.76","0.92","0.87"
"20023","Berrobi","3.11","3.11","0.42","0.42","0.42"
"20024","Bidania-Goiatz","1.22","0.87","0.87","0.87","0.87"
"48020","Bilbao","0.59","0.57","0.53","0.46","0.44"
"48021","Busturia","0.65","0.65","0.63","0.63","0.63"
"01017","Campezo/Kanpezu","0.45","0.45","0.45","0.52","0.52"
"20029","Deba","0.05","0.29","0.31","0.31","0.13"
"48901","Derio","0.17","0.17","0.17","0.17","0.06"
"48026","Dima","0.53","0.53","3.92","3.53","4.57"
"20069","Donostia / San Sebastián","1.61","1.54","1.39","1.37","1.36"
"48027","Durango","0.59","0.56","0.05","0.05","0.04"
"48028","Ea","7.07","7.07","5.85","5.91","5.42"
"20030","Eibar","0.40","0.41","0.18","0.19","0.22"
"48031","Elantxobe","6.90","5.95","1.67","3.11","3.11"
"01021","Elburgo/Burgelu","0.24","0.30","0.24","0.28","0.28"
"01022","Elciego","0.58","0.58","0.58","0.97","1.00"
"20031","Elduain","0.23","0.34","0.34","0.34","0.28"
"20033","Elgeta","0.51","0.51","0.51","0.38","0.34"
"20032","Elgoibar","0.76","0.76","0.76","0.65","0.86"
"48032","Elorrio","0.36","0.36","0.39","0.30","0.29"
"01023","Elvillar/Bilar","1.29","1.29","1.29","1.20","1.20"
"48902","Erandio","0.52","0.52","0.39","0.41",NA
"48033","Ereño","0.16","0.16","0.16","0.81","0.81"
"48034","Ermua","1.19","1.19","1.24","0.98","0.93"
"20067","Errenteria","0.82","0.68","0.72","0.16","0.17"
"20066","Errezil","1.13","1.13","1.13","1.22","1.22"
"01046","Erriberagoitia/Ribera Alta","0.27","0.27","0.26","0.27","0.27"
"48079","Errigoiti","0.23","0.23","0.15","0.27","0.27"
"20034","Eskoriatza","0.60","0.60","0.60","0.51","0.48"
"48029","Etxebarri","0.87","0.87","0.87","0.46","0.45"
"48030","Etxebarria","0.43","0.43","0.40","0.40","0.40"
"20035","Ezkio-Itsaso","0.44","0.44",NA,"0.69","0.69"
"48906","Forua","1.20","1.20","1.20","1.00","1.00"
"48035","Fruiz","1.82","1.27","1.27","1.45","1.45"
"20038","Gabiria","0.36","0.36","0.36","0.38","0.38"
"20037","Gaintza","3.33","3.33","3.33","4.24","4.24"
"48036","Galdakao","0.46","0.42","0.41","0.36","0.37"
"48037","Galdames","1.34","1.28","1.07","1.07","1.07"
"48038","Gamiz-Fika","0.16","0.11","0.24","0.24","0.22"
"48039","Garai","7.20","7.20","6.80","6.77","5.98"
"48040","Gatika","0.29","0.29","0.24","0.40","0.40"
"48041","Gautegiz Arteaga","0.14","0.14","0.14","0.14","0.14"
"20907","Gaztelu","6.32","6.32","6.32","6.19","6.19"
"48046","Gernika-Lumo","1.03","1.03","0.95","0.88","0.88"
"20039","Getaria","0.39","0.39","1.32","1.32","1.32"
"48044","Getxo","0.15","0.15","0.20","0.18","0.15"
"48047","Gizaburuaga","0.06","0.06","0.06","0.06","0.06"
"48042","Gordexola","0.50","0.51","0.51","0.51","0.44"
"48043","Gorliz","0.22","0.07","0.07","0.07","0.21"
"48045","Güeñes","0.71","0.32","0.51","0.20","0.21"
"01056","Harana/Valle de Arana","0.54","0.54","0.54","0.63","0.63"
"20040","Hernani","0.67","0.67","1.04","1.03",NA
"20041","Hernialde","2.14","2.14","2.14","2.16","2.16"
"20036","Hondarribia","0.30","0.30","0.34","0.34","0.34"
"20042","Ibarra","3.67","1.07","1.07","1.26","1.13"
"48048","Ibarrangelu","0.57","0.57","0.57","0.21","0.21"
"20043","Idiazabal","1.18","1.18","1.18","1.18","1.12"
"48094","Igorre","0.60","0.58","0.71","0.58","0.51"
"20044","Ikaztegieta","0.34","0.34","0.34","0.34","0.34"
"20045","Irun","0.64","0.63","0.62","0.61","0.56"
"20046","Irura","1.14","1.38","1.30","1.15","1.07"
"01027","Iruraiz-Gauna","0.36","0.35","0.32","0.41","0.39"
"01901","Iruña Oka/Iruña de Oca","0.13","0.13",NA,"0.13","0.13"
"48049","Ispaster","3.27","4.04","1.15","4.81","4.23"
"20047","Itsasondo","0.50","0.50","0.50","0.50","0.52"
"48910","Iurreta","0.93","0.93","0.93","0.93","0.38"
"48050","Izurtza","0.31","0.31","0.31","0.31","1.07"
"48022","Karrantza Harana/Valle de Carranza","0.59","0.59","0.25","0.25","0.24"
"48907","Kortezubi","0.51","0.51","0.51","0.52","0.52"
"01019","Kripan","0.81","0.81","0.81","0.67","0.67"
"01020","Kuartango","0.50","0.50","0.50","0.43","0.43"
"01028","Labastida/Bastida","0.25","0.25","0.27","0.27",NA
"01030","Lagrán","1.29","1.29","1.29","1.29","1.29"
"01031","Laguardia","0.27","0.27","0.27","0.27","0.27"
"01032","Lanciego/Lantziego","1.60","1.60","1.21","1.21","1.21"
"48051","Lanestosa","0.74","0.74","0.74","0.61","0.61"
"01902","Lantarón","0.16","0.16","0.16","0.16","0.16"
"01033","Lapuebla de Labarca","0.25","0.25","0.25","0.09","0.09"
"48052","Larrabetzu","4.26","4.26","0.12","0.12","0.12"
"20048","Larraul","3.16","3.16","3.24","1.91","1.37"
"20902","Lasarte-Oria","1.34","1.34","1.25","1.35","1.27"
"01036","Laudio/Llodio","1.60","1.59","1.57","1.54","1.56"
"48053","Laukiz","0.05","0.05","0.05","0.02","0.02"
"20049","Lazkao","1.64","1.61","1.46","1.46","1.46"
"20050","Leaburu","0.68","0.68","0.70","0.71","0.71"
"20051","Legazpi","0.55","0.52","0.52","0.49","0.45"
"20052","Legorreta","0.60","0.60","0.78","0.57","0.53"
"01058","Legutio","0.06","0.06","0.06","0.09","0.08"
"20068","Leintz-Gatzaga","1.74","1.74","1.74","1.74","1.30"
"48057","Lekeitio","1.19","1.12","1.19","1.20","0.88"
"48055","Lemoa","0.32","0.29","0.47","0.47","0.46"
"48056","Lemoiz","0.24","0.24","0.20","0.09","0.09"
"01034","Leza","0.45","0.47","0.27","0.27","0.27"
"48081","Lezama","0.26","0.26","0.88","0.88","0.58"
"20053","Lezo","1.28","1.28","1.28","1.27","1.25"
"20054","Lizartza","0.07","0.79","1.40","1.36","1.04"
"48903","Loiu","0.09","0.09","0.08","0.08","0.08"
"48058","Mallabia","1.44","1.44","1.44","1.12","0.96"
"48060","Markina-Xemein","0.47","0.73","0.73","0.75","0.60"
"48061","Maruri-Jatabe","0.60","0.54","0.54","0.36","0.36"
"48059","Mañaria","1.92","0.30","0.30","0.40","0.40"
"20901","Mendaro","3.03","3.40","2.01","1.65","1.66"
"48062","Mendata","0.24","0.24","0.24","0.25","0.25"
"48063","Mendexa","0.93","0.93","0.93","0.93","0.93"
