"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","185.36","186.64","188.27","182.63","182.05"
"20001","Abaltzisketa","269.94","278.48","305.99","164.47","149.15"
"48002","Abanto y Ciérvana-Abanto Zierbena","250.51","165.85","161.32","161.31","325.15"
"20002","Aduna","326.34","349.13","372.34","378.38","1823.37"
"20016","Aia","114.60","117.47","99.78","101.15",NA
"20003","Aizarnazabal","338.98","340.81","349.16","274.29","285.02"
"48911","Ajangiz","64.44","65.17","65.17","33.94","34.01"
"20004","Albiztur","215.87","217.95","216.56","165.56","170.65"
"20005","Alegia","360.57","364.11",NA,"374.04","377.62"
"01001","Alegría-Dulantzi","128.96","118.32","125.66","56.40","59.39"
"20006","Alkiza","201.13","196.08","201.73","186.34","128.12"
"48912","Alonsotegi","318.25","183.42","176.62","178.32","175.94"
"20906","Altzaga","213.84","211.18","216.56","217.95","222.22"
"20007","Altzo","221.11","218.91","220.00","232.19","245.13"
"20008","Amezketa","25.15","25.25","25.43","20.96","20.53"
"48003","Amorebieta-Etxano","170.07","162.87","154.32","152.86",NA
"48004","Amoroto","183.57","186.27","188.12","185.82","191.92"
"01002","Amurrio","206.57","216.28","212.03","202.25","200.17"
"20009","Andoain","133.82","133.66","136.00","136.83","120.72"
"20010","Anoeta","156.22","156.13","159.58","161.72","157.57"
"20011","Antzuola","261.92","261.07","263.87","266.86","264.83"
"48005","Arakaldo","892.86","1315.79","1075.27","1030.93","1063.83"
"20012","Arama","435.78","477.39","505.32","516.30","450.87"
"01003","Aramaio","66.80","43.36","33.58","30.14","30.20"
"48006","Arantzazu","461.54","327.87","325.73","157.38","163.27"
"48093","Areatza","302.98","295.31","300.90","309.26","288.25"
"20013","Aretxabaleta","161.04","161.31","157.69","159.93","162.16"
"01006","Armiñón","195.56","207.73","202.02","201.01","223.46"
"01037","Arraia-Maeztu","494.35","492.96","495.05","462.40","456.04"
"48009","Arrankudiaga","510.87","478.55",NA,"512.97","503.64"
"20055","Arrasate/Mondragón","181.73","168.24","168.93","164.45","157.72"
"48914","Arratzu","142.48","141.33","89.39","45.33","45.58"
"01008","Arratzua-Ubarrundia","741.51","735.07","750.55","769.32","771.46"
"48010","Arrieta","62.72","63.52","63.52","50.72","51.76"
"48011","Arrigorriaga","2.02","169.44",NA,NA,NA
"48023","Artea","442.11","447.40","459.42","343.61","297.78"
"48008","Artzentales","104.25","106.74","107.04","97.67","71.22"
"01004","Artziniega","297.03","297.03","306.12","299.06","285.10"
"01009","Asparrena","353.57","301.09","321.00","337.14","313.33"
"20014","Asteasu","293.28","292.29","267.47","273.35","279.49"
"20903","Astigarraga","328.10","330.27","327.29","338.58","333.57"
"20015","Ataun","264.67","242.97","224.30","232.02","235.71"
"48091","Atxondo","165.39","163.00","161.40","162.40","163.08"
"48070","Aulesti","286.76","275.26","276.47","278.93","139.47"
"01010","Ayala/Aiara","327.91","335.50","342.07","351.80","353.14"
"20017","Azkoitia","11.10","11.18",NA,"11.68",NA
"20018","Azpeitia","240.75","221.22","224.62","226.27","222.54"
"01049","Añana","491.43","431.82","431.82","419.89","417.58"
"48012","Bakio","445.34","38.91","387.95","400.18","414.38"
"20904","Baliarrain","208.33","227.27","250.00","285.71","136.84"
"48090","Balmaseda","98.29","50.07","135.35","136.66","137.28"
"48013","Barakaldo","85.58","157.42","159.26","155.58","151.61"
"48014","Barrika","24.88","25.53","250.53","195.73","200.00"
"01013","Barrundia","396.70","412.57","429.25","441.32","447.80"
"48015","Basauri","111.47","112.10","105.48","102.01","98.38"
"01011","Baños de Ebro/Mañueta","577.51","570.57","532.21","532.21","517.71"
"20019","Beasain","131.21","132.40","132.86","138.80",NA
"48092","Bedia","232.92","233.89","229.12",NA,NA
"20020","Beizama","87.43","88.89","88.89","87.91","94.12"
"20021","Belauntza","141.89","140.41","128.53","209.15","185.67"
"48016","Berango","211.91","212.51","217.39","191.08","174.65"
"01014","Berantevilla","420.84","456.62","447.43","448.43","452.49"
"20022","Berastegi","203.62","171.35","160.04","164.51","164.51"
"20074","Bergara","190.54","189.64","189.14","165.96","164.48"
"48017","Bermeo","9.98","95.94","106.26","89.15","88.71"
"01016","Bernedo","469.57","370.43","362.24","290.88","297.01"
"48018","Berriatua","313.86","307.87","304.99","317.37","316.91"
"48019","Berriz","77.84","77.74","78.69","76.49","74.85"
"20023","Berrobi","218.75","206.67","149.41","149.91","149.66"
"20024","Bidania-Goiatz","312.62","221.57","229.67","233.95","243.53"
"48020","Bilbao","5.27","92.79","89.75","86.89","85.22"
"48021","Busturia","147.56","143.18","136.95","135.76","137.03"
"01017","Campezo/Kanpezu","324.16","326.48","329.42","330.02","339.53"
"20029","Deba","185.74","240.38","240.56","242.22","225.86"
"48901","Derio","312.73","316.56","296.97","276.44","215.98"
"48026","Dima","319.88","321.84","331.75","338.98","303.03"
"20069","Donostia / San Sebastián","153.63","151.06","141.11","150.10","148.15"
"48027","Durango","90.58","88.56","88.30","89.53","85.43"
"48028","Ea","241.92","182.32","334.08","147.13","151.66"
"20030","Eibar","227.88","227.54","224.87","224.16","221.61"
"48031","Elantxobe","346.24","519.27","547.95","496.64","500.00"
"01021","Elburgo/Burgelu","203.74","258.78","228.14","343.51","375.00"
"01022","Elciego","558.52","572.66","584.39","598.40","268.24"
"20031","Elduain","255.32","252.10","254.24","268.72","227.91"
"20033","Elgeta","237.26","239.48","243.81","245.48","252.69"
"20032","Elgoibar","212.65","191.53","194.46","174.97","172.40"
"48032","Elorrio","104.25","104.61","103.84","115.64","104.55"
"01023","Elvillar/Bilar","482.29","479.67","495.80","280.90","285.71"
"48902","Erandio","146.66","146.86","133.57","125.21","126.83"
"48033","Ereño","232.56","232.56","39.53","103.85","105.06"
"48034","Ermua","83.17","82.88","82.75","72.44","67.23"
"20067","Errenteria","126.19","124.44","125.28","117.70","117.27"
"20066","Errezil","58.44","55.73","56.09","55.29","57.28"
"01046","Erriberagoitia/Ribera Alta","160.00","299.45","309.22","319.18","305.65"
"48079","Errigoiti","37.81","38.99","38.61","58.71","59.88"
"20034","Eskoriatza","171.64","171.30","170.97","175.85","176.01"
"48029","Etxebarri","73.45","77.42","83.18","76.67","66.57"
"48030","Etxebarria","152.25","143.20","143.03","144.59","146.55"
"20035","Ezkio-Itsaso","345.39","356.54",NA,"368.42","364.30"
"48906","Forua","192.69","191.93","197.77","202.07","300.51"
"48035","Fruiz","220.00","203.31","210.78","180.69","181.59"
"20038","Gabiria","154.47","126.58","133.93","133.64","116.55"
"20037","Gaintza","179.69","174.24","174.24","154.41","159.09"
"48036","Galdakao","137.90","135.67","130.91","115.24","107.78"
"48037","Galdames","577.57","679.81","143.91","132.69","120.54"
"48038","Gamiz-Fika","138.66","69.80","71.71","71.71","71.37"
"48039","Garai","547.99","540.88","504.67","524.27","501.79"
"48040","Gatika","175.16","176.40","180.92","128.42","90.91"
"48041","Gautegiz Arteaga","413.12","404.57","406.90","399.54","387.76"
"20907","Gaztelu","180.72","189.87","180.72","176.47","197.37"
"48046","Gernika-Lumo","92.05","92.34","62.13","62.46","59.53"
"20039","Getaria","211.96","215.75","219.34","224.38","224.55"
"48044","Getxo","82.45","78.94","77.95","77.37","75.08"
"48047","Gizaburuaga","159.20","163.27","159.34","137.93","134.08"
"48042","Gordexola","706.90","706.49","692.49","686.17","642.54"
"48043","Gorliz","417.95","138.89","141.86","99.50","99.03"
"48045","Güeñes","865.13","787.53","323.51",NA,NA
"01056","Harana/Valle de Arana","229.73","222.95","218.65","329.07","313.07"
"20040","Hernani","203.84","203.79","204.43","188.40",NA
"20041","Hernialde","94.83","95.38","96.21","71.86","71.86"
"20036","Hondarribia","171.89","171.10","172.54","168.86","170.47"
"20042","Ibarra","237.05","237.60","237.32","235.43","223.31"
"48048","Ibarrangelu","192.18","191.56","186.58","241.15","249.13"
"20043","Idiazabal","247.68","247.35","253.16","251.49","242.38"
"48094","Igorre","190.14","185.46","188.85","175.56","159.78"
"20044","Ikaztegieta","300.00","303.23","307.19","309.89","256.07"
"20045","Irun","139.49","134.63","131.33","130.76","120.31"
"20046","Irura","234.62","237.62","315.94","330.71","347.86"
"01027","Iruraiz-Gauna","542.07","547.67","537.04","505.18","514.77"
"01901","Iruña Oka/Iruña de Oca","103.94","107.03",NA,"119.44","122.69"
"48049","Ispaster","187.13","280.97","187.31","179.65","166.67"
"20047","Itsasondo","234.49","238.83","245.64","254.10","262.27"
"48910","Iurreta","238.98","237.43","198.50","199.01","196.10"
"48050","Izurtza","355.56","372.09","369.23","391.84","382.47"
"48022","Karrantza Harana/Valle de Carranza","96.91","96.09","95.37","88.78","88.09"
"48907","Kortezubi","95.47","97.09","97.80","37.22","38.27"
"01019","Kripan","641.03","644.33","679.35","326.09","319.15"
"01020","Kuartango","523.94","521.01","521.01","519.55","510.99"
