"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48013","Barakaldo","189.30","189.70","189.52","222.27","176.06","391.70","400.57","464.25","513.44","576.46","558.30","348.64"
"48014","Barrika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.73","38.95","58.77","79.63","104.88"
"01013","Barrundia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48015","Basauri","230.47","239.39","261.00","161.84","173.31","82.98","94.65","113.44","133.97","148.01","118.04","68.98"
"01011","Baños de Ebro/Mañueta","349.35","385.77","464.40","524.03","746.91","823.39","896.50","914.32","627.50","310.63","43.31","44.34"
"20019","Beasain","306.13","347.91","386.41","421.19","495.81","702.97","652.96","604.05","661.40","369.80","189.47","236.15"
"48092","Bedia","0.00","0.00","0.00","4.41","24.74","45.08","64.19","79.82","96.46","113.01","139.64","173.76"
"20020","Beizama","662.71","731.34","792.14","787.01","868.13","299.56","0.00","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","292.87","337.42","382.07","417.77","459.93","497.67","564.86","567.32","436.42","469.76","340.23","347.69"
"48016","Berango","302.43","345.75","386.25","395.97","176.89","54.42","61.69","65.22","66.88","0.00","0.00","1.42"
"01014","Berantevilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","755.03","829.55","889.97","959.88","56.55","71.48","87.27","116.59","119.84","134.82","151.01","166.28"
"20074","Bergara","559.42","558.91","594.62","693.31","698.09","1018.29","879.77","879.02","879.64","882.23","893.10","897.45"
"48017","Bermeo","333.77","359.90","125.94","153.35","188.37","141.64","166.48","180.74","200.26","108.50","127.90","157.92"
"01016","Bernedo","162.90","176.10","227.51","240.94","176.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48018","Berriatua","374.59","486.17","560.99","605.81","485.28","250.80","281.78","0.00","0.00","0.00","0.00","2.89"
"48019","Berriz","0.00","6.75","42.83","112.61","192.36","180.17","267.60","343.98","399.93","459.28","519.89","537.69"
"20023","Berrobi","849.85","947.23","1027.36","1075.14","593.43","647.80","802.30","812.00","853.45","259.41","308.55","342.08"
"20024","Bidania-Goiatz","431.33","547.61","672.63","777.72","1228.89","1143.45","1099.67","637.39","691.60","764.53","459.52","159.57"
"48020","Bilbao","0.00","0.00","0.00","0.00","8.85","11.17","30.86","64.24","102.21","143.16","185.12","249.03"
"48021","Busturia","180.22","197.58","211.61","0.00","0.00","0.00","0.00","0.00","1.61","8.00","14.25","22.52"
"01017","Campezo/Kanpezu","0.00","0.00","39.32","60.71","87.27","107.27","127.29","148.03","167.89","188.85","333.10","119.25"
"20029","Deba","458.99","480.13","544.94","551.64","667.16","936.76","907.62","868.56","935.69","254.20","318.45","381.70"
"48901","Derio","16.42","16.65","283.58","522.93","183.22","0.00","0.00","0.00","0.00","0.00","2.26","12.93"
"48026","Dima","800.12","954.67","565.34","523.15","1005.16","714.40","799.27","906.66","419.66","537.62","632.67","729.42"
"20069","Donostia / San Sebastián","452.31","512.27","498.91","488.77","485.77","631.54","466.72","299.97","342.67","391.52","401.21","470.81"
"48027","Durango","269.94","275.44","276.54","277.25","0.00","154.67","130.76","165.61","0.00","0.00","0.00","0.00"
"48028","Ea","125.03","216.10","385.08","401.82","603.79","0.00","0.00","2.90","10.01","17.60","26.31","35.34"
"20030","Eibar","201.08","230.54","236.16","209.14","79.17","169.51","89.27","116.43","123.58","168.93","215.55","258.93"
"48031","Elantxobe","0.00","0.00","0.00","27.15","382.98","143.96","120.40","149.84","174.21","202.96","236.00","254.05"
"01021","Elburgo/Burgelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01022","Elciego","150.32","189.09","244.17","299.47","364.59","417.96","351.42","421.36","540.43","562.69","266.18","353.42"
"20031","Elduain","159.84","188.28","213.39","246.75","271.55","293.62","315.13","367.32","0.00","0.00","0.00","0.00"
"20033","Elgeta","777.74","918.30","926.36","1054.08","930.38","1272.84","1194.27","638.18","1149.00","642.45","753.54","722.46"
"20032","Elgoibar","0.00","0.00","0.00","0.00","0.00","173.39","86.38","36.61","72.72","111.55","150.47","199.66"
"48032","Elorrio","218.42","107.50","165.59","252.00","308.18","359.39","413.97","471.35","530.64","305.98","65.04","82.50"
"01023","Elvillar/Bilar","490.18","492.98","530.62","574.78","321.33","377.44","430.98","286.61","347.09","339.94","362.99","435.34"
