"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012"
"48001","Abadiño","5.03","5.19","5.93","6.75","4.83"
"20001","Abaltzisketa","36.11","36.36","35.29","41.03","35.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","2.12","1.47","2.06","2.19","2.39"
"20002","Aduna","5.00","5.41","5.22","7.63","6.56"
"20016","Aia","30.57","31.77","35.03","36.58","32.07"
"20003","Aizarnazabal","20.83","19.12","21.05","22.67","21.33"
"48911","Ajangiz","27.59","23.33","20.00","26.92","33.33"
"20004","Albiztur","28.57","18.92","26.83","27.91","27.91"
"20005","Alegia","3.88","3.76","5.04","7.25","5.80"
"01001","Alegría-Dulantzi","7.94","6.11","5.91","5.43","5.52"
"20006","Alkiza","35.90","41.03","42.11","44.44","36.11"
"48912","Alonsotegi","6.39","7.39","6.58","6.49","7.50"
"20906","Altzaga","18.75","21.43","23.08","29.41","13.33"
"20007","Altzo","10.87","12.77","14.89","18.37","14.89"
"20008","Amezketa","34.29","34.58","37.39","38.05","31.07"
"48003","Amorebieta-Etxano","2.53","2.82","2.92","3.77","3.57"
"48004","Amoroto","23.08","32.26","29.63","50.00","50.00"
"01002","Amurrio","9.45","10.31","12.31","12.69","11.33"
"20009","Andoain","2.61","2.68","3.56","3.79","3.06"
"20010","Anoeta","5.97","7.30","8.63","8.22","6.29"
"20011","Antzuola","13.71","10.57","11.02","12.50","8.51"
"48005","Arakaldo","10.00","4.55","9.09","9.09","4.76"
"20012","Arama","4.17","11.54","11.54","16.00","12.50"
"01003","Aramaio","29.07","30.68","34.38","35.42","25.56"
"48006","Arantzazu","13.04","11.11","6.25","11.76","11.11"
"48093","Areatza","10.13","10.98","10.98","16.05","15.58"
"20013","Aretxabaleta","3.12","3.86","4.98","5.98","3.40"
"01006","Armiñón","18.18","20.83","17.39","24.00","17.39"
"01037","Arraia-Maeztu","44.57","43.96","46.07","42.86","38.64"
"48009","Arrankudiaga","4.84","4.84","3.42","5.60","4.51"
"20055","Arrasate/Mondragón","1.49","1.82","2.10","3.13","2.48"
"48914","Arratzu","32.26","30.00","27.27","28.12","17.24"
"01008","Arratzua-Ubarrundia","21.28","17.71","21.05","22.22","23.16"
"48010","Arrieta","28.21","31.58","31.58","38.46","32.35"
"48011","Arrigorriaga","0.94","0.82","0.83","0.91","0.86"
"48023","Artea","8.57","8.82","7.46","10.67","7.35"
"48008","Artzentales","43.21","46.43","45.24","44.58","34.21"
"01004","Artziniega","16.06","15.60","18.71","20.00","16.90"
"01009","Asparrena","20.66","19.17","21.14","19.85","17.05"
"20014","Asteasu","16.75","16.84","20.95","20.85","22.02"
"20903","Astigarraga","2.70","3.47","3.45","3.91","3.12"
"20015","Ataun","33.33","33.33","33.08","35.71","29.41"
"48091","Atxondo","10.99","14.58","17.71","19.59","16.67"
"48070","Aulesti","19.15","23.08","22.64","23.53","21.57"
"01010","Ayala/Aiara","36.74","35.55","41.18","42.31","39.93"
"20017","Azkoitia","8.47","7.79","9.49","9.38","7.53"
"20018","Azpeitia","7.81","7.09","7.77","8.63","6.51"
"01049","Añana","17.65","22.22","23.53","23.53","29.41"
"48012","Bakio","9.45","10.10","9.23","9.95","11.00"
"20904","Baliarrain","23.08","30.77","33.33","38.46","42.86"
"48090","Balmaseda","1.33","1.50","1.54","2.12","1.82"
"48013","Barakaldo","0.37","0.34","0.38","0.41","0.40"
"48014","Barrika","6.12","3.96","5.45","8.25","8.42"
"01013","Barrundia","49.57","49.06","46.85","50.89","47.32"
"48015","Basauri","0.42","0.38","0.27","0.37","0.30"
"01011","Baños de Ebro/Mañueta","46.84","43.37","41.56","42.53","39.08"
"20019","Beasain","1.42","1.68","2.54","2.74","2.80"
"48092","Bedia","5.45","5.36","6.19","5.22","8.33"
"20020","Beizama","35.48","33.33","44.44","46.43","48.39"
"20021","Belauntza","4.84","8.06","10.61","12.12","12.68"
"48016","Berango","2.58","3.08","3.45","3.79","3.07"
"01014","Berantevilla","34.62","33.33","33.75","36.59","37.65"
"20022","Berastegi","26.88","25.00","32.97","38.04","34.09"
