"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","156.91","157.00","156.58","157.55","158.43","151.81","151.85","40.08","23.61","15.71","8.90"
"20001","Abaltzisketa","475.31","455.93","285.71","284.85","277.78","280.37","276.07","298.10","297.16","108.55","418.98"
"48002","Abanto y Ciérvana-Abanto Zierbena","154.95","153.61","138.32","126.56","126.70","126.63","126.49","16.03","16.09","10.60","21.89"
"20002","Aduna","261.70","255.32","261.15","269.15","265.49","265.49","279.72","307.23","178.72","0.00","0.00"
"20016","Aia","196.97","195.03","197.65","175.17","177.69","179.82","154.46","127.54","102.66","9.04","41.40"
"20003","Aizarnazabal","1433.55","1432.26","1433.55","1442.86","1449.09","1514.32","112.99","121.43","124.41","44.58","102.61"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","163.64","156.25","165.14","167.70","158.23","160.26","158.73","173.08","171.97","178.81","0.00"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","723.04","714.78","705.98","719.51","718.02","734.93","759.03","384.73","408.59","0.00","0.00"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","20.30","21.01","20.40","20.52","21.09","21.28","21.22","20.30","20.32","20.52","21.49"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.41"
"20008","Amezketa","9.59","10.62","9.30","9.26","10.25","10.31","10.06","8.89","8.95","9.22","0.00"
"48003","Amorebieta-Etxano","54.40","54.97","52.16","51.96","52.40","41.35","23.37","20.35","17.24","17.46","20.23"
"48004","Amoroto","134.12","146.34","127.10","131.84","123.46","121.07","120.77","128.68","0.00","0.00","0.00"
"01002","Amurrio","104.97","105.23","105.19","106.22","106.78","106.85","40.80","35.91","31.94","32.37","25.98"
"20009","Andoain","82.67","82.49","82.43","82.57","82.62","82.37","82.53","12.40","12.62","12.81","12.16"
"20010","Anoeta","66.60","66.36","70.26","71.05","71.04","65.50","64.86","28.53","0.00","0.00","0.00"
"20011","Antzuola","46.42","45.60","46.06","46.14","45.93","45.72","46.27","46.49","14.69","0.00","1.59"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","1116.50","1095.24","1059.91","1059.91","1150.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","136.48","131.75","138.70","137.49","92.53","93.58","93.52","93.46","53.79","10.28","34.33"
"48006","Arantzazu","196.29","183.25","194.74","178.57","166.67","169.49","184.62","212.46","211.07","0.00","0.00"
"48093","Areatza","227.35","234.31","208.09","205.38","203.92","195.08","201.40","104.60","106.58","109.54","102.45"
"20013","Aretxabaleta","80.22","80.30","80.20","80.95","81.75","43.12","35.82","35.76","35.99","27.08","33.90"
"01006","Armiñón","8.55","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","256.23","252.81","259.10","253.08","162.38","166.20","169.49","170.49","171.22","5.36","4.26"
"48009","Arrankudiaga","31.44","30.83","31.83","32.16","31.22","32.15","0.00","4.68","4.80","5.01","133.18"
"20055","Arrasate/Mondragón","61.95","61.66","56.55","56.55","54.02","49.15","49.07","46.38","41.25","30.75","23.52"
"48914","Arratzu","383.86","394.09","394.47","405.68","412.37","411.31","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","611.85","601.81","550.30","557.59","559.51","578.34","602.41","411.73","420.40","297.95","283.29"
"48010","Arrieta","163.70","157.34","160.56","168.81","163.34","166.05","53.76","22.32","22.32","1.99","2.03"
"48011","Arrigorriaga","13.70","13.78","13.58","13.58","8.78","8.79","8.90","8.59","8.61","8.65","8.72"
"48023","Artea","3414.99","3320.31","3285.16","3350.00","3256.70","3256.70","3342.11","186.11","192.26","29.03","93.44"
"48008","Artzentales","88.83","95.89","91.41","90.66","92.11","94.34","96.02","92.56","92.82","96.06","0.00"
"01004","Artziniega","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01009","Asparrena","219.63","218.58","216.71","214.24","212.01","213.78","214.29","183.76","185.64","69.77","73.53"
"20014","Asteasu","184.72","183.61","182.53","183.74","185.19","187.79","190.09","187.90","113.52","77.55","40.87"
"20903","Astigarraga","71.94","73.84","76.42","79.75","84.02","87.17","89.19","51.44","52.36","26.12","14.00"
"20015","Ataun","79.37","77.66","79.41","80.31","77.38","47.93","47.90","47.65","15.50","5.02","6.48"
"48091","Atxondo","25.47","29.03","23.69","23.81","21.20","20.99","0.00","0.00","0.00","0.00","0.00"
"48070","Aulesti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01010","Ayala/Aiara","204.01","204.99","205.19","204.77","205.62","208.33","212.24","134.38","137.01","113.78","86.44"
"20017","Azkoitia","202.99","203.18","204.88","205.18","203.62","204.96","24.67","24.52","24.90","25.60","26.38"
"20018","Azpeitia","109.44","109.03","109.74","110.28","110.30","44.60","40.55","18.77","19.06","19.20","24.08"
"01049","Añana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48012","Bakio","96.39","96.56","95.98","95.51","96.01","98.35","101.21","62.21","0.00","0.00","14.88"
"20904","Baliarrain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","15.41","15.38","15.07","15.06","15.51","15.82","16.29","16.16","16.38","16.54","23.79"
"48013","Barakaldo","23.20","23.15","23.19","23.09","23.11","23.19","20.84","17.71","16.81","13.78","3.43"
"48014","Barrika","179.37","175.44","177.62","177.97","178.81","178.10","181.57","188.54","154.41","81.00","12.36"
"01013","Barrundia","739.76","740.33","675.41","668.83","682.82","684.33","681.32","705.77","731.81","752.38","202.15"
