"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","410.02","425.79","423.35","435.26","405.82","409.60"
"20001","Abaltzisketa","364.49","422.71","424.44","430.00","393.10","397.16"
"48002","Abanto y Ciérvana-Abanto Zierbena","400.78","413.38","398.79","385.47","423.82","400.68"
"20002","Aduna","551.81","408.74","388.74","390.24","394.44","394.81"
"20016","Aia","510.84","446.48","597.18","555.25","510.78","462.70"
"20003","Aizarnazabal","383.16","422.09","428.79","394.57","382.64",NA
"48911","Ajangiz","363.84","350.56","427.93","395.93","338.64","353.35"
"20004","Albiztur","366.24","424.92","425.32","429.53","405.41","397.31"
"20005","Alegia","366.82","419.86",NA,NA,"399.64","400.48"
"01001","Alegría-Dulantzi","310.09","301.10","319.36","341.34","330.34",NA
"20006","Alkiza","371.83","417.61",NA,NA,"389.07","391.89"
"48912","Alonsotegi","378.53","381.57","395.67","405.37","434.00","446.76"
"20906","Altzaga","375.00","383.65","382.17",NA,"402.60","403.97"
"20007","Altzo","370.00","421.45","410.26","425.47","403.90","392.66"
"20008","Amezketa","367.94","420.47","448.92","440.87","401.23","401.03"
"48003","Amorebieta-Etxano","380.32","410.29","420.18","412.24","356.57","395.69"
"48004","Amoroto","447.69","458.13","321.87","359.80","306.12","303.43"
"01002","Amurrio","376.46","372.04","380.09","417.28","416.15","387.35"
"20009","Andoain","368.89","418.88","438.94","434.09","401.20","396.32"
"20010","Anoeta","368.45","417.80","440.80","434.90","336.89","337.08"
"20011","Antzuola","406.93","412.15","394.28","390.08","340.30","351.05"
"48005","Arakaldo","384.62","531.91","526.32","520.83","880.43","580.65"
"20012","Arama","344.50","376.29","376.34",NA,"402.37","408.54"
"01003","Aramaio","189.59","241.63","301.81",NA,"259.85","289.63"
"48006","Arantzazu","441.27","493.46","460.78","453.33","452.05","450.70"
"48093","Areatza","438.87","471.90","470.32","460.97","496.20","480.08"
"20013","Aretxabaleta","172.52","327.68","314.71","324.84","316.18","312.01"
"01006","Armiñón","449.07","443.35","487.44","518.52","514.12","502.96"
"01037","Arraia-Maeztu","464.03","516.22","474.05","510.37","547.20","489.80"
"48009","Arrankudiaga","544.26","428.09",NA,NA,"286.59","265.49"
"20055","Arrasate/Mondragón","294.26","297.97","287.05","290.85","280.47","277.02"
"48914","Arratzu","413.79","370.57","516.85","380.68","340.97","332.39"
"01008","Arratzua-Ubarrundia","667.39","671.05","866.44",NA,"680.24","682.90"
"48010","Arrieta","437.84","401.09","568.84",NA,"379.44","391.55"
"48011","Arrigorriaga","396.79","400.18","411.08","398.60","352.75","341.58"
"48023","Artea","435.19","454.67","460.23","460.18","426.88","420.12"
"48008","Artzentales","429.96","391.00","404.01","378.46","374.82","370.70"
"01004","Artziniega","350.94","348.97","372.19","462.51","342.49","359.32"
"01009","Asparrena","345.97","341.98","347.20","351.04","376.18","376.41"
"20014","Asteasu","369.24","424.14","432.07","431.25","397.44","391.24"
"20903","Astigarraga","448.23","477.39","385.72","362.08","458.42","521.07"
"20015","Ataun","377.02","385.45","381.07","393.19","407.60","370.98"
"48091","Atxondo","438.37","437.11","431.82","441.83","433.15","408.26"
"48070","Aulesti","420.82","382.70","385.52","397.63","447.09","451.81"
"01010","Ayala/Aiara","324.51","320.06","314.63","352.47","313.47","325.13"
"20017","Azkoitia","412.06","449.95","457.26","445.49","378.54","412.71"
"20018","Azpeitia","438.98","449.32","451.79","445.47","431.44","425.35"
"01049","Añana","465.91","562.50","553.07","543.96","597.83","524.32"
"48012","Bakio","801.84","754.59","785.07","830.39","579.99","808.90"
"20904","Baliarrain","356.52","400.00","437.50","440.86","406.25","404.04"
"48090","Balmaseda","372.37","367.49","374.93","363.66","324.77","323.76"
"48013","Barakaldo","394.80","394.95","463.96","436.38","381.35","374.29"
"48014","Barrika","630.11","584.79","523.74","472.66","485.25","453.44"
"01013","Barrundia","340.43","324.01","333.73",NA,"381.19","391.13"
"48015","Basauri","380.54","363.10","379.40","380.15","376.38","354.08"
"01011","Baños de Ebro/Mañueta","531.72","484.06",NA,NA,"657.30","658.82"
"20019","Beasain","377.85","386.88","379.17","393.61","411.43","410.74"
"48092","Bedia","451.24","488.68","481.67","462.87",NA,NA
"20020","Beizama","362.64","377.78","828.73","892.05","441.86",NA
"20021","Belauntza","367.35","441.18","437.70","436.48","671.14","682.59"
"48016","Berango","459.51","452.26","430.50","422.23","386.04","374.47"
"01014","Berantevilla","437.10","544.02","536.91","542.79","528.89","524.02"
"20022","Berastegi","365.64","422.48","440.51","435.69","384.38","398.99"
