"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","4.21","4.21","4.21","4.24","2.44","2.41","2.41","2.41","2.41","2.41","2.41","3.97","3.97"
"20001","Abaltzisketa","0.21","0.21","0.21","0.24","0.25","0.26","0.26","0.26","0.26","0.26","0.26","0.26","0.19"
"48002","Abanto y Ciérvana-Abanto Zierbena","12.12","12.12","12.12","12.12","10.72","9.63","10.43","10.19","10.19","10.19","10.19","10.18","10.20"
"20002","Aduna","4.39","4.39","4.39","4.44","4.52","4.54","4.54","4.54","4.54","4.14","4.14","3.34","3.34"
"20016","Aia","0.89","0.89","0.87","0.88","0.81","0.80","0.79","0.79","0.37","0.86","0.86","0.86","0.86"
"20003","Aizarnazabal","4.59","4.59","4.59","4.52","3.76","3.73","3.78","3.78","3.78","3.78","3.78","3.78","3.78"
"48911","Ajangiz","1.85","1.85","1.85","1.95","2.26","2.18","2.21","2.21","2.21","2.21","2.21","2.13","2.04"
"20004","Albiztur","0.67","0.67","0.67","0.66","0.44","0.43","0.43","0.43","0.43","0.43","0.43","0.44","0.44"
"20005","Alegia","2.62","2.62","2.62","2.52","1.35","1.48","1.46","1.46","1.46","1.46","1.46","1.46","1.46"
"01001","Alegría-Dulantzi","5.85","5.85","5.85","5.76","6.58","6.54","6.57","6.57","6.57","5.26","5.26","5.00","5.27"
"20006","Alkiza","0.31","0.31","0.31","0.31","0.33","0.34","0.34","0.34","0.34","0.34","0.34","0.33","0.33"
"48912","Alonsotegi","2.12","2.12","2.12","2.10","2.24","2.82","2.11","2.11","2.11","1.88","1.88","1.84","1.84"
"20906","Altzaga","1.54","1.54","1.54","1.58","1.58","1.52","1.52","1.52","1.52","1.52","1.52","1.53","1.53"
"20007","Altzo","0.82","0.79","0.79","0.78","0.78","0.93","0.93","0.93","0.93","0.93","0.93","0.93","0.93"
"20008","Amezketa","0.86","0.86","0.86","0.86","0.97","0.97","0.98","0.98","0.98","0.98","0.81","0.81","0.81"
"48003","Amorebieta-Etxano","6.60","6.60","6.62","6.54","3.56","3.61","3.63","3.63","3.62","3.62","3.60","3.50","3.50"
"48004","Amoroto","0.85","0.85","0.92","0.88","0.71","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"01002","Amurrio","2.90","2.90","2.90","2.78","2.58","2.58","2.58","2.58","2.58","2.58","2.57","2.64","2.58"
"20009","Andoain","5.40","5.40","5.40","5.40","5.40","4.01","3.99","3.99","3.99","3.99","3.99","3.99","3.99"
"20010","Anoeta","5.39","5.39","5.39","5.44","5.93","5.93","5.93","5.93","5.93","5.93","5.93","5.93","5.93"
"20011","Antzuola","1.01","1.01","1.01","1.01","1.00","1.00","1.00","0.99","0.99","0.99","0.99","1.00","1.00"
"48005","Arakaldo","5.44","5.44","5.44","5.29","5.18","5.22","5.42","5.42","5.42","5.42","5.42","5.43","4.60"
"20012","Arama","4.26","4.26","4.26","4.41","2.43","2.54","2.54","2.54","2.54","2.54","2.54","2.54","2.54"
"01003","Aramaio","0.16","0.16","0.21","0.21","0.14","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"48006","Arantzazu","2.94","2.94","2.94","2.82","3.05","2.84","2.58","2.58","2.58","2.58","2.58","2.57","2.53"
"48093","Areatza","1.78","1.78","1.25","1.21","1.09","1.09","1.09","1.09","1.09","1.09","0.93","0.93","0.93"
"20013","Aretxabaleta","2.53","2.53","2.53","2.46","1.88","1.74","1.74","1.74","1.74","1.74","1.74","1.74","1.73"
"01006","Armiñón","2.34","2.34","2.34","2.34","1.86","2.26","2.26","2.26","2.26","2.16","2.16","2.16","2.16"
"01037","Arraia-Maeztu","0.57","0.57","0.57","0.57","0.56","0.56","0.56","0.55","0.55","0.55","0.55","0.53","0.55"
"48009","Arrankudiaga","2.47","2.47","2.47","2.45","2.10","2.02","1.91","1.43","1.43","1.43","1.43","1.43","1.43"
"20055","Arrasate/Mondragón","8.04","8.04","8.04","7.94","6.07","6.49","5.81","5.81","5.83","5.83","5.82","6.06","6.06"
"48914","Arratzu","0.71","0.71","0.71","0.67","0.67","0.65","0.68","0.68","0.68","0.68","0.68","0.68","0.68"
"01008","Arratzua-Ubarrundia","1.44","1.44","1.44","1.49","1.16","1.16","1.16","1.16","1.16","1.16","1.16","1.16","1.16"
"48010","Arrieta","0.31","0.78","0.78","0.75","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73","0.73"
"48011","Arrigorriaga","7.04","7.04","7.04","6.74","5.93","5.91","5.99","5.69","5.69","5.69","5.69","5.70","5.70"
"48023","Artea","2.88","2.88","2.88","2.76","1.53","1.52","1.52","1.52","1.51","1.51","1.51","1.51","1.48"
"48008","Artzentales","0.32","0.32","0.32","0.39","0.43","0.43","0.43","0.43","0.43","0.43","0.43","0.43","0.43"
"01004","Artziniega","2.21","2.21","2.21","2.21","2.12","2.31","2.31","2.31","2.31","2.31","2.31","2.31","2.31"
"01009","Asparrena","2.32","1.86","1.86","1.83","1.94","1.93","1.93","1.93","1.93","1.92","1.92","1.92","1.67"
