"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","8.50","8.88","9.45",NA,"10.16"
"20001","Abaltzisketa","14.93","16.95","32.26","35.09","38.46"
"48002","Abanto y Ciérvana-Abanto Zierbena","18.13","14.81","15.24","3.88","3.93"
"20002","Aduna","24.10","12.99","14.71","16.67","17.24"
"20016","Aia","14.97","11.98","16.03","13.70","14.65"
"20003","Aizarnazabal","40.98","28.04","36.14","42.25","43.48"
"48911","Ajangiz","32.79","32.79","34.48","34.48","35.09"
"20004","Albiztur","19.61","21.28","22.73","27.03","27.03"
"20005","Alegia","7.25",NA,NA,"8.47","9.05"
"01001","Alegría-Dulantzi","8.85","9.21","10.55","11.96","12.76"
"20006","Alkiza","13.70","14.71","15.87","18.18","18.87"
"48912","Alonsotegi","11.73","12.08","12.78","3.26","3.34"
"20906","Altzaga","54.05","54.05","58.82","66.67","71.43"
"20007","Altzo","32.61","32.97","34.09","28.17","30.30"
"20008","Amezketa","20.98","21.43","21.90","20.98","28.57"
"48003","Amorebieta-Etxano","9.14","9.32","8.36","8.60","8.93"
"48004","Amoroto","30.30","31.25","31.75","32.26","33.90"
"01002","Amurrio","10.69","8.33","8.40","8.58","7.17"
"20009","Andoain","8.51","8.74","8.68","8.11","5.94"
"20010","Anoeta","9.38","6.33","6.62","10.31","10.45"
"20011","Antzuola","17.86","18.93","19.87","21.05","19.69"
"48005","Arakaldo","100.00","125.00","153.85","142.86","153.85"
"20012","Arama","47.62","62.50","71.43","71.43","74.07"
"01003","Aramaio","16.95","12.99","4.46","4.63","4.83"
"48006","Arantzazu","50.00","60.61","27.03","28.57","34.48"
"48093","Areatza","21.39","16.95","18.99","20.83","20.55"
"20013","Aretxabaleta","6.11","7.28","4.34","4.51","4.57"
"01006","Armiñón","62.50","71.43","40.00","86.96","105.26"
"01037","Arraia-Maeztu","285.71","290.32","321.43","222.22","230.77"
"48009","Arrankudiaga","35.21",NA,NA,"48.08","50.00"
"20055","Arrasate/Mondragón","5.73","4.69","8.75","9.29","9.44"
"48914","Arratzu","76.92","78.95","32.26","32.26","161.29"
"01008","Arratzua-Ubarrundia","62.99","43.80","64.00","52.17","54.55"
"48010","Arrieta","59.52","24.39","26.32","14.08","14.29"
"48011","Arrigorriaga","12.21","11.18","9.85","9.99","4.81"
"48023","Artea","36.36","40.40","41.67","22.73","24.69"
"48008","Artzentales","47.06","37.97","25.32","44.12","40.54"
"01004","Artziniega","14.87","15.09","15.87","21.37","21.83"
"01009","Asparrena","46.22","46.73","25.51","25.38","51.55"
"20014","Asteasu","6.87","7.02","7.35","7.58","8.16"
"20903","Astigarraga","11.75","12.14","23.17","14.73","15.51"
"20015","Ataun","18.87","19.61","20.66","19.14","20.83"
"48091","Atxondo","22.22","22.35","22.35","17.86","17.86"
"48070","Aulesti","10.42","10.64","10.99","11.63","12.20"
"01010","Ayala/Aiara","4.21","4.45","4.69","10.39","11.02"
"20017","Azkoitia","7.81","8.23","8.64",NA,"8.70"
"20018","Azpeitia","7.50","7.66","7.47","7.53","7.70"
"01049","Añana","71.43","62.50","76.92","83.33","83.33"
"48012","Bakio","16.76","16.18","16.61","14.98","16.95"
"20904","Baliarrain","105.26","117.65","142.86","83.33","90.91"
"48090","Balmaseda","7.90","6.98","6.03","4.99","3.90"
"48013","Barakaldo","4.93","4.79","4.98","4.30","3.85"
"48014","Barrika","18.02","19.32","15.31","10.47","11.17"
"01013","Barrundia","20.69","14.71","16.26",NA,NA
"48015","Basauri","3.96","5.71","5.75","5.49","5.15"
"01011","Baños de Ebro/Mañueta","47.62","45.45","21.28","20.00","20.00"
"20019","Beasain","4.71","4.96","5.13","5.45","5.25"
"48092","Bedia","15.27","16.13","7.46","8.06","7.94"
"20020","Beizama","33.33","31.25","37.04","43.48","47.62"
"20021","Belauntza","22.73","24.39","24.39","31.25","0.00"
"48016","Berango","5.05","5.33","5.69","4.04","4.37"
"01014","Berantevilla","42.86","61.22","39.22","62.50","63.83"
"20022","Berastegi","5.43","5.38","5.38","5.99","6.10"
"20074","Bergara","9.76","9.97","8.43","8.52","8.77"
"48017","Bermeo","2.70","2.79","2.84","2.92","2.94"
"01016","Bernedo","63.49","19.61","18.18","61.22","65.22"
"48018","Berriatua","5.95","6.21","6.90","8.06","9.35"
"48019","Berriz","14.67","9.67","10.42",NA,"15.54"
"20023","Berrobi","23.81","22.99","10.99","11.63","11.49"
"20024","Bidania-Goiatz","21.28","22.99","12.35","12.66","13.33"
"48020","Bilbao","2.99","2.78","2.78",NA,"2.29"
"48021","Busturia","28.57","40.40","27.93","29.07","30.86"
"01017","Campezo/Kanpezu","32.26","32.52","34.78","26.32","30.61"
"20029","Deba","3.94","6.56","6.68","4.06","4.07"
"48901","Derio","5.18","5.38","15.76","16.30","9.79"
"48026","Dima","5.13","5.35","5.68","5.88","6.13"
"20069","Donostia / San Sebastián","5.73","5.79","5.58","5.24","0.48"
"48027","Durango","2.08","2.09","2.15",NA,"2.03"
"48028","Ea","46.51","45.98","50.00","54.05","61.54"
"20030","Eibar","4.36","4.41","7.92","7.96","7.58"
"48031","Elantxobe","33.33","33.33","40.00","41.67","40.00"
"01021","Elburgo/Burgelu","48.54","53.19","56.82","21.74","24.10"
"01022","Elciego","16.39","17.86","18.69","20.20","22.99"
"20031","Elduain","22.73","23.26","23.26","27.78","30.30"
"20033","Elgeta","21.90","21.43","22.06","29.63","31.50"
"20032","Elgoibar","6.46","11.06","11.86",NA,"14.39"
"48032","Elorrio","3.00","3.06","5.32","4.42","4.47"
"01023","Elvillar/Bilar","20.00","19.23","21.74","22.73","22.73"
"48902","Erandio","5.02","5.18","5.44","5.62","6.02"
"48033","Ereño","86.96","83.33","100.00","95.24","95.24"
"48034","Ermua","4.95","5.00","7.12","7.14","7.25"
