"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","1281.06","1220.14","1379.36","1396.39","1409.01","1796.43","1137.59","1229.97","1353.28","1137.53","999.79","982.04","1341.63"
"20001","Abaltzisketa","1256.75","1991.98","1375.87","2434.33","2484.03","1827.34","1311.36","1069.10","1326.15","1583.27","1044.23","1126.94","1519.96"
"48002","Abanto y Ciérvana-Abanto Zierbena","1133.92","1109.75","1225.57","1479.18","1273.75","1673.95","1684.03","1681.01","1626.98","1272.71","1177.97","923.20","923.36"
"20002","Aduna","1971.48","1664.32","1556.62","1563.53","2835.14","4288.95","4575.62","2075.75","2287.83","2979.49","2394.43","2237.42","1939.57"
"20016","Aia","969.43","1116.09","1093.54","1152.34","1318.72","1526.76","2017.92","1241.12","1634.83","1404.86","1082.97","1290.50","1413.35"
"20003","Aizarnazabal","1722.48","1482.40","1821.93","1559.02","1568.95","2631.13","3242.62","2519.24","1471.88","1300.93","1342.23","1567.28","1385.67"
"48911","Ajangiz","1259.08","1187.19","1720.33","2554.74","2507.42","2385.37","2097.81","1938.85","1496.82","2322.74","1561.92","1209.13","1359.40"
"20004","Albiztur","1823.93","1268.39","1205.61","1383.77","1883.45","1727.97","1830.12","2156.46","2228.82","2354.87","909.50","1009.79","936.43"
"20005","Alegia","1062.97","966.05","853.90","1065.70","1191.07","1330.93","1493.02","1324.32","895.50","900.46","666.90","796.41","711.86"
"01001","Alegría-Dulantzi","1118.63","1019.49","1048.03","1075.39","1673.01","1792.99","1553.74","1390.44","1583.22","1841.45","2368.24","1208.89","1266.09"
"20006","Alkiza","1876.30","1194.28","1299.56","1096.34","1562.77","1443.67","1265.95","1349.23","2494.50","2387.65","1239.38","1244.32","1008.79"
"48912","Alonsotegi","1042.98","1034.60","2127.46","1130.46","1415.58","2886.52","1471.14","3528.45","1870.27","976.20","1982.46","1308.12","1345.01"
"20906","Altzaga","1786.43","1093.25","1854.38","1666.80","1835.63","2583.95","1581.33","1799.73","2168.52","2715.66","1460.36","1368.21","3321.24"
"20007","Altzo","1298.31","1688.08","1667.49","1675.67","2005.78","1948.99","1218.02","1320.17","1395.30","1434.17","1418.58","2057.26","1802.48"
"20008","Amezketa","1250.61","1143.72","950.75","1478.47","1360.02","2550.29","1099.97","1034.26","1336.29","890.13","634.18","1093.82","688.42"
"48003","Amorebieta-Etxano","1377.86","1330.74","1259.98","1243.33","2018.95","1996.67","1686.77","1294.29","1290.21","1118.15","1150.83","1073.50","956.77"
"48004","Amoroto","1405.56","1579.69","1584.36","1477.79","1604.95","2286.61","2040.32","2531.88","2595.21","1752.31","1397.59","1103.43","1333.54"
"01002","Amurrio","1128.35","1115.52","1083.76","1217.23","1282.87","1628.71","1440.84","1514.32","1483.48","1532.20","1248.78","1268.00","1152.17"
"20009","Andoain","1388.91","1435.06","1439.92","1493.37","1649.27","1784.21","1396.05","1658.35","1267.66","1276.50","1044.33","1187.67","860.34"
"20010","Anoeta","1299.16","1040.79","1058.79","1169.60","1151.86","1403.64","1062.39","1081.28","1040.13","1201.67","2435.88","1052.63","932.01"
"20011","Antzuola","1283.57","1287.65","1094.74","1147.29","1564.11","2224.59","1661.70","912.05","1057.21","1249.84","1095.44","1124.15","898.10"
"48005","Arakaldo","1663.68","2033.88","3356.50","3277.50","2567.85","3520.55","6140.50","6364.81","2726.40","2964.48","5459.66","7144.62","1848.18"
"20012","Arama","2573.67","2991.38","1657.18","4742.60","1539.20","1903.58","1508.20","1988.23","3569.57","3648.00","3251.34","3417.85","860.17"
"01003","Aramaio","1471.62","1323.28","1635.33","1823.52","2050.98","1466.83","1293.59","1043.68","1674.16","840.00","965.76","1242.87","974.38"
"48006","Arantzazu","1253.98","1138.26","1245.41","1691.88","2461.77","3342.53","3499.94","4518.79","5932.01","2350.06","2138.53","1379.49","1143.52"
"48093","Areatza","1216.00","1116.89","1151.19","1443.10","1842.92","1807.88","2579.67","1727.76","3079.28","2192.53","1731.07","2149.51","1179.19"
"20013","Aretxabaleta","1184.27","1125.47","1679.44","2016.93","1830.55","1627.10","1520.13","1589.42","1192.85","864.74","953.59","1023.18","839.90"
"01006","Armiñón","795.17","828.77","2262.17","1250.10","1075.25","1469.36","1563.45","1594.88","1352.83","710.12","743.73","757.17","743.73"
"01037","Arraia-Maeztu","961.09","1006.42","1399.09","1111.26","2265.96","1167.94","950.75","756.63","983.54","804.96","861.64","945.06","794.66"
"48009","Arrankudiaga","1252.06","1419.91","1662.89","2005.58","2214.60","2309.73","2379.52","1816.69","1696.00","1615.48","1104.47","1432.36","1086.78"
"20055","Arrasate/Mondragón","1301.51","1327.43","1291.90","1387.44","1525.29","1946.56","1564.93","1537.49","1699.70","1390.64","1136.37","1058.21","1020.52"
"48914","Arratzu","2568.82","1895.81","1977.85","3551.98","1932.93","3356.83","2370.96","2639.18","1701.83","2351.16","2216.84","905.94","1122.92"
"01008","Arratzua-Ubarrundia","814.67","929.82","915.56","1397.12","3809.64","2570.06","2063.69","1464.21","1959.39","835.25","746.35","1137.28","1368.24"
"48010","Arrieta","1090.90","1248.95","1438.95","1764.65","2334.50","3174.55","1800.54","2817.65","4147.05","1399.97","2422.70","1665.97","1759.04"
"48011","Arrigorriaga","1033.72","978.52","908.60","1124.51","1382.88","1549.41","1715.22","1207.97","959.07","899.49","764.17","1158.60","1140.60"
"48023","Artea","1278.62","1252.61","1517.39","1960.82","2488.72","3134.08","2994.87","2902.51","1173.66","1201.44","1955.95","1121.66","3299.17"
"48008","Artzentales","1705.35","1447.55","1484.69","1441.48","1555.01","2094.09","1744.89","2235.11","3042.21","1536.69","1498.13","1679.60","1154.89"
"01004","Artziniega","1038.49","900.87","901.87","1098.24","1217.48","1288.68","1264.06","1337.16","1165.80","1134.65","1081.59","1912.52","1177.38"
"01009","Asparrena","1574.45","1700.45","1433.38","1514.04","1960.43","2387.44","3955.32","1413.13","1725.81","1265.45","1492.56","1052.72","1137.49"
"20014","Asteasu","1419.38","1352.41","1290.01","2113.15","3669.67","1883.64","1420.15","1412.07","2258.35","1467.25","1561.48","4254.07","2374.14"
"20903","Astigarraga","1225.93","1272.13","1189.91","1488.85","1518.78","1634.89","1469.40","1653.46","1627.10","1602.96","1226.78","1337.64","1276.20"
"20015","Ataun","928.12","1165.84","845.07","1483.89","3160.69","2598.52","1599.55","1634.95","1486.08","1745.66","966.79","1333.02","1460.51"
"48091","Atxondo","1125.14","1218.93","1170.33","1070.50","1616.06","1846.10","1818.95","1323.82","1360.84","987.62","1058.63","981.70","1165.06"
"48070","Aulesti","1809.32","1624.82","2129.43","1399.10","1880.55","3792.09","2366.91","2897.58","1951.36","1232.44","1564.07","1539.40","1508.85"
"01010","Ayala/Aiara","907.37","769.58","667.38","792.98","1009.97","1014.31","1109.55","715.45","713.88","742.25","840.18","696.29","570.57"
"20017","Azkoitia","1172.47","1088.63","1104.38","1292.58","1232.02","2116.88","1631.65","1380.05","1811.18","1297.67","1241.95","1367.96","1238.03"
"20018","Azpeitia","1175.90","1145.70","1129.83","1498.09","1575.93","1546.83","1655.38","1600.01","1271.20","1285.63","1044.15","1180.07","1110.37"
"01049","Añana","1972.24","2036.18","2509.62","2889.68","4564.13","2487.91","1660.65","4768.48","5523.41","4022.27","1025.84","2754.76","4714.32"
"48012","Bakio","1291.65","1546.57","1887.47","2916.03","2135.96","3178.99","3934.62","4219.24","3447.97","3151.71","2874.13","2545.22","2420.95"
"20904","Baliarrain","2231.37","2607.11","2926.12","11718.83","2261.22","2941.15","1712.60","7394.31","10595.18","10264.08","2863.37","8338.34","6421.38"
"48090","Balmaseda","1137.77","912.63","998.09","1917.72","1705.96","1913.77","1635.42","2232.18","1379.04","1509.94","1289.17","1143.02","875.76"
"48013","Barakaldo","1025.40","1045.81","1039.69","1101.00","1225.73","1387.47","1196.54","1229.20","1056.48","1036.88","987.30","985.02","943.95"
"48014","Barrika","879.26","939.84","893.40","1207.13","1371.80","1816.91","1273.45","1277.31","896.66","1517.44","1255.13","995.84","952.58"
"01013","Barrundia","906.95","894.31","1801.28","1459.75","1515.48","2337.09","866.91","1398.80","1328.28","1523.91","718.48","600.45","644.61"
"48015","Basauri","1142.60","1082.60","1320.36","1371.55","1573.97","1513.39","1180.92","1119.00","1055.21","988.78","840.51","838.16","802.12"
"01011","Baños de Ebro/Mañueta","910.12","1426.97","2538.76","8275.74","2887.30","1454.26","1161.85","2483.65","1196.10","1576.35","1932.36","1930.22","1984.17"
"20019","Beasain","1098.09","1028.84","1046.17","1120.25","1380.77","1571.86","1070.16","1053.83","1258.05","1265.60","867.29","896.66","982.19"
"48092","Bedia","1351.84","1251.55","2021.73","1616.85","1500.71","2272.65","2360.26","2061.18","1885.00","1479.98","1063.76","1113.97","1136.14"
"20020","Beizama","2096.78","1888.49","1870.81","3423.44","3584.79","4868.41","4048.74","2514.62","2586.06","2467.78","2496.82","2370.60","2572.07"
"20021","Belauntza","1666.10","1706.43","1517.99","1960.57","2833.27","1820.00","1142.51","1568.42","1592.86","1625.78","1243.32","1469.95","1797.59"
"48016","Berango","919.49","966.51","932.21","1012.18","991.04","1522.70","1173.64","1362.43","1606.91","1245.78","771.46","738.17","730.70"
"01014","Berantevilla","1263.49","841.47","1067.41","1108.35","966.89","1232.98","1305.35","1293.66","865.31","423.37","415.97","413.26","408.83"
"20022","Berastegi","968.05","961.85","1136.17","1918.90","1355.80","1469.25","1278.36","663.73","673.00","1395.57","908.06","917.40","1100.23"
"20074","Bergara","1559.74","1277.80","1251.88","1495.56","1580.58","1774.46","1644.48","1454.96","1554.19","1357.81","1271.27","1130.17","1020.99"
"48017","Bermeo","1012.07","1104.71","1008.26","1205.06","1433.77","1353.59","1390.04","1346.14","1233.61","961.91","1289.92","1083.43","1013.00"
"01016","Bernedo","987.68","983.69","982.50","1564.82","1361.39","1373.50","1015.43","998.11","1403.61","2305.16","962.11","2064.20","737.48"
"48018","Berriatua","1379.27","1554.91","1477.07","2185.76","1753.10","1787.26","1412.11","1157.02","1089.03","1590.63","1020.68","1275.25","1380.51"
"48019","Berriz","1253.21","1058.75","1342.95","1387.63","1369.30","1989.82","1524.42","1455.28","1542.74","1248.22","1039.97","1239.83","1200.01"
"20023","Berrobi","1297.91","1243.30","1141.04","965.32","1792.75","1609.77","1646.15","1141.58","2909.11","1301.15","1232.01","2061.13","1034.18"
"20024","Bidania-Goiatz","1416.53","1404.18","1683.61","2012.95","1724.49","1787.48","1851.07","2208.00","1916.41","1802.70","1782.54","1707.06","1176.43"
"48020","Bilbao","1408.35","1256.73","1282.82","1402.08","1569.52","1774.55","1568.36","1522.95","1342.31","1280.79","1210.74","1127.16","976.21"
"48021","Busturia","979.35","998.61","1111.58","1220.22","1252.81","1617.85","1462.41","1403.33","756.56","1029.39","1697.02","981.04","1410.58"
"01017","Campezo/Kanpezu","1069.63","1326.85","1000.03","1001.36","1491.38","1692.72","993.74","1092.18","910.81","931.39","904.56","621.41","839.28"
"20029","Deba","1462.59","1352.14","1249.32","1604.00","1828.98","2022.22","2022.55","1514.21","1683.86","1522.19","1351.38","1507.66","1197.77"
"48901","Derio","1166.29","1448.33","1448.03","1795.29","2215.22","2435.10","2562.51","1827.30","1291.39","1322.67","1760.52","896.71","952.19"
"48026","Dima","1564.21","1376.75","1311.28","1689.25","1721.70","2261.30","1971.23","2784.30","1983.45","2378.14","1744.16","1598.86","1354.37"
"20069","Donostia / San Sebastián","1517.57","1482.36","1431.93","1694.14","1793.78","2023.54","1756.49","1554.14","1417.94","1239.53","1214.24","1218.92","1101.51"
"48027","Durango","983.49","1011.30","942.05","1048.77","1187.14","1420.53","1356.12","1503.08","967.35","875.01","824.93","723.34","733.47"
"48028","Ea","1180.04","1440.28","2446.76","1371.84","2299.52","2203.47","1149.43","1045.79","1183.00","1737.01","1296.48","1062.26","754.98"
"20030","Eibar","1137.82","1040.62","1044.95","1357.13","1367.46","1452.95","1347.89","1500.33","1229.04","1023.63","969.01","1158.43","996.98"
"48031","Elantxobe","1090.71","1516.93","1610.64","1288.16","2553.35","2656.32","1810.85","1995.67","1745.14","1282.36","1108.08","1352.17","1912.94"
"01021","Elburgo/Burgelu","1031.22","868.21","1097.43","1126.27","1249.48","3306.83","2988.19","1903.27","894.08","895.92","1946.88","864.76","1102.73"
"01022","Elciego","1465.40","1586.65","1400.08","1597.29","3356.89","2265.12","1834.32","1761.06","1893.60","2527.49","1776.40","2635.18","2668.68"
