"Udalerri kodea","Udalerria","2014","2013","2011","2009","2006","2003","2001","1997"
"20017","Azkoitia","19.567.00","19.257.00","19.386.00","19.279.00","16.752.00","13.744.00","12.705.00","9.509.00"
"20018","Azpeitia","19.414.00","19.221.00","19.386.00","20.680.00","16.013.00","14.360.00","13.262.00","10.080.00"
"01049","Añana","14.972.00","17.315.00","17.402.00","16.079.00","13.033.00","11.421.00","10.251.00","8.126.00"
"48012","Bakio","23.520.00","23.914.00","24.666.00","24.012.00","20.762.00","17.059.00","13.837.00","10.213.00"
"20904","Baliarrain","21.664.00","23.252.00","21.339.00","19.812.00","14.843.00","11.554.00","9.884.00","8.106.00"
"48090","Balmaseda","14.896.00","14.670.00","15.388.00","15.248.00","14.199.00","10.742.00","9.801.00","7.839.00"
"48013","Barakaldo","16.450.00","16.398.00","16.560.00","16.592.00","14.843.00","11.354.00","10.486.00","8.081.00"
"48014","Barrika","22.162.00","26.973.00","23.975.00","24.076.00","21.458.00","15.266.00","14.020.00","10.572.00"
"01013","Barrundia","22.251.00","22.698.00","24.172.00","22.774.00","18.427.00","16.088.00","12.979.00","9.558.00"
"48015","Basauri","15.988.00","15.989.00","16.437.00","16.478.00","13.931.00","11.440.00","10.848.00","8.478.00"
"01011","Baños de Ebro/Mañueta","13.552.00","12.668.00","12.201.00","13.275.00","10.188.00","10.103.00","10.329.00","9.084.00"
"20019","Beasain","21.316.00","21.357.00","21.969.00","21.291.00","18.177.00","14.732.00","13.714.00","10.455.00"
"48092","Bedia","17.964.00","18.985.00","18.118.00","17.673.00","15.869.00","12.481.00","11.909.00","9.295.00"
"20020","Beizama","18.293.00","15.299.00","17.600.00","21.058.00","15.807.00","14.324.00","12.376.00","7.775.00"
"20021","Belauntza","18.702.00","19.476.00","21.176.00","22.243.00","16.662.00","12.374.00","13.345.00","8.883.00"
"48016","Berango","23.916.00","24.086.00","25.584.00","23.905.00","20.983.00","15.764.00","12.817.00","9.785.00"
"01014","Berantevilla","17.173.00","19.133.00","18.826.00","16.986.00","18.701.00","11.716.00","10.340.00","7.683.00"
