"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"48001","Abadiño","115.95","108.37","102.49","107.26","117.28","114.48","111.70"
"20001","Abaltzisketa","16.90","21.13","23.24","25.36","38.69","46.76","56.52"
"48002","Abanto y Ciérvana-Abanto Zierbena","68.01","68.47","68.23","70.92","74.00","75.66","80.00"
"20002","Aduna","308.16","287.24","294.00","286.15","310.88","300.52","320.11"
"20016","Aia","42.18","41.60","40.53","44.60","51.08","31.80","32.67"
"20003","Aizarnazabal","92.63","89.42","90.38","93.73","97.20","124.52","135.39"
"48911","Ajangiz","308.87","287.19","270.87","295.34","324.24","301.01","230.21"
"20004","Albiztur","49.26","35.29","47.48","50.71","54.35","62.96","62.50"
"20005","Alegia","29.61","26.96","32.96","33.01","34.37","34.89","32.16"
"01001","Alegría-Dulantzi","42.73","42.82","45.43","45.58","48.28","52.34","55.61"
"20006","Alkiza","14.38","14.38","15.89","13.38","12.58","12.99","12.90"
"48912","Alonsotegi","43.91","46.79","42.52","44.22","46.11","47.95","61.37"
"20906","Altzaga","25.00","20.31","20.00","18.18","21.54","19.40","17.91"
"20007","Altzo","87.88","89.09","88.20","93.41","90.75","85.12","86.75"
"20008","Amezketa","60.61","58.04","56.21","57.71","56.51","55.66","50.86"
"48003","Amorebieta-Etxano","71.14","63.79","66.22","66.98","68.97","69.49","68.29"
"48004","Amoroto","89.27","87.57","86.11","87.50","94.97","90.71","82.97"
"01002","Amurrio","65.39","67.95","66.67","68.51","73.15","76.38","74.16"
"20009","Andoain","50.00","49.74","51.49","50.66","53.69","54.06","55.06"
"20010","Anoeta","67.44","62.79","65.31","67.26","71.61","67.06","71.09"
"20011","Antzuola","69.28","71.44","67.64","66.96","70.59","71.38","71.10"
"48005","Arakaldo","37.50","103.12","125.42","151.72","164.91","178.95","226.53"
"20012","Arama","130.34","137.08","125.56","148.28","159.76","157.32","129.03"
"01003","Aramaio","24.05","21.94","22.38","25.04","25.23","23.08","23.25"
"48006","Arantzazu","39.33","28.67","30.52","29.80","30.14","27.78","26.62"
"48093","Areatza","18.74","17.47","17.23","19.21","27.56","29.54","28.86"
"20013","Aretxabaleta","39.22","39.01","39.59","40.12","41.41","39.69","40.70"
"01006","Armiñón","84.85","82.83","83.65","89.11","101.02","101.01","105.21"
"01037","Arraia-Maeztu","29.91","30.50","26.57","28.29","33.15","36.77","41.00"
"48009","Arrankudiaga","95.93","91.35","91.46","119.64","130.75","129.29","134.23"
"20055","Arrasate/Mondragón","73.76","73.59","76.93","75.58","75.73","75.40","75.70"
"48914","Arratzu","22.86","22.29","23.16","21.02","23.16","35.26","16.95"
"01008","Arratzua-Ubarrundia","34.07","34.07","34.98","36.02","36.59","35.60","33.82"
"48010","Arrieta","16.28","18.22","19.12","19.50","20.16","22.13","23.53"
"48011","Arrigorriaga","45.80","44.63","43.59","44.63","50.73","51.71","54.35"
"48023","Artea","96.87","111.91","112.81","123.34","124.15","96.53","51.77"
"48008","Artzentales","16.08","16.96","16.62","15.00","18.16","17.68","14.80"
"01004","Artziniega","34.71","34.02","30.86","32.45","32.15","35.60","37.38"
"01009","Asparrena","79.13","75.32","80.70","78.69","84.68","87.40","83.42"
"20014","Asteasu","136.81","129.86","128.62","129.67","136.75","140.32","145.59"
"20903","Astigarraga","93.44","91.68","92.15","98.89","112.24","129.45","134.60"
