"Udalerri kodea","Udalerria","2015","2014","2013","2012"
"48001","Abadiño","36.86","36.69","37.32","37.77"
"20001","Abaltzisketa","33.55","35.37","33.77","35.03"
"48002","Abanto y Ciérvana-Abanto Zierbena","16.02","15.97","16.05","16.32"
"20002","Aduna","29.33","26.13","29.47","30.48"
"20016","Aia","22.34","22.28","23.14","23.14"
"20003","Aizarnazabal","40.25","38.74","36.79","43.00"
"48911","Ajangiz","30.18","26.32","30.06","30.43"
"20004","Albiztur","31.39","31.65","30.88","33.59"
"20005","Alegia","33.83","33.33","34.49","34.05"
"01001","Alegría-Dulantzi","23.96","23.20","24.43","24.98"
"20006","Alkiza","32.52","30.30","30.97","30.87"
"48912","Alonsotegi","16.94","16.97","16.82","17.00"
"20906","Altzaga","20.31","22.22","24.19","23.33"
"20007","Altzo","30.13","30.20","27.81","28.39"
"20008","Amezketa","43.50","44.44","43.45","44.39"
"48003","Amorebieta-Etxano","26.52","26.30","27.43","27.70"
"48004","Amoroto","33.33","31.52","33.75","35.62"
"01002","Amurrio","30.69","31.66","33.90","33.95"
"20009","Andoain","26.21","26.11","26.54","27.31"
"20010","Anoeta","31.61","31.43","31.84","31.29"
"20011","Antzuola","44.79","45.91","45.52","47.03"
"48005","Arakaldo","18.37","28.21","31.71","30.00"
"20012","Arama","30.38","32.89","31.25","30.00"
"01003","Aramaio","30.05","35.73","39.84","40.23"
"48006","Arantzazu","25.19","25.21","26.23","25.22"
"48093","Areatza","18.52","21.05","23.18","22.51"
"20013","Aretxabaleta","37.22","42.51","43.80","44.31"
"01006","Armiñón","30.43","30.56","29.17","31.34"
"01037","Arraia-Maeztu","25.58","24.81","25.88","25.74"
"48009","Arrankudiaga","15.45","13.33","14.54","12.81"
"20055","Arrasate/Mondragón","33.08","37.32","40.55","41.27"
"48914","Arratzu","23.02","22.79","23.13","23.53"
"01008","Arratzua-Ubarrundia","20.25","19.65","20.67","21.41"
"48010","Arrieta","11.56","10.78","11.44","11.39"
"48011","Arrigorriaga","16.40","16.52","17.06","17.92"
"48023","Artea","22.18","20.75","21.62","21.32"
"48008","Artzentales","9.80","11.52","11.01","11.47"
"01004","Artziniega","27.18","25.83","28.09","27.39"
"01009","Asparrena","38.04","40.07","40.96","43.65"
"20014","Asteasu","25.37","25.07","25.41","25.34"
"20903","Astigarraga","15.88","16.35","17.11","17.10"
"20015","Ataun","26.83","27.85","28.96","28.96"
"48091","Atxondo","32.39","30.35","32.18","34.12"
"48070","Aulesti","33.77","32.39","35.82","38.33"
"01010","Ayala/Aiara","29.43","29.24","29.24","30.62"
"20017","Azkoitia","36.02","36.01","36.96","37.84"
"20018","Azpeitia","31.42","31.78","32.95","34.95"
"01049","Añana","25.00","19.61","26.09","23.08"
"48012","Bakio","12.52","12.82","12.70","13.42"
"20904","Baliarrain","44.00","46.94","43.14","46.00"
"48090","Balmaseda","16.20","15.55","16.21","16.83"
"48013","Barakaldo","13.41","13.65","14.09","14.19"
"48014","Barrika","9.11","9.52","8.80","10.75"
"01013","Barrundia","19.73","21.04","22.16","21.31"
"48015","Basauri","18.26","18.74","19.50","20.35"
"01011","Baños de Ebro/Mañueta","12.96","12.50","14.55","15.45"
"20019","Beasain","36.11","36.72","36.73","37.94"
"48092","Bedia","20.10","21.07","21.75","22.46"
"20020","Beizama","16.36","14.06","15.79","13.46"
"20021","Belauntza","24.39","28.10","24.62","25.37"
"48016","Berango","10.62","10.82","10.86","11.37"
"01014","Berantevilla","25.93","24.46","25.69","25.64"
"20022","Berastegi","33.72","32.20","33.09","32.53"
"20074","Bergara","34.93","37.12","38.37","39.59"
"48017","Bermeo","16.66","16.74","17.03","17.43"
"01016","Bernedo","25.40","27.42","30.41","29.00"
"48018","Berriatua","37.50","36.73","36.29","36.33"
"48019","Berriz","36.97","36.87","37.41","38.38"
"20023","Berrobi","36.64","36.44","38.84","41.01"
"20024","Bidania-Goiatz","29.20","30.48","28.44","31.63"
"48020","Bilbao","10.72","10.96","11.38","11.46"
"48021","Busturia","22.09","22.59","23.64","23.13"
"01017","Campezo/Kanpezu","27.13","26.04","28.12","28.21"
"20029","Deba","29.04","28.84","30.00","30.83"
"48901","Derio","20.87","21.15","21.85","22.54"
"48026","Dima","20.34","21.26","21.77","20.97"
"20069","Donostia / San Sebastián","10.55","10.66","10.87","11.11"
"48027","Durango","29.78","29.85","30.36","30.54"
"48028","Ea","17.80","16.42","15.97","17.99"
"20030","Eibar","31.25","31.59","33.14","33.95"
"48031","Elantxobe","18.81","18.00","18.95","20.62"
"01021","Elburgo/Burgelu","19.30","19.15","19.85","20.50"
"01022","Elciego","28.81","27.81","29.15","29.35"
"20031","Elduain","41.12","40.00","40.21","40.00"
"20033","Elgeta","34.57","35.24","37.60","38.38"
"20032","Elgoibar","37.81","38.41","38.82","40.23"
"48032","Elorrio","30.97","31.23","31.57","31.72"
"01023","Elvillar/Bilar","11.20","13.43","11.45","8.70"
"48902","Erandio","13.52","13.61","14.23","14.72"
"48033","Ereño","16.28","16.88","20.48","20.00"
"48034","Ermua","40.79","41.05","42.05","42.52"
"20067","Errenteria","15.76","16.11","16.40","17.01"
"20066","Errezil","27.91","31.05","30.36","34.50"
"01046","Erriberagoitia/Ribera Alta","19.77","19.76","20.72","19.92"
"48079","Errigoiti","19.61","17.81","18.67","19.48"
"20034","Eskoriatza","42.41","47.41","50.12","50.69"
