"Udalerri kodea","Udalerria","2015","2011","2007","2003"
"48001","Abadiño","68.57","71.16","65.94","72.90"
"20001","Abaltzisketa","62.45","66.13","55.70","60.39"
"48002","Abanto y Ciérvana-Abanto Zierbena","63.44","65.24","63.76","68.34"
"20002","Aduna","70.20","86.46","67.97","76.53"
"20016","Aia","67.19","69.73","62.26","74.85"
"20003","Aizarnazabal","67.35","78.27","73.28","72.08"
"48911","Ajangiz","80.68","83.60","88.74","88.35"
"20004","Albiztur","69.88","64.03","60.24","61.63"
"20005","Alegia","63.03","66.94","59.90","73.67"
"01001","Alegría-Dulantzi","67.92","66.40","68.33","75.30"
"20006","Alkiza","63.26","74.18","69.92","72.77"
"48912","Alonsotegi","71.79","73.68","72.46","80.54"
"20906","Altzaga","72.13","78.99","73.95","79.65"
"20007","Altzo","68.87","71.57","84.69","75.90"
"20008","Amezketa","63.39","73.06","74.84","78.53"
"48003","Amorebieta-Etxano","65.92","67.74","62.87","74.01"
"48004","Amoroto","68.50","71.47","67.05","79.81"
"01002","Amurrio","67.33","69.56","68.30","75.96"
"20009","Andoain","62.32","63.38","58.00","67.88"
"20010","Anoeta","69.48","66.17","68.87","73.51"
"20011","Antzuola","69.85","72.92","73.30","78.15"
"48005","Arakaldo","80.17","81.25","68.09","73.40"
"20012","Arama","79.59","75.82","95.39","73.76"
"01003","Aramaio","70.34","74.75","74.67","78.16"
"48006","Arantzazu","90.03","90.69","82.20","91.37"
"48093","Areatza","82.73","81.03","75.96","84.10"
"20013","Aretxabaleta","67.60","65.11","59.44","71.04"
"01006","Armiñón","67.04","77.54","79.56","78.26"
"01037","Arraia-Maeztu","76.85","69.82","74.50","73.00"
"48009","Arrankudiaga","82.35","83.07","73.47","82.44"
"20055","Arrasate/Mondragón","61.49","61.10","60.04","69.23"
"48914","Arratzu","87.65","90.27","82.97","86.39"
"01008","Arratzua-Ubarrundia","64.40","70.22","68.97","75.77"
"48010","Arrieta","75.81","77.37","67.15","73.40"
"48011","Arrigorriaga","62.95","62.27","57.84","70.32"
"48023","Artea","81.88","87.69","88.46","86.32"
"48008","Artzentales","74.34","77.22","76.24","87.48"
"01004","Artziniega","70.13","72.85","70.43","82.06"
"01009","Asparrena","72.87","72.16","70.94","72.42"
"20014","Asteasu","62.58","71.72","61.97","71.68"
"20903","Astigarraga","63.61","61.12","55.59","66.20"
"20015","Ataun","78.20","81.44","78.21","81.95"
"48091","Atxondo","71.73","71.01","71.89","73.00"
"48070","Aulesti","75.09","81.25","77.47","78.38"
"01010","Ayala/Aiara","72.07","73.17","71.33","81.42"
"20017","Azkoitia","69.31","69.11","65.35","74.67"
"20018","Azpeitia","65.83","72.11","67.81","72.65"
"01049","Añana","83.22","78.08","87.43","91.48"
"48012","Bakio","77.14","81.30","79.15","83.99"
"20904","Baliarrain",NA,"75.00","69.23","78.31"
"48090","Balmaseda","72.07","76.76","75.00","82.29"
"48013","Barakaldo","58.71","56.47","56.58","64.53"
"48014","Barrika","67.89","72.28","64.47","72.95"
"01013","Barrundia","65.42","63.70","66.18","71.32"
"48015","Basauri","60.89","61.73","58.40","67.74"
"01011","Baños de Ebro/Mañueta","84.15","83.59","88.85","90.78"
"20019","Beasain","61.64","61.48","55.58","68.97"
