"Udalerri kodea","Udalerria","2015","2014","2013","2012"
"48001","Abadiño","58.19","57.76","57.05","56.11"
"20001","Abaltzisketa","56.13","52.38","54.55","52.23"
"48002","Abanto y Ciérvana-Abanto Zierbena","74.76","74.29","73.85","73.11"
"20002","Aduna","61.06","62.31","58.42","57.22"
"20016","Aia","49.87","50.27","49.86","51.06"
"20003","Aizarnazabal","49.69","50.33","52.20","44.95"
"48911","Ajangiz","62.72","65.50","62.58","61.49"
"20004","Albiztur","58.39","58.27","58.09","54.69"
"20005","Alegia","58.70","59.12","57.43","57.69"
"01001","Alegría-Dulantzi","69.30","70.17","68.68","67.19"
"20006","Alkiza","53.99","55.76","52.90","51.01"
"48912","Alonsotegi","72.58","71.66","71.24","71.07"
"20906","Altzaga","68.75","66.67","66.13","66.67"
"20007","Altzo","60.26","59.73","60.93","60.00"
"20008","Amezketa","42.25","41.48","41.26","39.76"
"48003","Amorebieta-Etxano","67.60","67.73","66.34","66.06"
"48004","Amoroto","58.48","57.58","52.50","48.75"
"01002","Amurrio","61.51","60.48","58.17","57.29"
"20009","Andoain","66.62","66.59","65.92","64.83"
"20010","Anoeta","59.17","59.52","58.83","58.95"
"20011","Antzuola","50.33","49.18","49.55","47.03"
"48005","Arakaldo","73.47","64.10","60.98","57.50"
"20012","Arama","56.96","55.26","56.25","56.25"
"01003","Aramaio","63.49","57.10","53.33","52.59"
"48006","Arantzazu","65.65","63.87","65.57","66.09"
"48093","Areatza","71.46","69.34","67.50","67.05"
"20013","Aretxabaleta","57.96","52.71","51.18","49.95"
"01006","Armiñón","50.72","48.61","47.22","44.78"
"01037","Arraia-Maeztu","52.71","53.01","50.98","50.37"
"48009","Arrankudiaga","73.31","75.07","72.40","73.12"
"20055","Arrasate/Mondragón","63.77","59.42","56.42","55.36"
"48914","Arratzu","70.50","69.85","69.40","68.38"
"01008","Arratzua-Ubarrundia","66.00","65.92","64.08","62.97"
"48010","Arrieta","74.67","73.04","72.14","70.79"
"48011","Arrigorriaga","76.61","76.60","75.63","74.20"
"48023","Artea","71.98","72.83","72.97","71.71"
"48008","Artzentales","70.61","67.49","65.20","63.30"
"01004","Artziniega","65.26","65.60","63.90","63.33"
"01009","Asparrena","50.66","48.63","46.64","44.72"
"20014","Asteasu","57.62","58.12","58.25","56.45"
"20903","Astigarraga","75.05","73.89","72.40","71.66"
"20015","Ataun","60.96","59.45","57.36","56.85"
