"Udalerri kodea","Udalerria","2008","2004"
"01028","Labastida/Bastida","0.04","0.03"
"01030","Lagrán","0.02","0.00"
"01031","Laguardia","0.05","0.02"
"01032","Lanciego/Lantziego","0.08","0.02"
"48051","Lanestosa","0.63","0.54"
"01902","Lantarón","1.05","1.05"
"01033","Lapuebla de Labarca","0.14","0.08"
"48052","Larrabetzu","0.13","0.11"
"20048","Larraul","0.00","0.00"
"20902","Lasarte-Oria","4.01","2.85"
"01036","Laudio/Llodio","3.27","3.10"
"48053","Laukiz","0.27","0.06"
"20049","Lazkao","2.95","2.96"
"20050","Leaburu","0.13","0.07"
"20051","Legazpi","1.19","0.79"
"20052","Legorreta","1.11","0.91"
"01058","Legutio","1.50","1.58"
"20068","Leintz-Gatzaga","0.07","0.00"
"48054","Leioa","6.53","6.38"
"48057","Lekeitio","0.94","0.97"
"48055","Lemoa","0.94","0.95"
"48056","Lemoiz","2.52","1.68"
"01034","Leza","0.03","0.07"
"48081","Lezama","0.41","0.38"
"20053","Lezo","3.12","2.78"
"20054","Lizartza","0.10","0.01"
"48903","Loiu","2.01","1.17"
"48058","Mallabia","0.63","0.40"
"48060","Markina-Xemein","0.32","0.20"
"48061","Maruri-Jatabe","0.09","0.04"
"48059","Mañaria","1.29","1.27"
"20901","Mendaro","0.13","0.01"
"48062","Mendata","0.00","0.00"
"48063","Mendexa","0.06","0.05"
"48064","Meñaka","0.02","0.01"
"01039","Moreda de Álava / Moreda Araba","0.20","0.19"
"48066","Morga","0.00","-1.234.56"
"48068","Mundaka","0.46","0.20"
"48069","Mungia","2.63","2.45"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.00","0.00"
"48908","Murueta","0.76","0.70"
"48071","Muskiz","13.10","12.90"
"20057","Mutiloa","3.05","2.61"
"20056","Mutriku","0.35","0.11"
"48067","Muxika","0.16","0.19"
"48909","Nabarniz","0.14","0.02"
"01041","Navaridas","0.14","0.04"
"20063","Oiartzun","1.74","2.74"
"01042","Okondo","0.06","0.06"
