"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","24.43","23.12","23.38","38.17","31.39","36.09","36.13","41.29","40.45","42.17","45.14"
"20001","Abaltzisketa","50.00","25.00","42.86","33.33","44.44","40.00","11.11","23.53","30.00","26.32","45.45"
"48002","Abanto y Ciérvana-Abanto Zierbena","19.62","19.87","25.27","24.30","28.28","23.77","35.64","29.04","34.80","34.52","38.30"
"20002","Aduna","20.48","7.58","38.30","22.58","27.03","31.58","28.57","41.33","44.16","43.16","45.28"
"20016","Aia","22.03","31.11","42.86","35.00","21.05","26.53","13.04","45.65","41.18","37.65","38.10"
"20003","Aizarnazabal","16.67","20.00","33.33","33.33","23.53","45.83","41.18","37.04","39.02","55.26","7.14"
"48911","Ajangiz","0.00","50.00","0.00","0.00","50.00","50.00","66.67","25.00","100.00","0.00","0.00"
"20004","Albiztur","40.00","0.00","33.33","0.00","40.00","16.67","50.00","30.77","28.57","62.50","47.37"
"20005","Alegia","35.16","38.64","36.54","57.89","25.00","37.84","32.00","22.22","44.00","45.45","36.00"
"01001","Alegría-Dulantzi","11.11","38.24","24.39","33.33","43.90","27.87","35.14","42.73","39.80","35.56","45.83"
"20006","Alkiza","0.00","0.00","16.67","0.00","50.00","28.57","20.00","50.00","37.50","30.77","66.67"
"48912","Alonsotegi","21.62","29.03","25.49","36.84","21.43","26.67","39.29","29.41","30.30","27.50","51.06"
"20906","Altzaga","0.00","0.00","50.00","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","16.67","20.00","57.14","33.33","66.67","0.00","50.00","31.82","50.00","21.21","50.00"
"20008","Amezketa","54.55","35.29","38.89","54.55","33.33","31.58","25.00","50.00","40.00","50.00","41.67"
"48003","Amorebieta-Etxano","23.81","26.36","27.45","25.44","29.00","27.16","34.39","32.42","41.02","39.97","38.77"
"48004","Amoroto","27.27","20.00","0.00","33.33","44.44","25.00","10.00","35.00","37.50","44.12","41.46"
"01002","Amurrio","21.07","25.55","27.51","31.44","32.49","36.03","32.67","40.94","41.19","34.41","42.11"
"20009","Andoain","19.64","23.83","27.80","27.13","32.89","30.73","35.38","32.04","34.42","40.27","37.50"
"20010","Anoeta","32.98","26.44","28.00","27.91","40.74","45.07","41.38","35.63","36.00","42.65","48.84"
"20011","Antzuola","27.66","11.54","28.57","27.78","30.00","9.09","30.00","42.86","32.14","43.75","73.33"
"48005","Arakaldo","20.00","0.00","50.00","42.86","100.00","46.15","12.50","62.50","36.84","44.44","21.05"
"20012","Arama","25.81","54.55","0.00","0.00","33.33","36.36","36.36","5.88","29.03","30.00","35.71"
"01003","Aramaio","7.14","0.00","33.33","33.33","0.00","66.67","33.33","12.50","23.08","40.00","40.00"
"48006","Arantzazu","16.67","0.00","0.00","20.00","12.50","66.67","37.50","41.67","32.14","53.19","42.86"
"48093","Areatza","12.50","33.33","44.44","45.45","33.33","21.43","28.57","26.32","41.38","15.38","17.65"
"20013","Aretxabaleta","23.23","24.24","32.79","37.33","45.83","37.88","32.08","31.71","37.04","39.08","29.82"
"01006","Armiñón","0.00","0.00","100.00","50.00","100.00","33.33","0.00","33.33","23.08","62.50","12.50"
"01037","Arraia-Maeztu","0.00","20.00","16.67","25.00","14.29","15.38","10.00","42.86","46.67","35.71","36.36"
"48009","Arrankudiaga","23.53","14.71","19.23","20.00","31.25","36.36","31.82","44.57","37.78","47.47","37.50"
"20055","Arrasate/Mondragón","23.82","18.75","31.42","36.95","31.63","41.45","37.30","36.05","32.85","32.70","43.23"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",NA,NA,"100.00"
"01008","Arratzua-Ubarrundia","16.67","9.09","11.11","33.33","16.67","72.73","42.86","82.14","71.43","55.56","55.56"
"48010","Arrieta","22.22","37.50","0.00","28.57","15.38","46.15","26.67","50.00","45.95","39.13","38.46"
"48011","Arrigorriaga","36.55","28.35","22.44","25.25","31.84","27.04","35.10","33.80","38.86","36.45","44.37"
"48023","Artea","12.77","13.51","20.69","16.67","21.05","35.14","24.00","29.63","75.00","33.33","33.33"
"48008","Artzentales","25.00","25.00","40.00","0.00","40.00","24.00","75.00","77.78","52.94","53.33","52.63"
"01004","Artziniega","30.00","18.42","12.50","26.67","20.00","27.59","35.00","34.38","37.14","33.33","60.00"
"01009","Asparrena","21.54","22.00","15.38","14.37","41.67","43.06","28.57","29.79","27.91","27.27","38.71"
"20014","Asteasu","26.83","29.51","29.55","25.00","36.36","33.93","29.63","38.84","42.05","48.42","55.07"
"20903","Astigarraga","22.37","25.44","25.19","28.78","27.81","38.05","25.62","35.25","36.11","36.16","38.74"
"20015","Ataun","33.33","8.33","0.00","0.00","75.00","21.43","27.27","41.67","10.00","30.00","50.00"
"48091","Atxondo","22.50","19.23","37.50","25.71","27.59","15.38","36.36","40.91","32.43","45.45","45.16"
"48070","Aulesti","12.50","100.00","40.00","0.00","0.00","28.57","25.00","30.00","0.00","0.00","20.00"
"01010","Ayala/Aiara","12.50","26.67","30.77","27.78","14.29","16.67","33.33","26.79","35.71","35.14","32.97"
"20017","Azkoitia","26.49","28.12","28.95","36.59","30.13","43.95","37.50","40.66","40.41","41.61","43.22"
"20018","Azpeitia","26.47","26.53","34.33","30.67","29.57","38.97","37.07","41.39","45.12","42.08","43.73"
"01049","Añana","20.00","100.00","0.00","20.00","0.00","75.00","0.00","100.00",NA,"0.00","0.00"
"48012","Bakio","16.22","17.24","19.23","17.86","16.67","40.91","32.14","27.27","30.77","32.31","22.22"
"20904","Baliarrain","0.00","0.00","0.00","100.00","100.00","40.00","0.00","33.33",NA,NA,"100.00"
"48090","Balmaseda","17.12","23.33","19.40","22.67","25.00","39.13","32.89","30.67","42.47","25.84","33.93"
"48013","Barakaldo","32.72","31.10","35.03","40.52","42.46","44.77","47.27","52.90","53.61","49.44","52.21"
"48014","Barrika","16.13","13.79","14.81","13.04","25.00","42.31","16.13","38.60","27.27","37.93","50.00"
"01013","Barrundia","37.50","14.29","20.00","60.00","60.00","40.00","50.00","40.00","28.57","42.86","50.00"
"48015","Basauri","23.72","23.36","26.46","29.19","36.76","36.75","38.99","41.57","37.97","44.42","48.22"
"01011","Baños de Ebro/Mañueta","0.00","20.00","0.00","0.00","0.00","0.00","0.00","33.33","40.00","0.00","100.00"
"20019","Beasain","33.33","32.55","27.51","45.78","38.58","44.60","37.63","45.81","45.40","48.10","55.51"
"48092","Bedia","26.53","9.30","35.71","20.69","16.67","41.94","13.89","29.41","32.10","43.24","35.48"
"20020","Beizama","0.00","0.00","0.00","0.00","0.00","33.33","0.00","0.00","8.33","27.50","0.00"
"20021","Belauntza","52.94","40.91","43.75","16.67","33.33","67.24","72.73","40.85","37.50","30.34","44.83"
"48016","Berango","25.56","25.96","27.35","31.25","26.80","32.43","32.53","52.48","46.74","43.16","42.03"
"01014","Berantevilla","16.67","32.26","33.33","10.71","26.09","28.00","28.95","39.47","47.17","43.94","51.43"
"20022","Berastegi","20.83","50.00","45.45","44.44","50.00","40.00","0.00","50.00","0.00","16.67","33.33"
"20074","Bergara","25.52","20.25","24.71","24.23","22.64","32.22","32.47","35.16","35.21","40.40","41.74"
"48017","Bermeo","17.96","19.28","21.51","27.83","24.11","26.85","25.59","32.26","28.81","33.68","28.09"
"01016","Bernedo","22.22","10.00","0.00","50.00","42.86","45.00","47.06","50.00","25.00","48.39","80.00"
"48018","Berriatua","32.26","26.47","29.41","25.81","15.38","13.51","12.12","19.44","39.02","27.14","18.18"
"48019","Berriz","19.00","25.00","21.11","25.23","30.40","33.33","27.37","34.48","37.04","33.16","38.36"
"20023","Berrobi","30.00","0.00","42.86","14.29","40.00","0.00","75.00","33.33","100.00","70.00","50.00"
"20024","Bidania-Goiatz","0.00","25.00","100.00","50.00","40.00","30.00","20.00","16.67","14.29","37.50","55.56"
"48020","Bilbao","29.63","29.42","29.03","33.48","34.64","38.22","38.97","44.71","45.26","45.20","48.01"
"48021","Busturia","9.09","36.36","23.53","20.00","66.67","12.12","26.32","19.23","36.36","33.33","33.33"
"01017","Campezo/Kanpezu","16.67","55.56","33.33","27.27","75.00","42.86","38.46","27.78","57.89","40.74","38.46"
"20029","Deba","23.08","30.15","21.21","33.33","33.33","33.12","34.85","32.79","42.27","41.34","45.76"
"48901","Derio","21.78","18.92","20.40","25.96","28.77","37.33","29.43","42.88","41.74","39.50","41.62"
"48026","Dima","0.00","9.52","28.57","16.67","20.00","24.00","30.00","21.43","20.00","16.00","36.84"
"20069","Donostia / San Sebastián","27.44","27.04","27.57","33.95","36.13","39.85","41.33","44.16","44.37","43.12","44.54"
"48027","Durango","29.87","33.33","29.33","36.13","38.29","39.01","35.01","38.58","40.43","43.90","49.01"
"48028","Ea","23.08","0.00","14.29","16.67","0.00","33.33","0.00","0.00","0.00","31.58","54.55"
"20030","Eibar","21.61","26.97","27.90","31.88","34.73","41.62","32.24","37.06","44.38","43.69","42.89"
"48031","Elantxobe","0.00","0.00","0.00","0.00","0.00","33.33","0.00","0.00","0.00","12.50","0.00"
"01021","Elburgo/Burgelu","0.00","50.00","0.00","0.00","42.86","36.36","40.00","66.67","0.00","33.33","50.00"
