"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"20019","Beasain","1.27","1.27","1.27","1.26","1.26","1.21","1.21","1.20","1.20","0.82","0.84"
"48092","Bedia","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.16","0.16","0.16"
"20020","Beizama","0.22","0.22","0.22","0.22","0.22","0.22","1.49","1.49","1.49","1.49","1.49"
"20021","Belauntza","1.09","0.78","0.74","0.72","0.72","0.73","0.73","0.53","0.53","0.56","0.56"
"48016","Berango","3.89","3.89","3.89","3.89","3.89","2.24","2.26","2.26","2.39","2.39","2.39"
"01014","Berantevilla","2.63","2.63","0.77","0.77","0.77","0.77","0.77","0.77","0.79","0.79","0.79"
"20022","Berastegi","0.46","0.46","0.46","0.46","0.39","0.37","0.37","0.65","0.65","0.65","0.65"
"20074","Bergara","0.82","0.82","0.82","0.82","0.82","0.82","0.80","1.20","0.90","0.90","0.90"
"48017","Bermeo","3.74","3.74","1.03","1.03","1.03","1.01","1.01","1.01","1.00","1.00","1.00"
"01016","Bernedo","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.19"
"48018","Berriatua","1.62","1.62","1.62","1.62","1.62","1.53","1.72","1.72","1.66","1.66","1.66"
"48019","Berriz","0.89","0.89","0.89","0.89","0.89","0.88","0.88","0.88","0.97","0.97","0.97"
"20023","Berrobi","0.72","0.34","0.30","0.30","0.30","0.32","0.33","0.33","0.33","1.74","1.74"
"20024","Bidania-Goiatz","0.44","0.32","0.32","0.33","0.33","0.33","0.30","0.39","0.39","0.39","0.39"
"48020","Bilbao","7.03","7.03","7.03","5.92","5.90","5.78","5.57","5.60","5.73","5.84","5.84"
"48021","Busturia","1.13","1.13","1.13","1.13","1.13","1.14","1.14","1.14","1.13","1.13","1.34"
"01017","Campezo/Kanpezu","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.50","0.50","0.50"
"20029","Deba","1.07","1.07","1.07","1.07","1.07","1.06","1.03","1.03","1.08","1.53","1.53"
"48901","Derio","7.94","7.94","7.94","7.92","7.92","10.85","9.67","9.64","9.47","9.47","9.47"
"48026","Dima","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.34","0.35","0.23","0.23"
"20069","Donostia / San Sebastián","5.64","5.64","5.64","5.64","5.61","5.61","2.63","2.63","2.18","2.19","2.19"
"48027","Durango","1.30","1.30","1.30","1.30","0.39","0.39","0.39","0.39","0.32","0.32","0.32"
"48028","Ea","1.05","0.41","0.41","0.41","0.41","0.40","0.40","0.40","0.40","0.40","0.40"
"20030","Eibar","1.88","1.88","1.88","1.87","1.87","1.86","2.06","2.06","1.80","1.77","1.78"
"48031","Elantxobe","0.81","0.81","0.81","0.80","0.80","0.77","0.77","0.36","0.42","0.42","0.42"
"01021","Elburgo/Burgelu","1.01","1.01","1.01","1.00","1.00","1.00","0.83","0.85","1.00","1.01","1.01"
"01022","Elciego","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.37","0.37","0.37","0.37"
"20031","Elduain","0.24","0.24","0.24","0.24","0.24","0.24","0.24","0.31","0.31","0.32","0.32"
"20033","Elgeta","0.57","0.57","0.57","0.58","0.55","0.56","1.13","1.13","1.13","1.13","1.13"
"20032","Elgoibar","1.02","1.02","1.02","0.88","0.88","0.88","1.21","1.21","1.18","1.18","1.18"
"48032","Elorrio","2.43","2.43","2.43","2.44","2.44","1.62","1.62","1.62","1.65","1.65","1.65"
"01023","Elvillar/Bilar","0.46","0.46","0.46","0.46","0.46","0.50","0.50","0.50","0.50","0.50","0.50"
"48902","Erandio","4.20","3.68","3.68","3.68","3.69","3.83","3.94","3.95","3.92","3.92","3.92"
"48033","Ereño","0.35","0.35","0.35","0.35","0.34","0.34","0.34","0.34","0.40","0.40","0.40"
"48034","Ermua","3.23","1.72","1.72","1.72","1.72","1.80","0.49","0.49","0.41","0.41","0.41"
"20067","Errenteria","1.01","1.01","1.01","1.01","1.01","1.00","1.36","1.23","1.17","1.14","1.14"
"20066","Errezil","0.36","0.36","0.36","0.36","0.36","0.36","0.46","0.46","0.46","0.46","0.46"
"01046","Erriberagoitia/Ribera Alta","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.58","0.58"
"48079","Errigoiti","0.50","0.50","0.50","0.50","0.50","0.50","0.51","0.79","0.49","0.49","0.49"
"20034","Eskoriatza","0.99","0.99","0.99","0.99","0.44","0.44","0.56","0.56","0.56","0.60","0.45"
"48029","Etxebarri","1.39","1.39","1.39","1.38","1.38","1.41","1.41","1.41","1.43","1.43","1.43"
"48030","Etxebarria","1.61","1.61","1.61","1.62","1.62","1.63","1.60","1.60","1.60","1.60","1.60"
"20035","Ezkio-Itsaso","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.70","0.70","0.70"
"48906","Forua","0.24","0.24","0.24","0.24","0.24","0.23","0.23","0.23","0.23","0.23","0.23"
"48035","Fruiz","0.61","0.61","0.61","0.61","0.61","0.61","0.62","0.62","0.68","0.68","0.68"
"20038","Gabiria","0.90","0.90","0.90","0.90","0.90","0.90","1.13","1.13","0.82","0.82","0.82"
"20037","Gaintza","0.44","0.44","0.44","0.43","0.43","0.42","1.19","1.19","1.19","1.19","1.19"
"48036","Galdakao","2.14","2.15","2.15","2.14","2.14","2.11","2.11","2.11","1.83","1.83","1.83"
"48037","Galdames","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.30","0.30","0.30"
"48038","Gamiz-Fika","1.03","1.03","1.03","1.03","1.03","1.02","1.02","0.63","0.69","0.52","0.52"
"48039","Garai","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.74","0.74","0.74"
"48040","Gatika","0.63","0.63","0.63","0.63","0.63","0.63","0.64","0.64","0.62","0.60","0.60"
"48041","Gautegiz Arteaga","0.52","0.52","0.52","0.52","0.52","0.52","0.52","0.52","0.78","0.78","0.78"
"20907","Gaztelu","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.60","0.60","0.60","0.60"
"48046","Gernika-Lumo","0.85","0.85","0.85","0.85","0.85","0.86","0.86","0.76","0.82","0.82","0.57"
"20039","Getaria","1.59","1.59","1.60","1.60","1.60","1.65","1.65","1.65","1.65","1.99","1.99"
"48044","Getxo","6.62","6.62","6.62","6.63","1.56","1.55","1.55","1.79","1.46","1.46","1.46"
"48047","Gizaburuaga","0.36","0.36","0.36","0.35","0.35","0.34","0.34","0.34","0.29","0.29","0.29"
"48042","Gordexola","0.63","0.80","0.50","0.50","0.50","0.50","0.50","0.52","0.49","0.49","0.49"
"48043","Gorliz","0.82","0.82","0.82","0.80","0.80","0.78","0.78","0.78","0.70","0.70","0.68"
"48045","Güeñes","2.30","2.30","2.30","2.30","2.30","2.32","2.30","2.30","2.29","2.69","2.73"
"01056","Harana/Valle de Arana","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0.27"
"20040","Hernani","1.21","1.21","1.21","1.21","1.21","0.60","0.60","0.69","0.60","0.64","0.64"
"20041","Hernialde","0.50","0.46","0.46","0.46","0.46","0.46","0.46","0.91","0.91","0.91","0.91"
"20036","Hondarribia","0.41","0.41","0.41","0.41","0.41","0.42","0.99","0.99","0.79","0.79","0.79"
"20042","Ibarra","0.79","0.79","0.78","0.79","0.73","0.75","0.75","0.89","0.81","0.85","0.82"
"48048","Ibarrangelu","0.80","0.80","0.80","0.80","0.80","0.73","0.73","0.73","0.76","0.76","0.76"
"20043","Idiazabal","1.24","1.24","1.24","1.23","1.23","1.23","1.35","1.35","0.85","0.85","0.85"
"48094","Igorre","2.33","2.33","2.18","2.18","2.18","2.15","2.15","2.15","2.14","2.14","1.10"
"20044","Ikaztegieta","2.62","2.62","2.62","2.66","2.66","2.68","2.68","3.52","3.72","3.72","3.72"
"20045","Irun","4.68","2.57","2.57","2.54","2.53","2.47","3.58","3.57","3.44","3.35","3.35"
"20046","Irura","3.37","3.37","3.37","3.33","3.33","2.44","2.44","2.44","2.86","2.86","2.86"
"01027","Iruraiz-Gauna","0.85","0.85","0.85","0.86","0.86","0.85","0.85","0.85","0.85","0.85","0.85"
"01901","Iruña Oka/Iruña de Oca","1.52","1.52","1.52","1.52","1.52","1.51","1.51","1.51","1.13","1.13","1.13"
"48049","Ispaster","0.86","0.86","0.86","0.85","0.86","0.87","0.87","0.87","0.94","0.94","0.51"
"20047","Itsasondo","0.61","0.61","0.61","0.61","0.61","0.61","1.28","1.28","1.28","1.28","1.28"
"48910","Iurreta","3.00","3.00","3.00","3.00","2.99","3.00","2.97","2.97","2.94","2.94","2.80"
"48050","Izurtza","1.39","1.40","1.40","1.40","1.40","1.42","1.42","1.42","1.46","1.46","1.46"
"48022","Karrantza Harana/Valle de Carranza","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.22","0.22","0.22"
"48907","Kortezubi","0.54","0.54","0.54","0.54","0.54","0.54","0.54","0.54","0.54","0.54","0.54"
"01019","Kripan","0.40","0.40","0.40","0.40","0.40","0.40","0.40","0.55","0.55","0.55","0.55"
"01020","Kuartango","0.57","0.57","0.57","0.57","0.57","0.57","0.57","0.57","0.64","0.64","0.64"
"01028","Labastida/Bastida","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37"
"01030","Lagrán","0.18","0.18","0.18","0.18","0.18","0.17","0.17","0.23","0.23","0.23","0.23"
"01031","Laguardia","0.36","0.36","0.36","0.29","0.29","0.30","0.30","0.30","0.30","0.30","0.30"
"01032","Lanciego/Lantziego","0.42","0.42","0.42","0.42","0.42","0.43","0.43","0.43","0.43","0.43","0.43"
"48051","Lanestosa","7.32","7.32","7.32","7.32","7.31","6.41","6.94","6.94","6.72","6.72","6.72"
"01902","Lantarón","0.43","0.43","0.43","0.43","0.43","0.47","0.47","0.47","0.47","0.47","0.46"
"01033","Lapuebla de Labarca","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18"
"48052","Larrabetzu","1.66","1.64","1.64","1.64","1.67","1.69","1.68","1.68","1.66","1.66","1.66"
"20048","Larraul","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.77","0.79","0.80","0.80"
"20902","Lasarte-Oria","4.88","4.88","4.87","4.83","4.83","4.69","5.80","5.80","5.85","5.85","5.85"
"01036","Laudio/Llodio","1.07","1.07","1.07","1.06","1.04","1.04","1.01","1.01","1.01","1.01","1.01"
"48053","Laukiz","1.62","0.78","0.78","0.78","0.78","0.77","0.78","0.78","0.81","0.81","0.81"
"20049","Lazkao","0.55","0.55","0.55","0.55","0.53","0.54","0.54","0.64","0.78","0.62","0.62"
"20050","Leaburu","1.00","1.00","1.01","1.01","1.01","0.97","1.00","1.82","1.82","1.82","1.82"
"20051","Legazpi","0.57","0.57","0.57","0.57","0.50","0.50","0.50","0.50","0.29","0.29","0.29"
"20052","Legorreta","1.57","1.57","1.57","1.58","1.58","1.57","1.58","1.55","1.52","1.52","1.52"
"01058","Legutio","1.00","1.00","0.99","0.99","0.99","0.99","0.99","0.98","0.93","0.92","0.92"
"20068","Leintz-Gatzaga","0.42","0.42","0.44","0.44","0.41","0.42","0.49","0.49","0.49","0.59","0.59"
"48054","Leioa","6.75","6.75","6.75","6.30","6.44","6.19","6.19","6.19","5.86","5.84","5.82"
"48057","Lekeitio","7.66","7.66","7.65","7.65","7.65","7.33","7.33","7.33","7.33","7.33","5.91"
"48055","Lemoa","1.60","1.60","1.60","1.60","1.61","1.56","1.57","1.57","1.62","1.33","1.33"
"48056","Lemoiz","0.96","0.96","0.96","0.96","0.87","0.85","1.16","1.15","1.17","1.17","1.17"
"01034","Leza","0.51","0.51","0.51","0.58","0.58","0.49","0.49","0.49","0.49","0.49","0.49"
"48081","Lezama","3.61","2.81","2.81","2.81","3.38","3.36","3.36","3.36","3.70","3.47","3.47"
"20053","Lezo","2.47","2.50","2.50","2.50","2.52","1.53","2.10","1.66","2.19","2.19","2.19"
