"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"48001","Abadiño","18.18","18.18","18.43","19.00","18.58","19.72","18.89","19.97","19.88","20.24","20.43","21.03","21.88","22.80","22.59","23.03","23.37"
"20001","Abaltzisketa","2.78","3.03","2.94","2.56","2.50","3.70","4.00","4.17","7.41","4.17","13.04","12.50","11.76","10.53","10.00","10.00","13.64"
"48002","Abanto y Ciérvana-Abanto Zierbena","13.51","13.42","13.24","13.43","13.24","13.62","13.80","13.04","13.05","12.56","12.48","13.35","13.97","14.84","14.49","15.19","15.08"
"20002","Aduna","31.00","30.63","30.43","30.51","30.33","31.58","28.33","26.45","26.02","25.83","27.35","28.44","30.28","29.91","30.00","30.70","35.09"
"20016","Aia","15.09","15.88","16.67","17.45","17.59","24.88","25.69","26.22","25.78","26.44","27.60","28.18","28.57","30.12","32.35","31.61","32.28"
"20003","Aizarnazabal","20.83","20.59","21.05","20.00","22.67","26.67","24.53","23.21","25.00","25.49","26.00","27.27","27.91","29.73","28.57","27.91","27.08"
"48911","Ajangiz","6.90","10.00","12.00","11.54","7.41","13.64","12.50","15.00","15.79","16.67","15.79","15.79","22.22","22.22","31.58","36.84","38.89"
"20004","Albiztur","20.00","16.22","17.07","16.28","16.28","19.35","21.62","22.86","21.05","23.53","28.12","29.63","29.63","28.57","33.33","33.33","30.77"
"20005","Alegia","17.05","17.29","15.11","16.67","16.67","17.97","17.56","15.91","17.78","16.03","17.52","16.42","16.43","17.73","18.12","17.73","18.25"
"01001","Alegría-Dulantzi","11.64","11.67","11.29","12.50","13.50","14.71","14.36","13.90","13.61","14.12","15.06","16.67","15.67","16.94","17.24","16.98","16.13"
"20006","Alkiza","5.13","5.13","5.26","5.56","5.56","11.54","14.81","16.67","10.71","10.71","7.41","8.00","13.04","13.04","13.64","4.76","4.35"
"48912","Alonsotegi","18.26","16.52","16.67","16.45","16.25","19.82","19.57","20.46","20.91","22.44","22.71","24.46","27.23","28.00","27.83","28.64","27.10"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","7.69","6.67","6.67","7.14","7.69","7.14","7.14","7.69","7.69","9.09","0.00"
"20007","Altzo","21.74","19.15","19.15","18.37","19.15","25.00","27.03","23.68","28.95","28.21","30.00","29.27","24.24","21.88","24.14","30.77","32.00"
"20008","Amezketa","12.38","13.08","11.30","12.39","11.65","18.84","15.66","14.94","16.67","16.05","14.10","14.67","15.79","15.19","13.92","16.87","16.87"
"48003","Amorebieta-Etxano","8.17","9.03","8.94","8.89","8.80","9.82","8.98","8.45","8.52","9.38","9.93","10.64","10.42","10.13","10.46","10.54","10.88"
"48004","Amoroto","7.69","6.45","7.41","5.00","5.26","10.00","11.11","15.79","15.79","15.79","17.65","22.22","22.22","21.05","22.22","23.53","20.00"
"01002","Amurrio","9.20","9.53","8.83","9.30","9.36","10.96","10.99","10.69","10.42","10.07","10.41","10.55","11.03","11.27","10.12","10.41","11.13"
"20009","Andoain","10.44","10.62","10.39","9.62","10.07","10.55","10.21","9.88","10.61","11.29","11.56","12.25","12.73","12.58","12.52","12.63","13.30"
"20010","Anoeta","13.43","15.33","12.95","11.64","11.89","12.86","12.33","13.19","13.10","11.43","11.81","12.00","15.04","14.53","14.73","14.73","15.87"
"20011","Antzuola","7.26","7.32","9.45","9.56","12.06","13.85","12.78","14.69","14.58","14.71","13.53","14.81","15.91","15.67","17.05","16.28","17.32"
"48005","Arakaldo","5.00","13.64","13.64","18.18","19.05","20.00","19.05","22.22","21.05","15.79","20.00","18.75","21.43","27.27","33.33","30.00","30.00"
"20012","Arama","4.17","3.85","3.85","4.00","4.17","16.67","14.81","14.29","17.39","19.05","18.18","21.05","13.33","14.29","12.50","0.00","14.29"
"01003","Aramaio","9.30","9.09","8.33","8.33","8.89","12.31","13.04","9.88","11.90","10.59","10.98","12.99","12.35","12.66","11.84","10.13","14.12"
"48006","Arantzazu","4.35","5.56","6.25","11.76","11.11","7.14","6.25","6.67","20.00","23.53","18.75","18.75","23.53","18.75","6.25","7.14","8.33"
"48093","Areatza","2.53","2.44","3.66","3.70","3.90","4.94","4.55","5.32","3.12","2.53","2.74","4.17","4.41","4.92","4.84","4.76","6.45"
"20013","Aretxabaleta","12.73","13.11","13.68","13.40","14.32","15.18","15.26","15.70","14.89","15.14","16.62","17.55","18.03","18.38","18.23","19.25","20.11"
"01006","Armiñón","18.18","16.67","17.39","16.00","17.39","22.22","21.05","21.05","21.05","23.53","20.00","25.00","25.00","23.53","23.53","26.67","28.57"
"01037","Arraia-Maeztu","7.61","7.69","6.74","7.69","9.09","16.07","16.07","15.00","15.25","16.07","16.67","14.81","13.73","13.21","12.00","12.77","14.00"
"48009","Arrankudiaga","25.00","25.81","24.79","23.20","23.31","26.77","25.76","27.21","29.10","30.71","31.01","32.50","36.84","37.17","36.28","38.46","33.94"
"20055","Arrasate/Mondragón","8.33","8.59","9.29","8.89","8.70","7.86","7.82","8.69","8.39","8.84","8.70","9.40","9.82","9.28","9.43","9.78","10.38"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00","8.33","8.33","8.00","7.69","8.70","9.09","9.52","10.00","10.00","11.11","10.00"
"01008","Arratzua-Ubarrundia","6.38","6.25","5.26","6.06","6.32","8.22","8.22","5.63","7.58","7.69","8.47","8.62","8.20","9.52","9.84","10.17","11.86"
"48010","Arrieta","10.26","7.89","7.89","5.13","5.88","15.00","15.79","12.50","13.04","20.00","25.00","31.82","30.00","30.00","30.00","27.78","35.00"
"48011","Arrigorriaga","13.83","13.82","14.30","13.93","13.38","13.86","13.42","13.32","13.79","13.57","13.94","14.35","14.30","13.81","13.36","13.12","13.05"
"48023","Artea","18.57","20.59","19.40","20.00","20.59","20.00","16.18","11.67","11.54","11.54","8.51","13.64","10.53","10.81","11.43","14.71","16.22"
"48008","Artzentales","4.94","3.57","3.57","3.61","5.26","8.00","7.84","6.00","5.88","6.52","6.82","8.57","9.38","12.12","10.00","12.12","12.50"
"01004","Artziniega","8.03","6.38","6.47","6.15","7.04","8.59","7.69","7.04","7.14","8.59","10.08","9.24","9.09","9.09","8.85","7.48","10.68"
"01009","Asparrena","18.18","17.50","16.26","18.32","20.16","22.02","20.87","20.16","19.69","19.83","23.08","24.32","27.45","25.96","23.85","23.15","20.95"
"20014","Asteasu","26.40","26.53","24.76","24.64","22.94","28.82","30.18","25.93","25.53","27.66","30.56","30.29","29.52","29.63","31.37","28.68","28.06"
"20903","Astigarraga","19.84","20.35","20.36","20.00","20.00","21.61","21.47","22.16","21.37","21.85","22.97","24.15","24.54","23.98","25.51","26.57","27.54"
"20015","Ataun","2.56","3.10","3.08","1.59","1.68","2.35","2.38","4.71","4.55","4.55","4.94","5.26","4.94","5.95","6.90","9.30","7.87"
"48091","Atxondo","17.58","18.75","16.67","16.49","14.71","17.89","18.56","18.87","19.13","21.43","22.43","20.95","22.64","23.85","25.00","28.18","29.73"
"48070","Aulesti","14.89","13.46","13.21","13.73","15.69","16.67","12.50","9.52","8.89","9.52","7.14","7.50","7.14","8.89","8.70","10.87","14.29"
"01010","Ayala/Aiara","13.64","14.45","12.87","12.94","12.69","21.89","21.82","23.08","24.86","24.71","26.04","30.26","29.25","32.64","30.61","32.59","32.59"
"20017","Azkoitia","16.43","16.60","16.28","16.35","16.94","18.21","18.45","16.46","15.37","16.00","15.36","15.56","16.19","16.98","17.49","17.09","17.37"
"20018","Azpeitia","10.16","10.29","10.46","10.57","11.24","12.13","11.67","11.51","11.27","11.51","12.01","12.30","13.37","13.74","14.11","14.07","13.93"
"01049","Añana","5.88","5.56","5.88","5.88","5.88","12.50","6.25","5.88","5.88","6.67","5.88","6.67","6.25","5.88","11.11","6.67","6.67"
"48012","Bakio","4.48","4.55","4.62","4.48","5.00","6.01","5.42","5.42","6.19","6.67","6.33","6.04","7.69","7.52","7.58","8.20","9.84"
"20904","Baliarrain","7.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.234.56","-1.234.56","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","7.79","7.88","8.25","8.65","8.36","9.34","9.53","9.51","11.15","11.99","12.59","13.44","13.67","14.65","15.10","14.60","15.16"
"48013","Barakaldo","3.48","3.68","3.97","4.03","4.18","4.51","4.23","4.02","3.63","3.84","3.90","4.11","4.55","4.73","4.87","4.89","4.97"
"48014","Barrika","6.12","5.94","4.55","7.22","6.32","5.49","8.51","8.16","6.00","7.29","7.69","7.50","6.76","7.69","5.97","6.45","8.20"
"01013","Barrundia","5.22","4.72","5.41","8.04","8.04","15.79","20.00","18.97","21.15","23.40","21.74","22.73","15.38","17.14","18.42","19.44","18.75"
"48015","Basauri","5.66","5.78","6.03","6.17","6.37","6.52","6.18","5.70","5.89","6.26","6.30","6.54","6.75","6.92","6.85","6.96","7.78"
"01011","Baños de Ebro/Mañueta","40.51","43.37","46.75","41.38","42.53","69.81","71.19","72.58","75.00","76.62","78.38","78.67","79.45","75.95","75.29","79.22","82.50"
"20019","Beasain","7.97","7.65","6.79","6.73","6.87","6.92","6.95","6.04","6.10","6.66","6.62","6.71","7.50","7.73","7.50","7.88","8.41"
"48092","Bedia","23.64","25.00","29.20","30.43","28.33","27.34","28.68","30.28","28.57","28.47","29.55","34.13","35.94","33.88","34.96","30.77","34.88"
"20020","Beizama","9.68","10.00","11.11","7.14","9.68","18.75","20.00","22.22","23.81","27.27","29.41","29.41","20.00","20.00","15.38","15.38","20.00"
"20021","Belauntza","41.94","37.10","34.85","34.85","30.99","30.43","33.33","35.21","36.11","39.06","41.67","44.07","46.27","43.08","44.44","46.77","50.82"
"48016","Berango","5.41","5.40","5.67","5.81","6.37","7.11","7.33","7.47","8.25","8.57","9.65","10.66","11.18","10.78","12.94","13.45","12.64"
"01014","Berantevilla","26.92","28.21","27.50","24.39","28.24","49.09","45.28","42.11","40.68","38.33","42.59","46.00","45.65","44.19","46.34","41.67","40.62"
"20022","Berastegi","8.60","7.14","6.59","4.35","4.55","6.90","6.45","8.33","7.79","7.04","8.70","9.68","11.48","8.06","8.06","7.81","9.52"
"20074","Bergara","12.98","12.71","12.55","12.59","12.93","13.53","14.13","13.92","13.25","13.13","13.58","14.23","14.51","14.71","14.88","15.16","14.76"
"48017","Bermeo","5.58","5.75","6.06","6.11","6.03","6.45","6.07","6.14","5.42","5.63","5.79","6.29","6.55","6.61","6.63","6.21","6.48"
"01016","Bernedo","2.70","2.82","2.50","2.63","2.70","6.38","6.25","6.25","4.35","6.00","6.25","8.51","8.89","8.89","11.11","9.52","11.36"
"48018","Berriatua","22.83","20.29","20.83","21.01","21.17","26.61","26.67","28.57","28.23","28.33","30.10","31.68","32.67","33.67","36.08","37.25","37.50"
"48019","Berriz","23.37","24.62","25.71","25.71","25.30","27.34","27.81","29.48","29.37","31.14","32.30","32.71","32.87","33.24","33.70","34.08","35.87"
"20023","Berrobi","6.67","6.90","12.50","11.11","12.12","19.23","17.24","13.79","12.50","12.50","13.79","17.39","19.05","19.05","13.64","13.04","17.39"
"20024","Bidania-Goiatz","8.00","9.26","7.94","6.45","7.02","9.38","9.09","11.11","17.14","14.29","15.62","16.22","15.79","16.22","15.79","15.15","15.00"
"48020","Bilbao","3.21","3.30","3.44","3.61","3.78","3.89","3.89","3.91","4.08","4.33","4.57","4.80","5.13","5.37","5.58","5.81","6.40"
"48021","Busturia","6.59","6.38","6.45","6.25","7.29","6.59","4.90","6.00","6.06","6.38","6.90","7.23","6.67","7.23","7.06","8.05","9.30"
"01017","Campezo/Kanpezu","4.96","5.04","6.67","8.06","9.76","11.88","12.24","10.28","10.28","10.28","10.89","12.50","11.43","12.15","11.65","11.43","10.58"
"20029","Deba","17.69","16.54","17.33","16.98","17.87","20.62","20.77","20.35","18.69","18.79","19.09","19.57","20.65","21.51","21.85","20.81","20.53"
"48901","Derio","9.85","10.17","10.21","10.69","9.91","9.82","8.99","8.99","9.56","9.34","10.40","12.34","13.98","15.10","16.49","16.45","16.73"
"48026","Dima","11.88","11.65","12.00","11.34","11.11","13.54","10.53","9.28","8.51","8.24","8.54","9.09","9.46","6.76","9.21","6.85","9.86"
"20069","Donostia / San Sebastián","3.11","3.25","3.23","3.23","3.30","3.42","3.45","3.34","3.53","3.78","3.93","4.06","4.20","4.32","4.51","4.58","4.86"
"48027","Durango","3.79","3.59","3.62","3.89","4.19","4.70","4.50","4.06","3.80","3.93","4.17","4.53","4.66","5.14","5.22","5.47","6.14"
"48028","Ea","3.39","3.33","3.51","3.57","3.45","5.88","5.66","4.17","4.26","4.35","4.00","4.26","4.35","4.44","4.55","4.55","5.88"
"20030","Eibar","9.14","9.23","9.56","9.44","9.79","10.25","10.51","10.91","10.94","11.64","11.87","12.74","13.75","13.94","14.29","15.00","16.46"
"48031","Elantxobe","0.00","0.00","0.00","4.76","3.85","0.00","0.00","0.00","0.00","-1.234.56","-1.234.56","0.00","0.00","0.00","0.00","0.00","4.76"
"01021","Elburgo/Burgelu","9.09","9.62","8.62","11.54","8.93","19.05","18.18","16.67","13.64","15.00","18.18","20.69","23.08","27.27","20.00","21.05","23.53"
