"Udalerri kodea","Udalerria","2015","2014","2013","2011","2010","2006","2001","1996","1991"
"48092","Bedia","53.00","51.70","50.70","50.90","57.00","53.52","50.17","49.03","48.31"
"20020","Beizama","44.50","43.50","42.70","42.40","40.50","38.18","34.54","29.76","38.86"
"20021","Belauntza","45.90","45.20","44.20","42.20","41.20","37.44","34.46","30.84","31.88"
"48016","Berango","33.00","32.10","31.20","30.30","30.00","28.25","29.19","28.34","31.53"
"01014","Berantevilla","48.10","46.80","47.00","46.20","44.90","43.07","43.75","33.59","34.72"
"20022","Berastegi","40.10","39.20","38.10","37.30","36.20","36.08","32.73","32.11","41.23"
"20074","Bergara","40.00","39.10","38.30","37.60","38.50","35.35","30.96","28.16","28.92"
"48017","Bermeo","47.40","46.50","45.60","46.40","46.80","45.32","41.79","38.98","30.58"
"01016","Bernedo","51.30","50.50","49.50","49.50","47.10","44.30","58.98","30.88","34.19"
"48018","Berriatua","39.80","38.80","37.90","36.70","36.00","33.35","33.80","31.36","33.29"
"48019","Berriz","36.60","35.60","34.60","33.50","32.30","28.72","29.20","26.42","28.18"
"20023","Berrobi","46.20","45.20","44.30","44.00","45.90","42.90","41.53","40.00","31.52"
"20024","Bidania-Goiatz","42.40","41.40","40.40","38.70","36.70","32.85","37.76","29.60","47.41"
"48020","Bilbao","49.60","48.70","47.80","47.10","46.10","43.58","40.75","37.11","34.39"
"48021","Busturia","50.50","49.50","48.60","47.50","46.50","44.71","41.84","40.69","39.94"
"01017","Campezo/Kanpezu","42.10","41.50","41.20","40.70","40.10","37.10","35.61","28.98","32.66"
"20029","Deba","41.20","40.20","39.20","38.10","37.50","35.48","31.84","29.25","31.98"
"48901","Derio","30.10","29.20","29.00","30.20","30.60","29.61","29.45","30.22","25.02"
"48026","Dima","64.90","64.00","63.00","65.30","65.50","63.44","69.34","63.24","37.16"
"20069","Donostia / San Sebastián","47.60","46.70","46.00","45.40","45.00","43.25","39.92","38.03","38.32"
"48027","Durango","34.80","34.20","33.50","33.10","33.00","29.90","28.25","26.36","26.78"
"48028","Ea","63.40","62.30","61.50","60.10","59.90","57.47","60.86","56.15","54.48"
"20030","Eibar","51.30","50.20","49.30","48.60","48.40","47.01","43.70","39.52","37.37"
"48031","Elantxobe","46.50","45.40","44.40","43.50","41.90","40.15","35.23","38.62","70.15"
"01021","Elburgo/Burgelu","25.50","24.70","23.70","22.80","22.80","21.69","25.72","29.92","59.44"
"01022","Elciego","41.90","40.70","39.80","40.40","40.70","39.29","40.71","34.12","52.26"
"20031","Elduain","69.30","68.30","67.30","64.00","65.10","62.32","70.83","73.15","50.45"
"20033","Elgeta","32.70","31.50","30.50","29.00","30.40","32.37","30.27","28.24","47.43"
"20032","Elgoibar","38.20","37.30","36.30","35.80","35.00","33.47","33.78","30.83","35.14"
"48032","Elorrio","40.10","39.30","38.60","38.00","37.80","36.57","33.30","30.67","33.84"
"01023","Elvillar/Bilar","41.00","40.30","39.80","38.90","39.10","38.36","32.57","32.80","41.45"
"48902","Erandio","41.20","41.50","40.50","40.20","39.90","36.37","35.99","33.46","30.11"
"48033","Ereño","61.70","61.00","60.00","70.20","68.60","66.89","63.39","60.56","45.95"
"48034","Ermua","39.40","38.70","37.70","36.60","36.00","35.15","31.15","27.06","24.30"
"20067","Errenteria","43.60","42.80","41.80","40.70","39.90","37.29","34.44","32.15","28.52"
"20066","Errezil","44.20","43.40","43.40","41.40","41.10","37.34","33.20","34.07","33.56"
"01046","Erriberagoitia/Ribera Alta","51.80","50.80","49.70","49.90","50.60","48.36","49.04","39.69","69.77"
"48079","Errigoiti","81.00","79.70","78.10","78.30","77.50","74.96","72.23","70.99","60.16"
"20034","Eskoriatza","36.20","35.20","34.20","33.60","32.00","30.78","29.71","26.21","38.67"
"48029","Etxebarri","26.10","25.10","24.20","23.40","23.40","25.11","27.63","29.04","27.07"
"48030","Etxebarria","43.30","42.40","41.40","40.30","39.60","37.06","34.35","31.62","25.51"
"20035","Ezkio-Itsaso","51.00","49.70","51.00","49.80","55.40","55.42","47.98","47.04","61.22"
"48906","Forua","50.60","49.60","48.70","48.50","46.50","47.68","42.83","42.58","34.15"
"48035","Fruiz","37.40","35.90","34.90","35.40","40.00","40.52","52.48","46.49","70.34"
"20038","Gabiria","51.90","51.00","50.20","50.40","52.30","50.60","49.68","48.60","74.00"
"20037","Gaintza","33.40","36.30","35.30","32.50","32.00","29.91","29.33","23.20","84.02"
"48036","Galdakao","36.20","35.70","34.70","34.40","33.90","31.34","28.21","25.33","22.79"
"48037","Galdames","70.20","69.40","68.60","67.90","67.10","65.19","64.65","59.04","63.18"
"48038","Gamiz-Fika","46.50","44.60","43.80","42.90","43.10","39.05","35.62","35.39","48.03"
"48039","Garai","55.00","53.20","52.20","51.70","51.10","46.84","36.78","47.24","12.47"
"48040","Gatika","32.90","32.00","31.00","29.30","28.20","25.39","26.71","30.57","25.90"
"48041","Gautegiz Arteaga","46.30","45.40","44.30","43.80","42.30","39.06","35.79","38.56","30.99"
"20907","Gaztelu","46.20","45.20","44.90","43.30","41.30","39.45","47.25","48.82",NA
"48046","Gernika-Lumo","39.00","38.00","37.00","36.50","37.80","35.98","33.96","28.72","25.87"
"20039","Getaria","39.50","39.20","38.40","39.90","40.20","37.18","36.41","32.22","27.42"
"48044","Getxo","41.00","40.10","39.20","38.40","36.70","34.14","29.84","25.88","22.66"
"48047","Gizaburuaga","30.20","29.70","28.80","27.30","25.80","22.88","26.31","23.40","44.57"
"48042","Gordexola","50.60","49.70","48.70","47.70","46.30","43.09","44.26","45.78","54.00"
"48043","Gorliz","37.90","37.40","36.40","35.80","34.80","32.66","29.72","26.69","25.33"
"48045","Güeñes","41.90","41.20","41.80","41.30","41.70","39.14","40.61","38.15","39.23"
"01056","Harana/Valle de Arana","49.90","48.70","47.50","47.20","47.30","43.85","36.74","35.84","30.02"
"20040","Hernani","38.20","37.40","36.30","35.80","35.20","32.29","31.20","28.91","30.16"
"20041","Hernialde","40.90","39.90","38.90","37.90","35.80","31.50","30.15","31.15","29.42"
"20036","Hondarribia","41.60","40.60","39.60","39.60","38.90","36.72","35.48","33.12","28.47"
"20042","Ibarra","41.30","40.20","40.00","38.90","39.00","35.90","34.35","31.84","31.51"
"48048","Ibarrangelu","39.90","38.90","37.90","37.40","37.30","36.45","37.95","34.12","58.55"
"20043","Idiazabal","46.60","45.50","44.70","43.90","43.00","42.80","41.90","40.10","39.05"
"48094","Igorre","40.60","39.80","38.80","38.10","37.20","35.84","32.99","29.05","31.57"
"20044","Ikaztegieta","42.70","41.70","40.70","39.30","38.10","34.97","37.01","32.70","42.35"
"20045","Irun","39.50","38.80","37.80","37.30","36.10","33.64","32.56","30.07","28.32"
"20046","Irura","25.80","24.60","23.50","22.60","23.20","24.52","26.29","31.46","37.04"
"01027","Iruraiz-Gauna","49.90","49.10","48.70","48.30","49.20","47.52","43.10","38.53","50.71"
"01901","Iruña Oka/Iruña de Oca","37.80","37.50","36.00","37.80","37.50","39.26","41.96","45.23","35.89"
"48049","Ispaster","42.60","41.60","40.70","38.60","36.80","38.01","39.36","40.46","48.55"
"20047","Itsasondo","47.50","46.70","45.70","44.10","43.70","41.70","39.69","38.07","40.87"
"48910","Iurreta","46.20","45.10","44.20","42.90","42.70","41.05","35.66","32.18","29.24"
"48050","Izurtza","51.10","50.20","49.20","48.70","47.90","44.83","41.94","40.91","75.88"
"48022","Karrantza Harana/Valle de Carranza","63.40","62.90","61.80","61.40","60.30","58.57","52.24","50.42","55.28"
"48907","Kortezubi","65.80","65.10","64.10","62.70","59.90","57.90","64.79","67.08","44.71"
"01019","Kripan","42.30","40.10","40.40","39.50","37.20","32.78","32.63","31.39","39.33"
"01020","Kuartango","55.00","53.80","53.00","52.90","51.10","48.58","43.59","39.41","64.01"
