"Udalerri kodea","Udalerria","2005","2004","2003","2002"
"48001","Abadiño","212.71","208.32","169.46","152.29"
"20001","Abaltzisketa","261.93","366.07","261.05","218.99"
"48002","Abanto y Ciérvana-Abanto Zierbena","480.39","414.24","335.83","317.57"
"20002","Aduna","301.70","317.45","358.41","292.66"
"20016","Aia","331.52","316.76","289.64","267.14"
"20003","Aizarnazabal","198.13","180.52","240.97","163.88"
"48911","Ajangiz","249.98","204.92","152.18","150.67"
"20004","Albiztur","359.25","343.70","138.50","169.75"
"20005","Alegia","301.24","271.39","237.83","192.15"
"01001","Alegría-Dulantzi","269.73","279.31","341.98","314.75"
"20006","Alkiza","261.52","302.80","275.08","263.73"
"48912","Alonsotegi","514.30","462.81","361.14","339.01"
"20906","Altzaga","213.68","145.56","100.50","160.92"
"20007","Altzo","382.39","481.92","314.28","225.14"
"20008","Amezketa","262.09","254.58","173.63","165.00"
"48003","Amorebieta-Etxano","276.20","247.41","219.30","188.12"
"48004","Amoroto","244.78","221.20","166.10","143.65"
"01002","Amurrio","481.64","459.77","408.57","333.35"
"20009","Andoain","335.49","316.49","275.61","254.30"
"20010","Anoeta","224.91","226.24","217.46","186.39"
"20011","Antzuola","287.23","310.75","279.27","228.95"
"48005","Arakaldo","293.96","195.31","178.61","210.80"
"20012","Arama","264.50","296.66","238.63","234.17"
"01003","Aramaio","293.72","246.57","239.42","222.02"
"48006","Arantzazu","254.66","279.57","190.69","191.28"
"48093","Areatza","363.30","292.07","200.93","184.99"
"20013","Aretxabaleta","306.64","285.92","239.28","214.77"
"01006","Armiñón","808.64","925.20","499.74","457.42"
"01037","Arraia-Maeztu","285.43","303.82","296.62","284.20"
"48009","Arrankudiaga","264.86","252.14","226.52","237.54"
"20055","Arrasate/Mondragón","339.55","335.90","292.14","254.46"
"48914","Arratzu","156.96","157.82","132.50","113.60"
"01008","Arratzua-Ubarrundia","286.61","300.18","303.77","251.45"
"48010","Arrieta","250.78","230.98","189.04","142.74"
"48011","Arrigorriaga","297.26","263.05","263.45","256.59"
"48023","Artea","288.81","311.78","283.79","298.64"
"48008","Artzentales","297.82","348.27","240.96","294.88"
"01004","Artziniega","360.66","376.61","348.84","338.57"
"01009","Asparrena","631.71","569.98","524.98","500.92"
"20014","Asteasu","288.53","299.90","272.98","268.52"
"20903","Astigarraga","259.92","230.72","205.20","180.88"
"20015","Ataun","234.99","244.89","225.64","171.61"
"48091","Atxondo","203.00","211.16","179.68","164.60"
"48070","Aulesti","276.49","265.08","228.16","207.28"
"01010","Ayala/Aiara","341.19","315.89","329.20","282.69"
"20017","Azkoitia","316.63","273.44","241.48","224.50"
"20018","Azpeitia","281.17","271.41","229.00","206.11"
"01049","Añana","1082.77","887.36","1014.18","1007.27"
"48012","Bakio","312.27","297.68","263.26","234.36"
"20904","Baliarrain","249.38","543.02","453.47","384.15"
"48090","Balmaseda","315.22","296.65","273.77","235.87"
"48013","Barakaldo","421.98","405.16","352.54","290.78"
"48014","Barrika","325.28","333.34","315.04","878.05"
"01013","Barrundia","301.44","318.29","229.15","250.94"
"48015","Basauri","335.53","308.78","268.60","229.43"
"01011","Baños de Ebro/Mañueta","462.00","372.37","447.99","508.81"
"20019","Beasain","283.75","263.79","221.35","195.15"
"48092","Bedia","285.83","264.13","308.09","351.13"
"20020","Beizama","557.12","469.87","228.89","324.69"
"20021","Belauntza","258.27","306.77","301.54","220.86"
"48016","Berango","231.87","217.52","209.21","199.16"
"01014","Berantevilla","346.47","428.79","285.07","268.97"
"20022","Berastegi","222.35","222.07","189.62","214.12"
"20074","Bergara","374.01","328.78","302.38","281.78"
"48017","Bermeo","398.95","347.43","298.34","256.83"
"01016","Bernedo","544.18","570.78","455.16","517.91"
"48018","Berriatua","299.13","254.37","242.66","303.28"
"48019","Berriz","276.91","236.85","202.29","185.94"
"20023","Berrobi","274.25","293.07","215.99","324.76"
"20024","Bidania-Goiatz","452.05","296.58","297.49","227.00"
"48020","Bilbao","511.69","454.45","401.57","340.58"
"48021","Busturia","516.20","474.65","314.66","707.63"
"01017","Campezo/Kanpezu","518.71","448.43","523.46","593.67"
"20029","Deba","247.53","225.80","180.86","171.41"
"48901","Derio","287.05","259.29","226.85","188.87"
"48026","Dima","424.56","443.93","480.69","438.34"
"20069","Donostia / San Sebastián","401.06","352.89","326.71","284.91"
"48027","Durango","273.42","249.06","207.62","188.35"
"48028","Ea","290.40","296.55","295.21","302.24"
"20030","Eibar","402.75","446.45","316.28","331.37"
"48031","Elantxobe","308.06","293.54","221.46","242.89"
"01021","Elburgo/Burgelu","300.46","319.88","208.75","218.74"
"01022","Elciego","505.72","587.56","524.94","371.45"
"20031","Elduain","261.86","239.58","201.91","468.66"
"20033","Elgeta","345.78","336.83","263.26","236.42"
"20032","Elgoibar","282.58","267.97","264.60","207.69"
"48032","Elorrio","330.76","310.78","280.21","241.93"
"01023","Elvillar/Bilar","655.12","824.20","689.30","637.87"
"48902","Erandio","442.22","399.37","320.55","288.60"
"48033","Ereño","220.92","204.12","165.00","333.83"
"48034","Ermua","291.98","278.85","244.90","218.26"
"20067","Errenteria","402.05","380.56","334.60","289.97"
"20066","Errezil","317.35","377.63","276.77","391.02"
"01046","Erriberagoitia/Ribera Alta","295.66","271.28","219.14","242.75"
"48079","Errigoiti","234.43","252.53","213.42","258.75"
"20034","Eskoriatza","293.34","258.83","193.10","199.10"
"48029","Etxebarri","290.60","267.32","195.35","211.20"
"48030","Etxebarria","361.22","284.70","249.47","252.19"
"20035","Ezkio-Itsaso","341.91","325.05","394.07","240.71"
"48906","Forua","311.20","275.85","202.27","214.29"
"48035","Fruiz","239.02","271.89","222.49","168.05"
"20038","Gabiria","350.22","381.35","323.69","292.70"
"20037","Gaintza","194.96","194.62","147.83","158.36"
"48036","Galdakao","243.80","230.08","192.94","177.51"
"48037","Galdames","402.93","440.12","403.29","383.62"
"48038","Gamiz-Fika","282.38","251.21","273.97","247.99"
"48039","Garai","111.47","101.40","90.00","120.02"
"48040","Gatika","248.23","240.45","171.65","195.30"
"48041","Gautegiz Arteaga","251.63","218.60","155.79","179.79"
"20907","Gaztelu","297.46","438.95","310.83","210.04"
"48046","Gernika-Lumo","337.09","303.43","260.57","197.64"
"20039","Getaria","264.50","189.89","158.48","144.01"
"48044","Getxo","338.75","306.98","268.14","238.57"
"48047","Gizaburuaga","760.04","274.79","239.99","297.42"
"48042","Gordexola","313.80","348.32","291.05","349.13"
"48043","Gorliz","264.37","241.66","209.77","189.86"
"48045","Güeñes","316.41","303.64","270.32","237.99"
"01056","Harana/Valle de Arana","796.25","758.84","629.65","627.57"
"20040","Hernani","406.99","409.00","353.67","335.61"
"20041","Hernialde","179.15","316.38","211.94","212.80"
"20036","Hondarribia","241.23","216.82","195.50","175.88"
"20042","Ibarra","298.64","280.00","221.71","176.17"
"48048","Ibarrangelu","239.60","261.52","271.56","231.48"
"20043","Idiazabal","225.84","229.56","197.91","196.43"
"48094","Igorre","261.18","228.51","209.81","188.73"
"20044","Ikaztegieta","748.15","565.68","576.59","472.84"
"20045","Irun","318.36","297.11","260.40","233.02"
"20046","Irura","221.55","172.39","170.22","284.56"
"01027","Iruraiz-Gauna","234.50","310.02","391.14","234.96"
"01901","Iruña Oka/Iruña de Oca","431.76","493.09","513.52","328.64"
"48049","Ispaster","235.93","233.28","228.31","165.23"
"20047","Itsasondo","243.42","297.71","258.43","222.80"
"48910","Iurreta","209.01","205.33","169.58","157.78"
"48050","Izurtza","200.57","172.75","288.16","310.34"
"48022","Karrantza Harana/Valle de Carranza","350.88","422.66","389.77","302.17"
"48907","Kortezubi","221.56","206.95","157.77","149.75"
"01019","Kripan","333.11","334.17","257.87","147.85"
"01020","Kuartango","499.71","682.36","560.73","456.52"
"01028","Labastida/Bastida","400.56","383.76","311.31","275.80"
"01030","Lagrán","312.34","347.79","443.27","300.87"
"01031","Laguardia","472.38","535.15","411.46","339.51"
"01032","Lanciego/Lantziego","689.23","683.74","621.24","551.80"
"48051","Lanestosa","245.01","267.55","236.51","286.51"
"01902","Lantarón","293.27","369.02","361.93","263.06"
"01033","Lapuebla de Labarca","522.21","540.37","449.37","424.10"
"48052","Larrabetzu","277.45","278.10","218.75","184.03"
"20048","Larraul","270.85","279.45","222.09","281.81"
"20902","Lasarte-Oria","319.03","287.42","267.57","210.76"
"01036","Laudio/Llodio","422.59","411.41","367.74","315.96"
"48053","Laukiz","197.18","230.79","185.93","174.79"
"20049","Lazkao","213.55","206.80","187.72","160.67"
"20050","Leaburu","427.21","430.35","431.79","355.01"
"20051","Legazpi","338.35","305.92","271.80","238.19"
"20052","Legorreta","316.33","281.75","233.15","183.78"
"01058","Legutio","351.58","291.08","320.86","259.83"
"20068","Leintz-Gatzaga","238.56","225.65","213.03","171.89"
"48054","Leioa","366.69","332.55","288.54","262.42"
"48057","Lekeitio","266.95","242.48","206.90","170.69"
"48055","Lemoa","283.08","252.15","206.13","182.42"
"48056","Lemoiz","214.26","215.39","194.38","192.24"
"01034","Leza","303.43","251.56","296.12","356.75"
"48081","Lezama","222.37","209.38","196.77","177.05"
"20053","Lezo","312.72","280.95","233.89","211.66"
"20054","Lizartza","247.82","182.00","164.32","204.72"
"48903","Loiu","531.76","479.40","274.75","371.80"
"48058","Mallabia","353.78","324.49","301.49","298.61"
"48060","Markina-Xemein","290.29","261.47","208.53","180.78"
"48061","Maruri-Jatabe","276.22","255.48","225.25","208.20"
"48059","Mañaria","263.67","314.57","357.28","248.63"
"20901","Mendaro","284.76","287.68","241.88","226.63"
"48062","Mendata","318.73","423.46","356.61","258.47"
"48063","Mendexa","247.97","215.87","211.14","174.76"
"48064","Meñaka","271.28","231.64","220.50","227.54"
"01039","Moreda de Álava / Moreda Araba","489.19","537.53","322.41","463.16"
"48066","Morga","199.21","212.45","184.26","186.29"
"48068","Mundaka","323.15","289.81","262.98","226.91"
"48069","Mungia","285.03","263.73","208.48","172.47"
"48007","Munitibar-Arbatzegi Gerrikaitz-","345.52","251.20","241.43","261.57"
"48908","Murueta","171.41","181.45","202.03","146.32"
"48071","Muskiz","372.50","345.63","345.30","313.82"
"20057","Mutiloa","529.90","673.17","511.47","256.76"
"20056","Mutriku","258.97","220.83","199.52","190.74"
"48067","Muxika","270.75","280.65","213.78","186.12"
"48909","Nabarniz","208.62","199.12","186.36","156.70"
"01041","Navaridas","487.77","737.20","676.05","265.44"
"20063","Oiartzun","339.64","317.21","260.82","240.15"
"01042","Okondo","398.32","417.98","370.70","325.21"
"20058","Olaberria","294.56","325.21","299.17","305.60"
"48073","Ondarroa","308.19","290.83","230.63","216.59"
"20076","Ordizia","372.26","328.54","245.68","281.19"
"20905","Orendain","407.51","228.90","203.13","359.76"
"20060","Orexa","379.29","391.75","255.40","243.93"
"20061","Orio","234.08","209.31","165.46","155.58"
"20062","Ormaiztegi","239.02","194.12","193.23","157.84"
"48075","Orozko","226.21","207.79","169.34","156.49"
"48083","Ortuella","445.75","425.86","393.92","353.81"
"48072","Otxandio","294.09","273.16","224.32","247.29"
