"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","4.86","4.99","4.88","4.97","4.63","4.23","4.49","4.16","3.78","2.87","2.46","1.96","1.15","0.81"
"20001","Abaltzisketa","3.40","2.74","4.26","2.73","2.16","2.80","3.07","1.90","1.89","1.64","0.68","1.06","1.07","0.71"
"48002","Abanto y Ciérvana-Abanto Zierbena","1.80","1.64","1.70","2.07","2.13","2.13","2.01","1.63","1.60","1.34","1.23","1.03","0.89","0.73"
"20002","Aduna","0.64","0.85","1.06","1.75","1.77","1.77","2.56","2.99","2.93","2.70","3.26","1.42","0.58","0.29"
"20016","Aia","4.20","3.95","4.12","4.17","5.08","4.40","5.78","4.90","3.02","2.79","2.59","2.29","1.58","0.67"
"20003","Aizarnazabal","8.26","9.81","10.06","10.39","9.40","8.46","9.04","8.22","9.80","10.34","6.84","8.74","5.18","2.36"
"48911","Ajangiz","1.07","1.53","1.51","0.67","1.97","2.40","2.00","1.57","1.35","1.13","1.81","1.83","1.17","1.40"
"20004","Albiztur","1.52","1.25","1.53","0.93","0.95","0.96","0.95","1.60","1.59","0.99","1.02","1.01","1.01","0.68"
"20005","Alegia","9.31","8.27","8.08","7.46","7.34","7.03","6.06","6.35","4.97","3.26","2.45","1.82","1.69","0.74"
"01001","Alegría-Dulantzi","7.84","7.49","8.55","8.43","8.12","8.21","6.48","6.22","5.31","4.95","4.20","3.86","2.92","1.76"
"20006","Alkiza","1.96","3.04","2.68","2.63","2.70","1.96","1.13","1.40","1.15","1.55","0.62","0.66","0.34","0.37"
"48912","Alonsotegi","3.71","3.82","4.54","4.21","4.67","3.51","3.32","3.49","2.97","2.39","2.23","1.86","1.37","0.98"
"20906","Altzaga","1.75","1.70","3.03","3.05","1.85","2.50","2.52","2.48","3.18","3.21","0.65","1.30","3.38","3.76"
"20007","Altzo","3.63","2.47","1.00","3.67","3.16","3.21","2.26","2.74","3.25","2.64","1.11","1.39","1.15","0.94"
"20008","Amezketa","5.65","4.78","5.79","4.94","5.02","4.85","6.74","6.16","4.78","1.15","0.92","0.41","0.41","0.20"
"48003","Amorebieta-Etxano","7.88","7.53","7.49","8.44","8.48","7.43","6.80","6.20","5.42","4.29","2.99","2.40","1.78","1.10"
"48004","Amoroto","2.59","1.71","1.68","1.49","1.73","2.42","2.42","2.70","2.72","2.44","2.27","2.07","1.35","2.38"
"01002","Amurrio","5.90","5.97","6.22","6.79","6.72","6.57","6.59","6.31","5.49","4.11","2.99","2.46","1.73","1.20"
"20009","Andoain","4.80","4.58","4.19","4.15","4.21","4.38","4.06","4.02","3.14","2.54","2.12","2.07","1.77","1.60"
"20010","Anoeta","7.66","5.92","5.65","5.34","4.59","4.69","5.46","5.35","3.87","2.63","2.31","1.91","1.86","1.57"
"20011","Antzuola","3.49","3.78","3.78","3.88","3.86","4.25","4.07","4.75","4.10","3.68","3.23","2.06","1.03","0.94"
"48005","Arakaldo","1.91","2.55","3.47","3.08","2.38","3.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","8.25","9.52","8.76","8.76","6.50","4.98","8.26","4.02","1.60","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","1.73","2.50","2.23","2.28","2.64","1.80","2.27","2.33","1.21","1.14","1.68","1.86","1.41","1.34"
"48006","Arantzazu","2.12","3.14","2.89","4.67","5.28","4.52","4.31","2.62","2.61","1.31","0.68","0.69","0.72","1.75"
"48093","Areatza","9.56","7.36","9.00","11.00","11.50","11.28","11.65","11.58","10.45","9.17","8.30","5.79","4.21","2.63"
"20013","Aretxabaleta","4.49","4.88","5.33","4.91","4.76","4.28","4.27","4.31","3.82","3.19","1.92","1.33","1.15","1.01"
"01006","Armiñón","4.70","8.20","6.80","5.06","3.03","3.49","3.11","1.93","2.02","1.51","2.23","2.29","1.23","1.18"
"01037","Arraia-Maeztu","4.16","3.65","3.22","3.69","3.92","4.57","5.08","6.06","6.36","5.99","6.46","6.27","5.71","4.74"
"48009","Arrankudiaga","1.01","1.03","1.23","1.24","2.50","2.14","2.61","1.87","1.69","1.53","0.97","0.75","0.64","0.39"
"20055","Arrasate/Mondragón","6.15","6.13","6.18","5.66","5.28","4.73","4.47","4.07","3.28","2.65","2.11","1.82","1.56","1.18"
"48914","Arratzu","3.18","3.69","2.76","3.10","2.32","2.06","2.37","2.93","2.79","1.70","1.14","0.87","0.84","0.83"
"01008","Arratzua-Ubarrundia","2.25","2.61","2.82","2.24","2.44","1.79","2.30","2.71","3.10","2.05","1.97","0.74","1.01","0.70"
"48010","Arrieta","3.38","3.85","4.19","4.59","5.26","4.61","3.58","3.45","3.45","3.62","1.48","1.32","0.78","0.99"
"48011","Arrigorriaga","3.60","3.74","3.76","4.17","4.53","4.45","4.06","4.04","3.84","3.21","2.53","2.35","2.08","1.65"
"48023","Artea","3.35","5.34","5.94","7.11","8.30","8.43","5.92","4.66","3.58","3.08","3.85","3.98","4.90","1.67"
"48008","Artzentales","2.83","1.78","1.80","2.88","6.18","6.74","5.90","4.21","2.54","1.31","1.74","1.62","1.06","0.60"
"01004","Artziniega","4.57","4.16","3.47","4.26","6.45","6.51","5.39","5.01","4.48","2.64","2.88","2.87","3.24","2.03"
"01009","Asparrena","5.52","6.01","6.78","7.78","8.95","7.78","8.15","7.24","5.20","3.99","3.79","3.18","2.02","1.90"
"20014","Asteasu","3.85","4.00","3.22","3.50","4.30","3.76","3.46","3.38","3.83","2.61","2.32","2.01","2.38","1.67"
"20903","Astigarraga","4.97","5.36","6.52","5.88","4.96","5.25","5.12","5.47","4.82","4.42","4.24","3.54","3.70","3.44"
"20015","Ataun","4.76","3.64","3.76","3.81","3.57","4.31","3.83","3.41","3.14","2.19","1.59","0.91","0.59","0.20"
"48091","Atxondo","3.49","3.19","3.52","3.97","3.89","3.85","3.70","3.58","2.95","2.76","3.33","2.45","1.90","1.52"
"48070","Aulesti","1.52","1.22","1.53","1.08","2.09","1.47","1.18","1.46","1.03","0.89","1.34","0.60","0.30","0.31"
"01010","Ayala/Aiara","1.46","1.61","1.81","1.74","1.99","1.81","1.49","1.30","1.07","1.40","1.33","1.18","0.66","0.36"
"20017","Azkoitia","8.28","7.69","7.76","8.02","8.08","7.27","6.70","6.36","5.54","3.63","2.98","2.58","1.58","1.15"
"20018","Azpeitia","6.55","6.56","6.12","6.27","6.49","5.96","5.61","5.95","4.70","3.71","2.99","2.38","2.08","1.86"
"01049","Añana","5.03","4.46","6.67","7.79","6.63","4.76","3.43","3.41","0.57","1.66","1.65","1.62","0.54","0.00"
"48012","Bakio","3.73","3.82","4.24","4.53","5.49","4.84","5.06","4.80","3.94","4.02","3.60","2.67","2.07","1.53"
"20904","Baliarrain","7.59","8.16","2.31","1.53","2.36","3.28","1.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","6.34","7.03","7.08","7.74","7.41","6.18","4.97","4.64","4.24","3.25","2.56","2.19","1.95","1.09"
"48013","Barakaldo","6.01","5.77","5.86","6.59","6.50","6.10","5.60","4.96","4.15","3.34","2.65","2.00","1.49","1.14"
"48014","Barrika","3.02","3.25","3.45","3.06","3.11","4.09","3.77","3.59","3.53","3.49","2.84","2.39","2.34","2.10"
"01013","Barrundia","3.77","3.20","3.61","4.00","4.19","4.42","5.16","4.34","4.04","3.42","3.40","2.31","1.59","1.85"
"48015","Basauri","4.94","4.63","4.65","4.65","4.36","4.09","3.73","3.31","2.79","2.43","2.03","1.64","1.22","0.97"
"01011","Baños de Ebro/Mañueta","12.34","11.25","14.46","12.07","11.36","10.49","10.03","11.11","14.85","13.17","13.90","7.27","4.17","3.19"
"20019","Beasain","12.09","11.70","11.03","10.81","10.82","10.25","10.05","9.46","8.87","5.39","4.38","3.58","2.72","2.04"
"48092","Bedia","3.51","3.33","4.06","3.82","3.65","3.61","4.55","3.74","3.56","2.85","3.35","2.95","2.35","1.93"
"20020","Beizama","3.01","1.21","2.40","2.35","1.71","1.65","1.64","0.56","1.11","1.10","0.59","0.58","0.60","0.60"
"20021","Belauntza","3.73","4.84","3.85","5.58","7.12","6.62","4.73","5.14","9.40","7.19","5.86","0.69","0.68","0.68"
"48016","Berango","3.06","3.46","3.71","5.05","4.87","4.67","4.93","5.01","4.74","4.35","3.51","3.71","2.96","2.94"
"01014","Berantevilla","4.23","7.71","7.34","8.14","6.25","5.47","7.41","4.11","4.03","3.81","2.04","4.37","3.93","3.45"
"20022","Berastegi","1.86","1.51","1.33","1.03","0.94","1.13","1.05","0.77","1.07","1.20","1.40","1.31","1.21","1.12"
"20074","Bergara","6.10","6.39","7.11","6.58","6.07","5.51","5.35","5.23","4.86","4.47","3.54","2.70","1.92","1.46"
"48017","Bermeo","6.44","6.48","6.58","7.49","7.11","6.32","6.16","5.66","5.33","4.12","3.19","2.54","1.83","1.41"
"01016","Bernedo","2.61","3.80","6.06","6.88","7.39","7.43","8.00","6.78","7.65","5.51","5.27","3.89","2.23","1.47"
"48018","Berriatua","12.19","12.38","12.86","14.09","14.11","12.89","14.72","14.97","13.88","11.77","7.65","5.61","4.18","2.83"
"48019","Berriz","6.33","6.91","6.56","6.94","7.15","6.65","6.17","5.75","4.70","4.20","3.42","1.92","1.28","1.42"
"20023","Berrobi","4.35","6.00","5.46","4.43","4.05","3.63","3.99","5.33","3.40","1.70","2.21","1.43","2.98","2.65"
"20024","Bidania-Goiatz","3.88","4.56","3.63","4.57","5.21","5.63","6.59","4.90","4.07","4.97","3.88","3.50","2.73","2.08"
"48020","Bilbao","7.39","7.20","7.63","8.12","8.50","8.42","8.04","7.88","7.06","6.20","5.54","4.59","3.70","3.14"
"48021","Busturia","2.47","2.73","2.19","2.91","3.04","3.49","2.72","2.92","2.97","2.48","2.04","1.28","1.07","0.78"
"01017","Campezo/Kanpezu","6.14","5.99","6.46","8.78","8.27","6.86","7.19","7.78","6.77","6.33","6.05","6.37","5.16","3.48"
"20029","Deba","5.60","5.42","5.30","5.25","4.89","4.34","4.35","4.18","3.77","3.07","2.80","1.99","1.43","1.40"
"48901","Derio","3.23","3.22","3.32","3.96","4.35","4.09","4.00","3.58","3.20","3.26","2.64","2.47","1.69","1.68"
"48026","Dima","2.19","1.97","2.05","2.07","1.98","2.14","2.51","2.15","1.74","2.26","2.08","1.49","1.24","0.83"
"20069","Donostia / San Sebastián","6.62","6.62","6.74","7.07","7.06","6.90","6.66","6.48","5.82","4.92","4.53","3.97","3.48","2.80"
"48027","Durango","7.00","7.07","7.00","7.63","7.65","6.86","7.03","6.95","5.99","5.00","4.02","3.09","2.32","1.74"
"48028","Ea","3.91","4.03","3.82","3.70","3.61","2.68","1.90","1.88","1.68","1.61","1.90","1.88","1.52","1.26"
"20030","Eibar","7.25","6.97","6.85","6.89","6.39","5.80","5.53","5.28","4.62","3.71","3.24","2.89","2.63","2.07"
"48031","Elantxobe","1.61","1.04","0.51","0.76","1.24","4.96","5.01","4.54","2.05","1.57","1.58","1.32","2.38","1.52"
"01021","Elburgo/Burgelu","3.76","4.93","4.97","4.21","4.61","5.30","5.09","4.81","5.13","4.20","2.92","3.58","1.77","2.99"
"01022","Elciego","7.06","8.37","7.40","6.51","8.00","7.56","7.04","7.55","7.41","6.59","4.83","4.57","3.35","4.67"
"20031","Elduain","1.24","0.82","0.42","0.42","0.43","1.29","1.28","1.26","1.27","1.32","0.93","0.94","0.93","0.47"
"20033","Elgeta","4.58","5.11","5.44","6.58","6.88","7.32","5.84","5.14","5.81","6.47","4.11","3.60","2.30","1.33"
"20032","Elgoibar","7.97","7.58","7.16","7.46","7.10","6.57","6.18","5.79","4.80","3.52","2.41","1.81","1.37","1.15"
"48032","Elorrio","4.87","4.90","4.63","4.91","4.74","4.11","3.68","3.21","2.93","1.99","1.53","1.37","1.04","0.67"
"01023","Elvillar/Bilar","9.86","9.07","8.55","7.56","8.70","6.65","4.09","6.23","4.48","4.78","3.14","3.01","3.49","2.40"
"48902","Erandio","5.56","5.53","5.92","6.29","6.55","6.41","6.47","6.48","5.79","5.36","4.35","3.18","2.36","1.91"
"48033","Ereño","3.14","3.97","4.51","4.82","5.77","4.56","5.43","5.04","3.56","3.46","1.56","2.29","1.95","2.39"
"48034","Ermua","5.46","5.15","5.14","5.69","5.66","5.28","4.71","4.52","3.92","3.21","2.74","2.69","2.45","2.44"
"20067","Errenteria","5.93","5.58","5.42","5.35","5.53","5.28","4.93","4.41","3.66","2.91","2.33","2.06","1.69","1.50"
"20066","Errezil","3.34","3.04","3.70","3.80","5.02","4.61","3.73","5.10","4.33","4.11","2.13","1.15","1.48","0.82"
"01046","Erriberagoitia/Ribera Alta","2.82","3.36","5.19","7.12","8.23","6.91","5.47","6.18","4.82","5.27","3.16","3.75","3.10","2.28"
"48079","Errigoiti","3.31","2.76","3.08","3.38","2.61","3.59","3.59","4.68","3.09","1.96","2.20","1.80","1.65","1.60"
"20034","Eskoriatza","5.00","5.29","4.79","4.63","4.56","4.28","4.14","4.13","3.86","3.01","2.39","1.85","1.36","1.00"
"48029","Etxebarri","2.46","2.63","2.85","2.96","3.12","2.96","2.82","2.57","2.38","2.01","1.69","1.84","1.20","0.91"
"48030","Etxebarria","6.84","6.23","5.32","6.58","6.58","5.20","5.85","7.10","6.97","5.59","4.31","4.93","1.77","0.89"
"20035","Ezkio-Itsaso","3.59","3.39","3.28","2.82","5.28","4.76","5.10","5.94","6.06","4.04","3.64","4.55","4.56","4.10"
"48906","Forua","4.18","4.33","5.54","5.93","5.37","5.52","5.93","6.10","5.17","5.08","3.90","3.73","3.47","1.80"
"48035","Fruiz","3.52","4.02","3.60","6.03","6.15","3.20","3.11","2.60","1.47","1.24","2.24","2.90","1.93","2.80"
"20038","Gabiria","1.44","1.63","2.62","3.02","3.28","4.67","5.49","5.91","5.36","2.53","3.03","0.95","0.48","2.94"
"20037","Gaintza","3.31","3.28","2.50","1.68","2.48","1.54","0.00","1.52","1.52","0.74","0.00","0.00","0.00","0.00"
