"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","2.70","2.55","2.44","2.46","2.36","2.10","1.80","2.20","2.13","2.09","1.74"
"20001","Abaltzisketa","1.81","1.70","1.60","1.40","1.72","1.55","1.63","1.42","1.21","2.02","1.32"
"48002","Abanto y Ciérvana-Abanto Zierbena","2.48","2.64","2.22","2.15","2.15","2.10","1.96","1.95","1.95","1.85","2.03"
"20002","Aduna","2.07","2.11","1.95","2.24","1.90","2.01","1.39","1.67","1.64","1.76","1.68"
"20016","Aia","3.38","1.89","1.91","1.71","1.92","2.31","1.60","1.58","1.41","1.51","1.64"
"20003","Aizarnazabal","1.63","1.88","2.10","1.55","1.78","1.89","2.05","1.55","1.57","2.28","2.12"
"48911","Ajangiz","1.46","1.24","1.58","1.38","1.86","1.28","1.55","1.29","1.28","1.31","1.29"
"20004","Albiztur","1.40","1.80","1.75","1.50","1.80","4.36","4.55","2.04","2.45","2.06","1.54"
"20005","Alegia","2.41","2.41","1.85","1.91","1.94","1.83","1.73","1.48","1.85","2.63","1.89"
"01001","Alegría-Dulantzi","2.62","2.78","2.70","3.05","2.52","2.09","1.77","1.74","1.82","2.09","1.76"
"20006","Alkiza","4.08","7.17","3.42","4.25","1.19","1.76","1.28","2.00","1.61","2.00","1.68"
"48912","Alonsotegi","2.96","2.95","2.50","2.15","2.32","3.10","2.46","3.72","2.18","1.83","2.74"
"20906","Altzaga","1.25","1.20","1.00","1.00","1.33","1.25","2.33","2.00","1.14","2.20","1.33"
"20007","Altzo","2.33","1.63","2.29","1.73","1.81","1.82","1.38","1.32","1.58","1.52","1.96"
"20008","Amezketa","1.73","1.32","1.35","1.67","1.46","1.71","1.17","1.26","1.24","1.37","1.48"
"48003","Amorebieta-Etxano","4.00","3.65","3.79","3.48","2.91","2.94","2.96","2.89","2.97","2.70","2.93"
