"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011"
"48001","Abadiño","25.00","20.87","16.50","15.20","19.78"
"20001","Abaltzisketa","34.48","24.14","20.00","30.43","26.09"
"48002","Abanto y Ciérvana-Abanto Zierbena","15.96","15.54","17.68","15.01","21.12"
"20002","Aduna","20.00","16.00","17.39","23.81","33.33"
"20016","Aia","10.78","6.59","8.88","11.45","9.04"
"20003","Aizarnazabal","34.88","30.23","45.10","41.51","45.28"
"48911","Ajangiz","12.90","19.35","24.24","26.67","23.33"
"20004","Albiztur","34.78","30.43","31.82","14.29","32.14"
"20005","Alegia","26.36","22.48","21.64","25.71","24.29"
"01001","Alegría-Dulantzi","30.69","23.81","23.83","22.83","26.09"
"20006","Alkiza","33.33","27.78","29.63","29.63","37.04"
"48912","Alonsotegi","18.72","18.72","13.22","14.05","15.14"
"20906","Altzaga","50.00","66.67","33.33","28.57","14.29"
"20007","Altzo","19.44","13.89","17.14","25.00","22.22"
"20008","Amezketa","37.68","33.33","30.00","25.86","43.10"
"48003","Amorebieta-Etxano","20.80","19.59","18.21","15.54","22.22"
"48004","Amoroto","16.13","19.35","13.33","4.17","16.67"
"01002","Amurrio","18.51","14.86","16.06","15.35","19.42"
"20009","Andoain","22.47","21.41","19.07","19.01","25.35"
"20010","Anoeta","30.00","26.11","14.72","24.83","30.34"
"20011","Antzuola","29.55","28.79","18.32","15.49","25.35"
"48005","Arakaldo","50.00","16.67","16.67","0.00","0.00"
"20012","Arama","31.58","21.05","26.32","37.50","37.50"
"01003","Aramaio","21.43","14.29","16.13","16.07","18.75"
"48006","Arantzazu","15.38","15.38","16.67","23.81","23.81"
"48093","Areatza","22.62","14.29","4.94","6.74","19.10"
"20013","Aretxabaleta","24.64","18.48","16.27","15.99","21.46"
"01006","Armiñón","6.25","12.50","25.00","27.27","18.18"
"01037","Arraia-Maeztu","34.62","38.46","17.86","30.30","27.27"
"48009","Arrankudiaga","15.38","9.23","8.96","5.97","17.91"
"20055","Arrasate/Mondragón","23.39","18.27","20.04","16.50","22.14"
"48914","Arratzu","4.76","19.05","17.65","15.00","10.00"
"01008","Arratzua-Ubarrundia","15.38","10.99","11.49","19.44","26.39"
"48010","Arrieta","17.39","10.87","17.50","20.00","16.67"
"48011","Arrigorriaga","14.48","12.58","12.45","13.17","13.91"
"48023","Artea","11.32","3.77","6.25","7.69","3.85"
"48008","Artzentales","20.45","15.91","19.15","11.84","17.11"
"01004","Artziniega","14.88","14.88","16.22","22.66","22.66"
"01009","Asparrena","20.00","16.00","17.95","19.67","16.39"
"20014","Asteasu","35.25","33.61","35.65","32.32","31.31"
"20903","Astigarraga","29.89","26.44","21.17","19.57","20.50"
"20015","Ataun","52.94","43.53","35.00","46.84","55.70"
"48091","Atxondo","30.00","20.91","21.24","18.98","34.31"
"48070","Aulesti","10.53","2.63","5.56","3.23","6.45"
"01010","Ayala/Aiara","20.97","20.97","17.58","25.28","32.58"
"20017","Azkoitia","22.41","18.97","18.21","19.11","21.34"
"20018","Azpeitia","27.51","19.86","19.60","21.75","28.01"
"01049","Añana","16.67","0.00","12.50","25.00","25.00"
"48012","Bakio","5.80","8.70","15.83","11.76","13.73"
"20904","Baliarrain","44.44","22.22","25.00","16.67","33.33"
"48090","Balmaseda","15.55","15.93","12.69","15.34","18.62"
"48013","Barakaldo","18.94","17.27","16.85","16.89","22.41"
"48014","Barrika","11.11","12.04","8.65","7.69","6.59"
"01013","Barrundia","16.98","20.75","15.22","17.78","22.22"
"48015","Basauri","17.10","15.12","14.56","16.99","21.81"
"01011","Baños de Ebro/Mañueta","11.11","11.11","11.11","45.00","385.00"
"20019","Beasain","21.61","20.67","20.46","18.47","23.71"
