"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","10.76","10.79","10.96","13.06","12.52","11.49","12.90","14.25","11.72","10.21","10.78","12.71","9.27","9.03"
"20001","Abaltzisketa","0.00","21.28","0.00","3.10","15.48","6.17","18.69","6.31","19.29","23.33","10.34","17.73","10.68","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","6.04","7.45","8.33","8.55","8.44","8.44","9.29","9.76","10.51","9.68","9.00","11.80","10.70","9.40"
"20002","Aduna","8.51","10.62","32.33","6.64","22.12","24.94","12.05","20.57","21.45","8.13","16.67","5.76","11.70","11.87"
"20016","Aia","11.22","12.71","15.20","12.41","17.38","17.96","15.63","15.74","11.94","13.88","12.49","13.30","8.33","3.64"
"20003","Aizarnazabal","11.61","18.06","24.58","16.00","18.67","22.19","7.26","22.69","15.48","6.39","12.86","14.90","10.60","7.38"
"48911","Ajangiz","12.93","6.51","8.75","6.55","4.37","15.42","8.93","8.99","11.26","6.79","9.09","6.93","9.32","14.02"
"20004","Albiztur","12.31","12.35","18.46","22.29","22.29","12.74","19.11","19.17","22.73","13.42","6.76","13.47","10.17","3.44"
"20005","Alegia","5.76","9.18","8.57","11.27","11.83","13.61","16.07","10.45","13.54","10.72","13.26","10.89","9.78","9.93"
"01001","Alegría-Dulantzi","10.46","14.46","11.73","11.99","13.05","17.04","12.37","24.76","21.37","16.91","22.65","17.64","18.75","16.33"
"20006","Alkiza","19.44","10.87","7.96","27.47","16.48","2.82","16.90","11.36","26.87","12.46","25.72","20.27","14.18","25.93"
"48912","Alonsotegi","9.45","8.07","8.82","11.65","10.24","9.92","12.01","8.82","10.65","12.88","7.23","10.80","5.68","4.89"
"20906","Altzaga","0.00","11.70","18.18","12.42","37.27","6.25","6.25","31.45","19.11","25.81","19.48","13.25","14.18","8.00"
"20007","Altzo","7.33","12.41","7.41","9.80","12.25","9.95","15.00","12.47","23.08","10.84","19.50","11.30","17.91","15.72"
"20008","Amezketa","10.64","7.33","6.19","11.31","12.33","11.20","7.06","14.18","9.29","15.56","14.40","11.28","13.24","10.14"
"48003","Amorebieta-Etxano","10.00","9.92","8.49","11.35","11.08","11.85","9.72","10.77","9.31","9.62","10.62","9.64","9.76","9.34"
"48004","Amoroto","4.78","7.25","24.39","4.89","4.89","4.83","4.87","4.93","7.37","4.96","5.10","21.11","13.37","15.92"
"01002","Amurrio","11.79","9.66","10.70","10.43","10.33","9.27","8.44","8.65","9.54","8.30","6.35","7.01","7.13","5.64"
"20009","Andoain","10.04","9.48","9.97","10.43","10.84","11.65","12.27","11.61","12.78","11.24","10.04","9.57","8.52","8.40"
"20010","Anoeta","13.14","17.13","10.62","7.10","14.75","12.49","12.97","11.47","17.79","12.35","12.91","9.55","10.69","0.00"
"20011","Antzuola","11.90","13.68","12.32","16.04","14.21","18.86","18.01","13.91","15.00","17.64","8.75","9.03","11.40","10.49"
"48005","Arakaldo","12.74","0.00","14.60","15.75","31.50","25.00","0.00","10.64","0.00","0.00","10.87","10.75","21.05","10.53"
"20012","Arama","14.42","0.00","9.22","9.95","14.93","9.52","14.35","25.77","10.75","0.00","17.75","12.20","6.06","18.18"
"01003","Aramaio","7.28","13.35","8.08","7.97","8.64","9.35","10.01","10.04","6.71","12.73","11.36","12.71","11.42","10.11"
"48006","Arantzazu","7.89","5.25","29.57","14.01","16.81","20.59","9.52","3.27","9.80","0.00","10.27","17.61","17.73","3.50"
"48093","Areatza","7.47","8.31","10.66","10.81","11.64","9.47","12.31","6.24","12.79","5.58","9.49","9.72","4.88","13.55"
"20013","Aretxabaleta","9.59","9.59","9.19","13.41","10.46","11.62","10.31","13.80","12.42","10.29","12.20","11.27","11.02","10.10"
"01006","Armiñón","8.37","8.10","20.49","13.04","8.70","8.81","13.89","9.85","10.05","26.46","11.30","11.83","18.07","0.00"
"01037","Arraia-Maeztu","5.58","12.62","11.07","5.47","13.68","9.79","7.05","8.46","5.61","6.92","5.47","8.16","5.43","10.87"
"48009","Arrankudiaga","6.12","11.29","3.10","12.67","12.67","15.10","13.11","10.03","16.15","8.37","15.99","7.59","9.01","6.39"
"20055","Arrasate/Mondragón","8.31","7.57","8.43","7.23","8.50","9.05","7.67","8.58","8.26","8.73","7.79","7.96","7.92","8.18"
"48914","Arratzu","2.45","17.41","17.81","15.42","0.00","13.02","10.61","8.17","5.62","0.00","11.46","2.84","11.11","0.00"
"01008","Arratzua-Ubarrundia","5.06","7.03","5.06","7.24","11.38","8.58","7.63","9.87","6.73","6.89","5.99","2.50","2.65","4.16"
"48010","Arrieta","3.53","6.98","8.94","5.48","7.31","3.64","5.41","12.70","9.06","1.83","14.95","7.68","9.82","7.80"
"48011","Arrigorriaga","7.97","7.12","8.73","7.67","9.83","10.86","10.24","10.95","11.56","12.20","14.03","12.33","10.60","9.26"
"48023","Artea","5.28","6.48","10.42","11.49","8.94","14.25","7.94","9.47","11.36","17.70","4.43","17.75","9.02","6.13"
"48008","Artzentales","9.50","4.13","8.28","3.99","9.32","10.87","12.48","1.41","10.03","2.91","7.32","7.47","12.07","7.51"
"01004","Artziniega","10.35","8.77","10.41","14.04","18.90","15.29","12.65","8.93","13.85","10.20","10.86","8.14","14.12","8.82"
"01009","Asparrena","11.59","7.27","10.83","6.51","11.83","7.73","15.04","11.73","7.56","12.65","4.39","11.92","10.77","4.41"
