"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","217.67","217.67","202.56","203.81","205.82","201.04","198.36","199.42","189.94","79.41","0.00"
"20001","Abaltzisketa","227.96","227.96","243.16","242.42","246.91","249.22","245.40","237.34","236.59","246.71","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","31.34","31.34","30.97","30.74","30.90","30.89","30.85","31.35","31.47","31.47","8.74"
"20002","Aduna","121.28","121.28","127.39","131.29","132.74","132.74","139.86","142.14","0.00","0.00","0.00"
"20016","Aia","147.73","147.73","137.32","137.39","138.20","114.89","64.77","66.19","18.34","18.59","28.20"
"20003","Aizarnazabal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48911","Ajangiz","1.570.81","1.570.81","1.555.08","977.78","962.80","960.70","977.78","551.01","551.01","352.94","113.38"
"20004","Albiztur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","29.29","29.29","28.67","28.47","28.23","28.12","28.57","29.43","29.82","30.23","30.52"
"01001","Alegría-Dulantzi","162.39","162.39","160.68","163.76","163.82","167.68","173.18","178.44","189.50","202.82","0.00"
"20006","Alkiza","754.14","541.44","536.19","368.42","134.77","140.06","141.64","140.06","144.09","155.28","156.25"
"48912","Alonsotegi","36.06","36.06","35.17","35.37","35.15","35.46","35.36","36.47","36.52","36.88","31.89"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","313.58","125.93","125.00","122.25","121.65","123.46","125.63","126.87","127.50","134.56","0.00"
"20008","Amezketa","277.07","116.77","61.98","61.73","61.48","0.00","0.00","0.00","0.00","0.00","110.88"
"48003","Amorebieta-Etxano","29.20","29.20","22.61","22.52","21.07","19.29","15.03","12.91","13.07","8.62","5.96"
"48004","Amoroto","480.49","480.49","167.87","174.13","172.84","169.49","169.08","174.51","0.00","0.00","0.00"
"01002","Amurrio","98.70","98.70","93.76","94.68","94.92","79.89","71.64","71.20","46.90","47.61","62.13"
"20009","Andoain","5.93","5.93","2.05","2.05","2.05","2.04","2.05","2.32","2.36","2.39","2.41"
"20010","Anoeta","739.66","739.66","739.57","715.81","120.22","120.09","118.92","121.23","123.91","0.00","0.00"
"20011","Antzuola","103.51","103.51","54.72","54.82","55.12","54.87","55.53","54.89","23.78","24.05","0.00"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","514.49","514.49","507.44","375.59","304.03","307.49","307.28","304.07","279.11","45.55","162.28"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","225.94","225.94","222.96","220.05","220.23","152.67","157.62","159.15","162.16","166.67","100.75"
"20013","Aretxabaleta","9.89","9.89","2.86","2.89","2.92","2.97","2.99","3.02","0.00","0.00","37.22"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","594.10","594.10","518.21","506.16","433.02","443.21","451.98","456.90","90.52","0.00","1.634.62"
"48009","Arrankudiaga","270.30","270.30","266.94","269.71","270.55","278.67","43.48","46.86","48.14","0.00","0.00"
"20055","Arrasate/Mondragón","41.62","41.62","41.72","39.45","39.50","33.22","33.17","33.04","33.18","32.06","15.33"
"48914","Arratzu","1.002.46","1.002.46","1.030.15","1.059.43","1.056.70","1.053.98","817.94","837.87","877.65","0.00","0.00"
