"Udalerri kodea","Udalerria","2015","2014","2013","2012"
"48001","Abadiño","1.10","0.94","0.88","1.06"
"20001","Abaltzisketa","5.81","7.48","6.49","5.73"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.45","0.54","0.44","0.38"
"20002","Aduna","1.92","1.51","1.58","2.14"
"20016","Aia","19.22","19.02","18.18","17.02"
"20003","Aizarnazabal","4.72","3.97","4.09","4.89"
"48911","Ajangiz","4.14","4.09","3.68","3.73"
"20004","Albiztur","3.65","3.60","4.41","3.91"
"20005","Alegia","0.68","0.71","0.72","0.71"
"01001","Alegría-Dulantzi","1.58","1.41","1.43","1.67"
"20006","Alkiza","6.13","6.06","5.81","6.04"
"48912","Alonsotegi","1.08","1.00","1.04","0.99"
"20906","Altzaga","3.12","3.17","3.23","3.33"
"20007","Altzo","2.56","2.68","3.31","3.23"
"20008","Amezketa","5.00","4.44","4.37","4.39"
"48003","Amorebieta-Etxano","0.67","0.69","0.70","0.73"
"48004","Amoroto","3.51","4.24","5.00","5.62"
"01002","Amurrio","2.20","2.14","2.11","1.98"
"20009","Andoain","0.47","0.49","0.43","0.39"
"20010","Anoeta","1.57","1.31","1.37","1.38"
"20011","Antzuola","0.98","1.20","0.78","1.03"
"48005","Arakaldo","2.04","2.56","2.44","2.50"
"20012","Arama","7.59","7.89","7.50","8.75"
"01003","Aramaio","4.20","4.67","4.23","4.34"
"48006","Arantzazu","0.76","0.84","0.82","0.87"
"48093","Areatza","3.49","2.97","2.50","3.02"
"20013","Aretxabaleta","0.55","0.59","0.62","0.63"
"01006","Armiñón","13.04","15.28","13.89","16.42"
"01037","Arraia-Maeztu","15.89","15.79","16.47","17.28"
"48009","Arrankudiaga","2.53","2.90","2.37","2.50"
"20055","Arrasate/Mondragón","0.20","0.23","0.19","0.17"
"48914","Arratzu","1.44","1.47","1.49","1.47"
"01008","Arratzua-Ubarrundia","6.00","5.97","6.46","6.30"
"48010","Arrieta","6.67","7.84","7.96","8.42"
"48011","Arrigorriaga","0.29","0.25","0.26","0.30"
"48023","Artea","2.72","2.26","1.93","3.10"
"48008","Artzentales","8.57","8.23","8.37","8.26"
"01004","Artziniega","2.18","2.32","2.47","2.61"
"01009","Asparrena","8.31","8.90","9.12","9.12"
"20014","Asteasu","8.06","7.54","8.02","8.50"
"20903","Astigarraga","1.76","1.82","2.14","2.08"
"20015","Ataun","6.60","6.76","7.31","7.43"
"48091","Atxondo","2.84","3.81","3.14","3.36"
"48070","Aulesti","7.79","8.45","7.46","10.00"
"01010","Ayala/Aiara","8.31","8.48","8.62","9.22"
"20017","Azkoitia","1.15","1.17","1.15","1.17"
"20018","Azpeitia","1.74","1.67","1.66","1.54"
"01049","Añana","11.54","15.69","17.39","17.31"
"48012","Bakio","5.05","4.81","4.78","5.03"
"20904","Baliarrain","2.00","4.08","3.92","4.00"
"48090","Balmaseda","0.57","0.73","0.32","0.40"
"48013","Barakaldo","0.12","0.13","0.10","0.10"
"48014","Barrika","0.76","0.57","0.94","0.94"
"01013","Barrundia","17.53","17.76","18.37","19.32"
"48015","Basauri","0.12","0.11","0.16","0.11"
"01011","Baños de Ebro/Mañueta","66.67","66.96","66.36","68.18"
"20019","Beasain","0.31","0.30","0.39","0.36"
"48092","Bedia","0.50","0.00","1.06","0.80"
"20020","Beizama","14.55","12.50","14.04","13.46"
"20021","Belauntza","4.07","3.31","3.08","2.99"
"48016","Berango","0.54","0.52","0.46","0.46"
"01014","Berantevilla","24.44","25.18","26.39","27.56"
"20022","Berastegi","3.98","4.63","5.07","5.54"
"20074","Bergara","0.81","0.69","0.65","0.65"
"48017","Bermeo","5.67","5.96","6.39","6.01"
"01016","Bernedo","22.22","24.19","23.71","24.50"
"48018","Berriatua","8.47","8.70","9.48","10.44"
"48019","Berriz","1.11","1.19","1.38","1.06"
"20023","Berrobi","3.02","3.56","3.12","4.15"
"20024","Bidania-Goiatz","7.52","6.67","7.11","7.44"
"48020","Bilbao","0.23","0.23","0.23","0.21"
"48021","Busturia","3.20","3.32","3.23","3.09"
"01017","Campezo/Kanpezu","8.78","9.70","9.09","9.12"
"20029","Deba","2.96","3.14","3.17","3.16"
"48901","Derio","0.48","0.54","0.74","0.86"
"48026","Dima","2.80","2.56","2.42","2.75"
"20069","Donostia / San Sebastián","0.30","0.30","0.30","0.28"
"48027","Durango","0.74","0.77","0.68","0.70"
"48028","Ea","2.27","2.92","2.66","2.16"
"20030","Eibar","0.31","0.32","0.34","0.34"
"48031","Elantxobe","0.99","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","10.53","10.99","11.40","11.87"
"01022","Elciego","21.52","23.51","22.03","22.90"
"20031","Elduain","2.80","3.00","2.06","2.00"
"20033","Elgeta","1.03","1.06","1.02","1.04"
"20032","Elgoibar","1.21","1.36","1.38","1.43"
"48032","Elorrio","1.58","1.38","1.32","1.17"
"01023","Elvillar/Bilar","60.00","57.46","58.02","57.97"
"48902","Erandio","0.36","0.40","0.34","0.35"
"48033","Ereño","8.14","10.39","10.84","8.89"
"48034","Ermua","0.11","0.13","0.05","0.08"
"20067","Errenteria","0.30","0.32","0.31","0.29"
"20066","Errezil","14.73","14.52","14.98","14.34"
"01046","Erriberagoitia/Ribera Alta","13.95","13.44","13.55","12.35"
"48079","Errigoiti","5.23","7.53","6.67","7.14"
"20034","Eskoriatza","1.54","1.13","1.12","1.21"
"48029","Etxebarri","0.14","0.15","0.13","0.14"
"48030","Etxebarria","4.59","4.77","4.97","5.92"
"20035","Ezkio-Itsaso","4.15","4.37","4.93","4.98"
"48906","Forua","1.74","1.94","2.04","1.65"
"48035","Fruiz","1.50","1.49","1.49","1.99"
"20038","Gabiria","1.44","1.93","3.12","3.49"
"20037","Gaintza","6.25","8.33","7.55","8.16"
"48036","Galdakao","0.27","0.27","0.31","0.31"
"48037","Galdames","5.91","7.60","7.39","6.67"
"48038","Gamiz-Fika","6.24","6.32","5.86","6.60"
"48039","Garai","1.71","2.78","2.86","3.09"
"48040","Gatika","3.04","3.33","3.40","3.38"
"48041","Gautegiz Arteaga","0.66","0.66","0.95","0.96"
"20907","Gaztelu","10.87","10.20","10.64","4.48"
"48046","Gernika-Lumo","1.32","1.28","1.27","1.23"
"20039","Getaria","9.34","9.54","9.88","10.18"
"48044","Getxo","0.32","0.31","0.26","0.28"
"48047","Gizaburuaga","5.19","5.41","5.19","3.80"
"48042","Gordexola","3.46","3.46","3.72","3.32"
"48043","Gorliz","1.17","1.25","1.20","1.26"
"48045","Güeñes","1.27","1.41","1.35","1.54"
"01056","Harana/Valle de Arana","29.76","31.82","33.33","34.52"
"20040","Hernani","0.55","0.56","0.54","0.46"
"20041","Hernialde","6.54","6.45","5.52","5.56"
"20036","Hondarribia","2.01","2.08","2.08","2.13"
"20042","Ibarra","1.17","1.25","1.10","1.09"
"48048","Ibarrangelu","2.08","2.13","2.65","3.26"
"20043","Idiazabal","2.96","3.15","3.32","3.25"
"48094","Igorre","1.93","1.93","1.81","1.52"
"20044","Ikaztegieta","2.09","1.60","1.05","1.10"
"20045","Irun","0.24","0.27","0.27","0.25"
"20046","Irura","0.27","0.43","0.15","0.31"
"01027","Iruraiz-Gauna","24.89","27.63","27.31","28.18"
"01901","Iruña Oka/Iruña de Oca","1.68","1.86","1.78","1.74"
"48049","Ispaster","6.53","7.08","7.66","10.34"
"20047","Itsasondo","1.63","1.67","1.72","1.78"
"48910","Iurreta","1.72","1.75","1.89","1.82"
"48050","Izurtza","5.36","5.36","6.19","6.48"
"48022","Karrantza Harana/Valle de Carranza","29.34","29.44","29.12","28.94"
"48907","Kortezubi","9.60","10.00","10.91","10.83"
"01019","Kripan","52.54","57.41","58.49","61.11"
"01020","Kuartango","14.93","18.49","17.65","18.25"
