"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48012","Bakio","3.47","15.94","31.46","32.42","118.10","234.46","234.86","229.20","257.68","145.00","74.88","79.50","85.70"
"20904","Baliarrain","0.00","0.00","0.00","17.24","110.09","155.34","193.88","195.88","177.08","51.02","60.61","41.24","53.19"
"48090","Balmaseda","2.45","1.04","1.06","3.50","21.92","40.43","58.11","64.26","62.80","27.13","28.43","21.70","16.45"
"48013","Barakaldo","16.47","12.02","11.37","16.96","23.98","28.55","50.41","65.52","68.20","74.90","93.17","95.37","92.94"
"48014","Barrika","7.86","5.93","5.34","7.45","7.56","14.72","28.63","42.55","46.69","73.87","77.11","71.13","81.77"
"01013","Barrundia","6.58","6.57","13.26","15.77","28.74","41.27","60.83","66.42","70.13","55.71","81.20","106.29","155.91"
"48015","Basauri","4.19","3.52","6.66","5.54","13.47","17.07","16.95","13.36","13.24","2.47","5.87","6.78","8.27"
"01011","Baños de Ebro/Mañueta","0.00","0.00","6.15","12.05","14.71","17.19","17.05","11.36","8.57","11.53","17.65","17.80","23.81"
"20019","Beasain","5.35","4.21","11.81","11.71","32.94","51.84","69.10","72.25","74.24","34.59","50.93","47.30","39.00"
"48092","Bedia","0.99","1.00","0.00","1.03","1.03","1.03","1.02","1.02","0.00","0.00","6.11","6.15","6.14"
"20020","Beizama","0.00","0.00","0.00","5.56","5.52","5.59","5.65","5.75","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.38","3.38","3.31","3.26"
"48016","Berango","12.02","7.14","5.89","4.18","16.58","19.96","27.38","32.64","56.65","46.06","54.89","67.19","112.88"
"01014","Berantevilla","4.18","4.12","4.18","4.24","6.45","6.61","6.73","8.89","55.07","56.77","54.23","57.14","62.50"
"20022","Berastegi","0.00","0.00","0.00","0.00","2.90","29.30","48.37","53.73","56.28","40.28","40.44","33.47","29.56"
"20074","Bergara","9.16","10.41","19.21","20.92","27.76","27.11","34.32","23.85","25.77","20.86","17.67","17.96","16.38"
"48017","Bermeo","2.40","1.11","3.28","9.28","38.03","45.84","49.74","48.16","47.23","18.39","16.67","15.25","16.76"
"01016","Bernedo","5.42","8.87","8.77","12.20","15.60","29.41","32.99","36.97","50.00","38.18","47.79","46.21","59.04"
"48018","Berriatua","3.22","1.59","2.36","25.84","26.71","29.44","31.76","65.14","60.18","79.56","119.92","128.77","92.04"
"48019","Berriz","1.45","1.24","1.85","1.44","2.68","3.33","7.18","35.24","36.48","38.30","47.07","50.95","84.26"
"20023","Berrobi","0.00","0.00","0.00","0.00","34.13","34.01","34.19","55.27","55.75","20.98","21.13","21.16","0.00"
"20024","Bidania-Goiatz","3.78","3.77","3.80","0.00","0.00","44.35","45.74","47.11","48.35","36.04","34.48","35.13","35.46"
"48020","Bilbao","3.53","3.47","2.98","2.60","4.99","6.57","7.44","8.51","11.43","13.32","15.58","19.00","20.65"
"48021","Busturia","2.32","1.73","1.72","0.57","0.57","12.69","13.92","33.88","66.39","70.21","71.77","78.07","58.01"
"01017","Campezo/Kanpezu","4.51","12.51","14.21","24.06","28.67","34.33","30.05","33.00","26.80","21.36","32.44","38.14","39.25"
"20029","Deba","11.77","11.80","12.00","15.89","4.82","4.09","4.11","3.95","0.00","0.00","0.00","0.19","4.06"
"48901","Derio","28.74","42.69","50.02","46.27","86.72","103.32","89.22","82.57","77.64","39.84","46.67","39.87","48.33"
"48026","Dima","2.87","2.92","0.74","0.00","0.00","0.80","40.10","59.02","108.79","119.28","137.24","99.44","92.37"
"20069","Donostia / San Sebastián","6.73","8.11","9.66","11.86","16.76","18.84","24.17","27.74","30.27","25.69","26.24","22.99","19.24"
"48027","Durango","25.90","31.80","29.19","29.68","27.35","23.80","19.69","20.55","27.20","36.67","46.31","48.41","56.45"
"48028","Ea","1.15","1.13","1.12","1.12","0.00","17.01","34.80","40.52","70.73","90.12","83.33","81.78","83.74"
"20030","Eibar","9.15","7.69","10.68","8.16","8.17","16.14","28.92","31.29","31.96","25.00","29.78","20.37","16.91"
"48031","Elantxobe","0.00","0.00","0.00","0.00","0.00","33.94","33.71","33.33","33.04","0.00","17.47","19.57","19.52"
"01021","Elburgo/Burgelu","6.45","8.12","6.67","3.44","12.48","50.75","90.37","123.98","137.42","143.49","108.80","112.22","85.16"
"01022","Elciego","4.78","4.78","7.66","14.41","19.34","16.82","29.32","71.50","77.98","78.89","83.16","93.05","47.26"
"20031","Elduain","0.00","0.00","0.00","0.00","4.27","4.35","13.27","13.57","13.82","9.35","9.30","18.96","19.42"
"20033","Elgeta","0.00","0.00","0.00","0.00","18.67","36.05","82.38","99.03","116.26","82.25","83.08","63.59","56.70"
"20032","Elgoibar","4.01","9.01","9.23","11.61","13.52","22.20","27.30","32.41","45.42","60.28","53.79","42.43","56.68"
"48032","Elorrio","0.69","0.55","0.14","15.62","21.54","38.35","42.72","42.88","27.83","23.14","8.40","4.05","5.43"
"01023","Elvillar/Bilar","0.00","0.00","0.00","2.75","5.52","22.22","69.44","75.00","104.40","106.56","140.92","111.41","115.07"
"48902","Erandio","12.79","14.22","14.14","5.78","4.18","14.36","14.64","21.98","26.73","30.12","33.37","41.17","47.82"
"48033","Ereño","11.81","7.84","7.75","7.75","7.75","11.67","23.26","54.26","58.37","54.26","54.47","47.06","11.72"
"48034","Ermua","5.25","5.24","5.23","10.21","11.14","10.88","26.36","38.88","39.33","42.70","48.68","33.29","21.10"
"20067","Errenteria","1.48","1.45","0.31","2.90","6.14","16.44","17.04","18.06","16.40","14.40","6.56","6.18","6.12"
"20066","Errezil","6.63","6.58","4.88","4.85","0.00","22.51","38.65","42.21","47.31","45.90","36.01","22.73","22.54"
"01046","Erriberagoitia/Ribera Alta","12.97","9.14","10.51","14.65","45.27","59.08","69.59","82.41","109.27","93.91","99.47","106.50","109.06"
