"Udalerri kodea","Udalerria","2012","2010","2008","2005","2000","1996"
"01016","Bernedo","85655.00","90096.00","76052.00","61708.00","41836.00","15432.00"
"48018","Berriatua","62547.00","65354.00","62362.00","57622.00","55460.00","31853.00"
"48019","Berriz","33230.00","30130.00","39383.00","38637.00","30184.00","20330.00"
"20023","Berrobi","21307.00","23478.00","29498.00","25385.00","17850.00","15907.00"
"20024","Bidania-Goiatz","18820.00","18181.00","24119.00","28773.00","19407.00","11835.00"
"48020","Bilbao","30889.00","30804.00","30572.00","26225.00","19941.00","15071.00"
"48021","Busturia","14139.00","14026.00","11409.00","11361.00","9712.00","6588.00"
"01017","Campezo/Kanpezu","26167.00","25390.00","24188.00","23158.00","19220.00","14010.00"
"20029","Deba","35544.00","33367.00","42388.00","33125.00","26518.00","19620.00"
"48901","Derio","109369.00","103216.00","96755.00","65311.00","32240.00","18953.00"
"48026","Dima","15648.00","17416.00","16542.00","20490.00","12548.00","9186.00"
"20069","Donostia / San Sebastián","34589.00","35081.00","32577.00","26854.00","20398.00","16778.00"
"48027","Durango","21861.00","23497.00","20617.00","17478.00","14673.00","11530.00"
"48028","Ea","20137.00","18276.00","17290.00","21336.00","11430.00","7506.00"
"20030","Eibar","23641.00","23815.00","23757.00","21360.00","16705.00","13563.00"
"48031","Elantxobe","11493.00","10924.00","12825.00","11726.00","9226.00","11409.00"
"01021","Elburgo/Burgelu","17715.00","18430.00","24298.00","25311.00","24642.00","29080.00"
"01022","Elciego","55103.00","55406.00","57736.00","75603.00","63335.00","30944.00"
"20031","Elduain","27928.00","25238.00","36907.00","25017.00","18964.00","20774.00"
"20033","Elgeta","45743.00","51037.00","60907.00","52918.00","42376.00","19973.00"
"20032","Elgoibar","40093.00","38953.00","40552.00","38678.00","28523.00","17199.00"
"48032","Elorrio","34961.00","37603.00","39657.00","35086.00","27709.00","15128.00"
"01023","Elvillar/Bilar","31142.00","30156.00","39182.00","54774.00","34041.00","23143.00"
"48902","Erandio","41400.00","40300.00","35871.00","31196.00","21732.00","13594.00"
"48033","Ereño","16536.00","17257.00","23254.00","22274.00","11394.00","7210.00"
"48034","Ermua","19215.00","19916.00","20572.00","20180.00","12878.00","9972.00"
"20067","Errenteria","17133.00","16651.00","18589.00","16084.00","11642.00","9161.00"
"20066","Errezil","31769.00","34209.00","26934.00","31549.00","20582.00","12400.00"
"01046","Erriberagoitia/Ribera Alta","17853.00","17811.00","17137.00","20469.00","18477.00","13982.00"
"48079","Errigoiti","12564.00","13238.00","16627.00","17678.00","15410.00","10062.00"
"20034","Eskoriatza","37098.00","42550.00","39944.00","36323.00","23216.00","19404.00"
"48029","Etxebarri","27282.00","37903.00","38471.00","35228.00","25837.00","23337.00"
"48030","Etxebarria","129118.00","121151.00","100534.00","88408.00","62165.00","29919.00"
"20035","Ezkio-Itsaso","72399.00","68501.00","99026.00","83018.00","53004.00","30631.00"
"48906","Forua","15786.00","16356.00","22607.00","26601.00","19184.00","13389.00"
"48035","Fruiz","11054.00","12719.00","25179.00","14106.00","11811.00","6501.00"
"20038","Gabiria","20640.00","23079.00","32716.00","35007.00","22968.00","16868.00"
"20037","Gaintza","15350.00","12063.00","16892.00","16395.00","12150.00","8872.00"
"48036","Galdakao","29305.00","33159.00","31008.00","26550.00","18226.00","15528.00"
"48037","Galdames","28163.00","25491.00","29079.00","25761.00","15470.00","9317.00"
"48038","Gamiz-Fika","13264.00","13732.00","15005.00","15969.00","12396.00","8839.00"
"48039","Garai","10524.00","10690.00","11587.00","10062.00","11693.00","7178.00"
"48040","Gatika","24217.00","27013.00","34597.00","29564.00","21448.00","13849.00"
"48041","Gautegiz Arteaga","13848.00","14086.00","12316.00","11062.00","9185.00","7846.00"
"20907","Gaztelu","13178.00","8757.00","10586.00","8887.00","11063.00","6107.00"
"48046","Gernika-Lumo","22209.00","22691.00","25261.00","20770.00","16652.00","11591.00"
"20039","Getaria","34242.00","34067.00","28296.00","27025.00","21549.00","16769.00"
"48044","Getxo","19275.00","19234.00","16260.00","14125.00","11603.00","9146.00"
"48047","Gizaburuaga","73162.00","101990.00","85548.00","103175.00","67229.00","31554.00"
"48042","Gordexola","17503.00","16390.00","17907.00","15927.00","11390.00","9409.00"
"48043","Gorliz","21411.00","19820.00","18028.00","13755.00","12378.00","11911.00"
"48045","Güeñes","23432.00","22485.00","25385.00","29314.00","15655.00","11688.00"
"01056","Harana/Valle de Arana","16783.00","17930.00","15383.00","13960.00","13770.00","9579.00"
"20040","Hernani","35672.00","36905.00","38732.00","31777.00","22434.00","17573.00"
"20041","Hernialde","10767.00","9342.00","9496.00","8227.00","9891.00","6054.00"
"20036","Hondarribia","22776.00","21943.00","18741.00","15547.00","14573.00","9711.00"
"20042","Ibarra","24522.00","20670.00","22411.00","9373.00","9918.00","6177.00"
"48048","Ibarrangelu","16485.00","14610.00","13971.00","10808.00","11457.00","8742.00"
"20043","Idiazabal","47627.00","55345.00","74646.00","53317.00","30846.00","20499.00"
"48094","Igorre","48410.00","56931.00","60704.00","56489.00","41910.00","26977.00"
"20044","Ikaztegieta","60498.00","47455.00","39049.00","35280.00","34373.00","25918.00"
"20045","Irun","27367.00","26380.00","26291.00","23121.00","18401.00","12548.00"
"20046","Irura","68784.00","68051.00","79580.00","64547.00","59129.00","40038.00"
"01027","Iruraiz-Gauna","14683.00","13950.00","13918.00","13874.00","13968.00","11221.00"
"01901","Iruña Oka/Iruña de Oca","43459.00","42993.00","50853.00","56306.00","60964.00","50168.00"
"48049","Ispaster","21368.00","18679.00","26260.00","22841.00","15577.00","10924.00"
"20047","Itsasondo","37820.00","41170.00","48846.00","47868.00","44026.00","20739.00"
"48910","Iurreta","74728.00","61844.00","94149.00","76746.00","50142.00","29309.00"
"48050","Izurtza","128734.00","138062.00","151681.00","146616.00","117522.00","50397.00"
"48022","Karrantza Harana/Valle de Carranza","20835.00","27406.00","29971.00","23033.00","14366.00","11824.00"
"48907","Kortezubi","17891.00","16000.00","13935.00","11638.00","10808.00","9036.00"
"01019","Kripan","13924.00","13518.00","21308.00","18311.00","22049.00","8973.00"
"01020","Kuartango","17837.00","17403.00","17682.00","15615.00","14710.00","10003.00"
"01028","Labastida/Bastida","38407.00","39163.00","43947.00","34042.00","30057.00","21502.00"
"01030","Lagrán","21183.00","23486.00","14278.00","12402.00","13872.00","13974.00"
"01031","Laguardia","108612.00","103705.00","111055.00","88078.00","72494.00","34645.00"
"01032","Lanciego/Lantziego","43633.00","42655.00","44358.00","37360.00","29700.00","20643.00"
"48051","Lanestosa","16455.00","35065.00","12110.00","9615.00","9165.00","7595.00"
"01902","Lantarón","76139.00","71693.00","86917.00","73649.00","50706.00","50700.00"
"01033","Lapuebla de Labarca","39230.00","38053.00","40058.00","41999.00","21208.00","14077.00"
"48052","Larrabetzu","32516.00","25505.00","32327.00","34485.00","17677.00","9617.00"
"20048","Larraul","11929.00","10472.00","9962.00","20691.00","14061.00","11189.00"
"20902","Lasarte-Oria","22633.00","24434.00","17733.00","14725.00","12642.00","9649.00"
"01036","Laudio/Llodio","30391.00","28039.00","33141.00","26464.00","19715.00","14322.00"
"48053","Laukiz","15303.00","17636.00","16177.00","11465.00","9969.00","8893.00"
"20049","Lazkao","23856.00","20022.00","23924.00","19619.00","16053.00","9124.00"
