"Udalerri kodea","Udalerria","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","20.38","20.38","19.83","19.45","19.61","19.54"
"20001","Abaltzisketa","12.46","12.27","12.66","12.62","13.16","13.56"
"48002","Abanto y Ciérvana-Abanto Zierbena","4.53","4.52","4.56","5.10","5.10","5.10"
"20002","Aduna","8.85","9.32","9.98","10.64","10.81","10.87"
"20016","Aia","371.13","365.22","367.72","384.03","389.28","399.32"
"20003","Aizarnazabal","76.40","81.92","86.70","79.63","81.50","84.69"
"48911","Ajangiz","41.48","42.22","42.70","42.70","42.99","43.08"
"20004","Albiztur","35.26","34.92","35.26","35.03","36.42","37.54"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","8.56","8.84","9.16","9.73","10.41","10.96"
"20006","Alkiza","44.82","45.33","33.61","46.11","49.69","50.00"
"48912","Alonsotegi","4.26","4.24","4.23","4.24","4.28","4.31"
"20906","Altzaga","50.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00"
"20008","Amezketa","12.37","12.07","12.12","12.21","12.58","12.32"
"48003","Amorebieta-Etxano","7.44","7.51","7.57","7.21","7.30","7.42"
"48004","Amoroto","24.21","24.15","24.51","24.75","24.45","25.25"
"01002","Amurrio","6.09","6.07","6.05","4.59","4.66","4.78"
"20009","Andoain","0.82","0.82","0.82","0.83","0.84","0.85"
"20010","Anoeta","3.82","3.78","0.00","0.00","0.00","0.00"
"20011","Antzuola","5.49","5.55","5.54","5.59","5.66","5.79"
"48005","Arakaldo","257.81","294.64","347.37","354.84","340.21","351.06"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","18.72","18.70","18.68","18.80","18.75","18.79"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","104.33","107.71","0.00","0.00","0.00","0.00"
"20013","Aretxabaleta","1.78","1.79","1.79","1.81","1.83","1.86"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","65.10","66.38","53.52","53.75","52.92","52.20"
"48009","Arrankudiaga","9.65","9.78","9.90","10.17","10.61","10.92"
"20055","Arrasate/Mondragón","6.78","5.72","5.71","5.73","5.70","5.65"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","0.00","0.00","0.00","0.00","0.00","0.00"
"48010","Arrieta","0.00","0.00","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","14.15","14.32","14.23","14.28","14.34","14.45"
"48023","Artea","43.42","44.74","45.27","46.77","49.93","50.37"
"48008","Artzentales","70.08","57.61","58.99","59.15","61.22","61.05"
"01004","Artziniega","7.60","7.70","7.70","7.94","8.23","8.58"
"01009","Asparrena","29.69","22.62","23.11","17.55","11.41","11.37"
"20014","Asteasu","12.07","12.22","12.18","20.16","20.60","21.07"
"20903","Astigarraga","9.96","10.19","9.41","9.73","10.03","10.37"
"20015","Ataun","4.79","4.79","4.79","4.84","5.00","5.08"
"48091","Atxondo","32.19","32.10","31.64","31.59","31.79","31.92"
"48070","Aulesti","0.00","0.00","0.00","0.00","0.00","0.00"
"01010","Ayala/Aiara","44.79","37.14","31.85","21.77","22.39","22.48"
"20017","Azkoitia","3.77","4.32","3.55","3.61","1.67","0.56"
"20018","Azpeitia","10.73","10.77","10.71","10.88","10.96","11.06"
"01049","Añana","47.62","45.71","45.45","45.45","44.20","43.96"
"48012","Bakio","31.86","40.49","38.05","43.84","45.23","46.83"
"20904","Baliarrain","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","7.38","9.64","9.77","9.90","9.99","10.04"
"48013","Barakaldo","9.04","9.15","9.23","8.61","8.69","8.76"
"48014","Barrika","15.83","16.14","16.56","16.94","17.08","17.45"
"01013","Barrundia","37.53","37.36","25.14","26.16","26.89","27.67"
"48015","Basauri","1.38","1.37","1.36","1.35","1.34","1.33"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00","0.00","0.00","0.00"
"20019","Beasain","10.21","7.53","7.60","7.40","7.73","7.89"
"48092","Bedia","8.25","0.00","0.00","0.00","0.00","0.00"
"20020","Beizama","0.00","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00","0.00","0.00","0.00"
"48016","Berango","0.00","0.00","0.00","0.00","0.00","0.00"
"01014","Berantevilla","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","18.85","19.03","9.68","9.70","9.97","9.97"
"20074","Bergara","7.55","7.52","7.48","7.32","7.29","7.27"
"48017","Bermeo","8.26","8.52","5.43","5.08","5.11","5.09"
"01016","Bernedo","107.96","106.09","99.13","96.94","98.11","100.18"
"48018","Berriatua","26.25","25.70","16.04","24.18","25.16","26.34"
"48019","Berriz","2.87","2.87","2.86","2.90","2.94","2.99"
"20023","Berrobi","0.00","0.00","0.00","0.00","0.00","0.00"
"20024","Bidania-Goiatz","90.06","90.40","23.53","24.39","24.84","25.86"
"48020","Bilbao","19.23","18.82","17.96","18.09","17.40","16.87"
"48021","Busturia","37.73","38.02","25.77","26.22","26.00","26.24"
"01017","Campezo/Kanpezu","22.26","22.20","22.36","22.56","22.60","23.26"
"20029","Deba","105.35","104.57","105.03","104.37","105.09","106.15"
"48901","Derio","81.35","42.26","44.28","42.07","42.57","43.27"
"48026","Dima","22.12","22.85","22.99","23.70","24.21","15.58"
"20069","Donostia / San Sebastián","30.89","29.89","27.63","28.23","28.23","28.20"
"48027","Durango","7.65","7.64","7.65","7.75","7.86","7.99"
"48028","Ea","39.06","39.02","38.67","39.24","40.23","41.47"
"20030","Eibar","6.39","6.39","6.38","6.36","6.39","6.36"
"48031","Elantxobe","96.93","93.39","92.97","95.89","69.35","69.82"
"01021","Elburgo/Burgelu","192.62","203.74","232.90","239.54","240.46","262.50"
"01022","Elciego","124.40","123.69","124.28","119.02","121.88","43.99"
"20031","Elduain","0.00","0.00","0.00","0.00","0.00","0.00"
"20033","Elgeta","32.55","33.36","33.68","34.29","34.25","35.26"
"20032","Elgoibar","3.52","3.53","3.57","3.62","0.00","0.00"
"48032","Elorrio","12.83","12.82","12.87","12.98","13.12","13.07"
"01023","Elvillar/Bilar","0.00","0.00","0.00","0.00","0.00","0.00"
"48902","Erandio","1.24","1.23","1.24","1.25","1.25","1.27"
"48033","Ereño","45.63","46.51","46.51","47.43","46.15","46.69"
"48034","Ermua","5.28","5.31","5.29","4.05","4.06","4.04"
"20067","Errenteria","1.81","1.82","0.67","0.36","0.37","0.37"
"20066","Errezil","70.84","69.81","68.47","68.91","67.93","50.74"
"01046","Erriberagoitia/Ribera Alta","659.41","102.67","78.30","76.60","79.06","56.48"
"48079","Errigoiti","62.84","66.16","68.23","67.57","68.49","69.86"
"20034","Eskoriatza","46.01","48.83","48.73","48.64","50.03","9.68"
"48029","Etxebarri","0.00","0.00","0.00","0.00","0.00","0.00"
"48030","Etxebarria","39.60","38.98","38.51","38.46","38.88","33.25"
"20035","Ezkio-Itsaso","36.12","36.18","37.35","38.06","38.60","40.07"
"48906","Forua","0.00","0.00","0.00","0.00","0.00","0.00"
"48035","Fruiz","0.00","0.00","0.00","0.00","0.00","0.00"
"20038","Gabiria","0.00","0.00","0.00","0.00","0.00","0.00"
"20037","Gaintza","0.00","0.00","0.00","0.00","0.00","0.00"
"48036","Galdakao","1.65","1.64","0.99","0.99","0.99","0.99"
"48037","Galdames","0.00","0.00","0.00","0.00","0.00","0.00"
"48038","Gamiz-Fika","28.55","28.64","28.83","29.62","29.62","29.48"
