"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"48016","Berango","21.95","21.95","21.95","22.06","22.19","16.74","16.93","16.93","17.01","17.01"
"01014","Berantevilla","4.88","4.88","2.40","2.37","2.40","2.41","2.41","2.41","2.43","2.43"
"20022","Berastegi","0.96","0.96","0.97","0.96","0.88","0.88","0.88","1.16","1.16","1.16"
"20074","Bergara","6.14","6.14","6.14","5.67","5.71","5.69","5.60","5.38","5.08","4.67"
"48017","Bermeo","7.61","7.62","5.33","5.26","5.37","5.28","5.45","5.45","5.44","5.42"
"01016","Bernedo","6.29","6.29","6.29","6.28","6.28","6.30","6.30","6.30","6.30","6.30"
"48018","Berriatua","3.40","3.40","3.40","3.51","4.13","3.91","4.39","4.39","4.31","4.20"
"48019","Berriz","4.62","4.79","4.79","4.86","4.92","4.86","4.86","4.75","4.82","4.74"
"20023","Berrobi","4.09","4.32","4.43","4.36","3.99","4.21","4.37","4.37","4.37","5.93"
"20024","Bidania-Goiatz","1.54","1.65","1.65","1.65","1.44","1.46","1.51","1.60","1.60","1.60"
"48020","Bilbao","47.77","47.79","47.80","47.46","50.26","49.34","49.08","48.21","47.58","47.63"
"48021","Busturia","4.47","4.47","4.47","4.48","4.31","4.34","4.30","4.29","4.25","4.25"
"01017","Campezo/Kanpezu","1.74","1.74","1.74","1.74","1.62","1.63","1.63","1.63","1.63","1.63"
"20029","Deba","3.56","3.56","3.56","3.54","3.56","3.55","3.44","3.44","3.49","3.76"
"48901","Derio","56.91","56.90","56.90","55.36","56.46","77.36","77.53","75.59","75.52","76.18"
"48026","Dima","1.35","1.35","1.35","1.37","1.38","1.39","1.39","1.16","1.17","0.56"
"20069","Donostia / San Sebastián","38.83","38.83","38.85","38.85","38.77","38.82","34.00","34.00","32.79","32.56"
"48027","Durango","28.68","28.68","28.68","28.48","31.62","31.05","31.60","31.60","32.29","32.29"
"48028","Ea","2.35","1.62","1.62","1.61","0.94","0.92","0.92","0.92","0.92","0.92"
"20030","Eibar","10.40","10.68","10.68","10.67","11.58","11.74","13.00","13.00","11.35","7.95"
"48031","Elantxobe","7.25","7.25","7.25","7.10","7.10","6.84","6.84","3.79","3.89","3.84"
"01021","Elburgo/Burgelu","3.65","3.65","3.65","3.64","3.57","3.54","3.37","3.39","3.50","3.51"
"01022","Elciego","5.42","5.42","5.42","5.49","4.34","4.32","4.32","4.01","4.01","4.01"
"20031","Elduain","0.90","0.90","0.90","0.93","0.93","0.95","0.95","1.02","1.02","1.03"
"20033","Elgeta","2.74","2.74","2.74","2.81","2.88","2.96","3.51","3.51","3.51","3.51"
"20032","Elgoibar","5.92","5.92","5.92","5.71","5.75","5.71","6.03","6.03","6.17","6.18"
"48032","Elorrio","7.76","7.76","7.76","6.12","6.12","5.11","5.11","5.10","5.10","5.10"
"01023","Elvillar/Bilar","2.03","2.03","2.03","2.03","2.03","1.75","1.75","1.75","1.75","1.75"
"48902","Erandio","26.34","25.91","25.22","25.85","24.19","25.34","26.36","26.46","26.19","26.08"
"48033","Ereño","1.54","1.54","1.54","1.51","1.66","1.65","1.65","1.65","1.71","1.67"
"48034","Ermua","21.36","17.62","17.62","17.58","18.16","19.37","18.05","18.05","17.87","17.85"
"20067","Errenteria","14.26","14.72","14.72","14.33","12.34","12.22","13.05","12.95","12.90","12.45"
"20066","Errezil","0.66","0.66","0.66","0.65","0.66","0.66","0.77","0.77","0.76","0.76"
"01046","Erriberagoitia/Ribera Alta","1.78","1.78","1.78","1.78","1.72","1.72","1.72","1.72","1.72","1.73"
"48079","Errigoiti","1.85","1.85","1.85","1.82","2.05","1.91","1.92","2.21","1.73","1.73"
"20034","Eskoriatza","2.81","2.81","2.80","2.77","2.14","2.14","2.25","2.25","2.25","2.29"
"48029","Etxebarri","42.46","41.92","41.86","40.89","50.15","51.36","51.36","51.36","51.33","51.33"
"48030","Etxebarria","3.37","3.37","3.37","3.38","3.29","3.31","3.26","3.26","3.25","3.25"
"20035","Ezkio-Itsaso","3.36","3.36","3.36","3.35","3.08","3.08","3.08","3.08","3.14","3.17"
"48906","Forua","2.56","2.56","2.56","2.50","1.89","1.82","1.79","1.79","1.80","1.80"
"48035","Fruiz","4.96","5.01","5.01","5.13","4.55","4.49","4.57","4.57","4.62","4.62"
"20038","Gabiria","2.49","2.49","2.49","2.44","2.44","2.42","2.66","2.66","2.34","2.35"
"20037","Gaintza","0.68","0.68","0.68","0.68","0.68","0.67","1.43","1.43","1.43","1.43"
"48036","Galdakao","19.98","19.99","19.99","21.85","18.97","18.73","18.73","18.73","18.38","18.38"
"48037","Galdames","1.65","1.65","1.65","1.62","1.47","1.47","1.47","1.47","1.44","1.44"
"48038","Gamiz-Fika","5.26","5.24","5.24","5.29","5.55","5.45","5.46","4.15","4.22","2.70"
"48039","Garai","2.46","2.46","2.46","2.54","2.41","2.42","2.42","2.42","2.56","2.56"
"48040","Gatika","2.48","2.48","2.48","2.48","2.66","2.64","2.67","2.67","2.66","3.21"
"48041","Gautegiz Arteaga","6.63","6.63","6.63","6.48","6.48","6.50","6.50","6.50","6.76","6.76"
"20907","Gaztelu","0.44","0.44","0.44","0.45","0.54","0.54","0.56","0.99","0.98","0.98"
"48046","Gernika-Lumo","22.99","22.99","22.99","22.79","24.95","25.04","25.06","24.96","25.02","25.02"
"20039","Getaria","5.95","5.95","6.01","5.07","6.87","7.07","8.13","8.13","8.07","5.51"
"48044","Getxo","65.20","65.20","65.08","65.82","72.20","71.73","72.46","72.71","72.34","72.34"
"48047","Gizaburuaga","2.92","2.92","2.92","2.96","4.53","4.38","4.38","4.38","4.32","4.19"
"48042","Gordexola","1.79","1.96","1.86","1.86","1.84","1.87","1.87","1.90","1.85","1.76"
"48043","Gorliz","17.61","17.61","17.61","23.38","17.19","16.91","16.91","16.91","16.82","16.75"
"48045","Güeñes","6.87","6.87","6.88","6.82","6.48","6.52","6.32","6.32","6.29","6.63"
"01056","Harana/Valle de Arana","1.12","1.12","1.12","1.10","0.95","0.95","0.95","0.95","0.95","0.95"
"20040","Hernani","10.08","10.08","10.07","9.40","9.32","10.45","10.30","10.39","10.29","7.87"
"20041","Hernialde","1.75","1.47","1.47","1.41","1.46","1.45","1.45","1.90","1.93","1.93"
"20036","Hondarribia","17.86","17.88","18.35","18.05","17.94","21.24","21.84","21.83","21.63","21.63"
"20042","Ibarra","11.62","11.58","11.77","11.87","11.48","11.78","11.78","11.92","11.80","11.84"
"48048","Ibarrangelu","2.72","2.72","2.72","2.63","2.73","2.49","2.49","2.49","2.52","2.52"
"20043","Idiazabal","3.42","3.42","3.42","3.46","3.50","3.48","3.60","3.60","3.09","3.09"
"48094","Igorre","9.37","9.37","9.44","9.47","9.43","9.30","9.30","9.30","9.29","8.74"
"20044","Ikaztegieta","10.88","10.88","10.88","11.04","11.78","11.90","10.45","11.30","11.50","11.50"
"20045","Irun","22.95","21.92","21.92","21.78","20.88","20.61","21.53","21.27","21.09","20.88"
"20046","Irura","15.69","15.69","15.69","15.76","15.76","19.27","19.27","19.27","15.93","15.93"
"01027","Iruraiz-Gauna","2.88","2.88","2.88","2.86","2.69","2.68","2.67","2.67","2.64","2.64"
"01901","Iruña Oka/Iruña de Oca","9.24","9.23","9.23","9.51","9.64","9.60","9.60","9.60","9.19","9.19"
