"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,NA,"1.54","1.65","1.63",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,NA,"0.4","1.42","1.39",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,NA,"4.27","2.5","2.44",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Aia",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,NA,"8","3.92","3.57",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,NA,"15.79","5.56","5.26",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,NA,"0","2.94","2.63",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,NA,"0","1.69","1.57",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,NA,"1.99","2.36","2.28",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Altzaga",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Altzo",NA,NA,NA,NA,NA,NA,NA,NA,"7.5","7.69","7.89",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Amezketa",NA,NA,NA,NA,NA,NA,NA,NA,"1.28","1.23","1.19",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,NA,NA,"0.76","0.83","0.92",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
"Amoroto",NA,NA,NA,NA,NA,NA,NA,NA,"5.88","5.26","5.26",NA,NA,NA,NA,NA,NA,NA,NA,"Establecimientos con acreditación medioambiental (%)"
