"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,"107.63",NA,NA,NA,NA,"112.98",NA,NA,"109.25",NA,"112.57",NA,"111.53",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Abaltzisketa",NA,NA,"67.28",NA,NA,NA,NA,"71.62",NA,NA,"61.77",NA,"46.31",NA,"49.68",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,"79.54",NA,NA,NA,NA,"80.5",NA,NA,"81.06",NA,"79.64",NA,"79.35",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aduna",NA,NA,"85.79",NA,NA,NA,NA,"88.54",NA,NA,"100",NA,"88.78",NA,"90.63",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aia",NA,NA,"81.81",NA,NA,NA,NA,"98.83",NA,NA,"87.9",NA,"83.19",NA,"80.41",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aizarnazabal",NA,NA,"105.29",NA,NA,NA,NA,"122.89",NA,NA,"111.07",NA,"112.04",NA,"108.3",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Ajangiz",NA,NA,"89.46",NA,NA,NA,NA,"77.78",NA,NA,"80.24",NA,"116.47",NA,"100.56",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Albiztur",NA,NA,"102.57",NA,NA,NA,NA,"104.22",NA,NA,"99.08",NA,"106.07",NA,"108.96",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Alegia",NA,NA,"117.84",NA,NA,NA,NA,"105.78",NA,NA,"113.69",NA,"101.98",NA,"103.82",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Alegría-Dulantzi",NA,NA,"116.74",NA,NA,NA,NA,"120.37",NA,NA,"117.16",NA,"97.43",NA,"100.43",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Alkiza",NA,NA,"88.84",NA,NA,NA,NA,"78.94",NA,NA,"61.01",NA,"65.4",NA,"72.48",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Alonsotegi",NA,NA,"101.67",NA,NA,NA,NA,"105",NA,NA,"93.46",NA,"72.53",NA,"125.62",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Altzaga",NA,NA,"114.01",NA,NA,NA,NA,"58.94",NA,NA,"65.56",NA,"58.79",NA,"60.89",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Altzo",NA,NA,"137.96",NA,NA,NA,NA,"167.16",NA,NA,"134.1",NA,"152.66",NA,"152.06",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Amezketa",NA,NA,"96.91",NA,NA,NA,NA,"90.61",NA,NA,"106.74",NA,"112.94",NA,"116.58",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Amorebieta-Etxano",NA,NA,"120.12",NA,NA,NA,NA,"116.32",NA,NA,"117.27",NA,"115.51",NA,"103.1",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Amoroto",NA,NA,"98.07",NA,NA,NA,NA,"125.78",NA,NA,"111.19",NA,"121.25",NA,"102.15",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Amurrio",NA,NA,"107.1",NA,NA,NA,NA,"139.4",NA,NA,"153.63",NA,"105.06",NA,"115.06",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Andoain",NA,NA,"103.41",NA,NA,NA,NA,"100.25",NA,NA,"96.14",NA,"112.62",NA,"111.86",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Anoeta",NA,NA,"143.26",NA,NA,NA,NA,"111.81",NA,NA,"94.77",NA,"90.18",NA,"111.85",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Antzuola",NA,NA,"111.81",NA,NA,NA,NA,"111.43",NA,NA,"103.38",NA,"108.79",NA,"114.62",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arakaldo",NA,NA,"76.06",NA,NA,NA,NA,"80.07",NA,NA,"80.23",NA,"74.31",NA,"69.57",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arama",NA,NA,"126.81",NA,NA,NA,NA,"95.73",NA,NA,"85.45",NA,"88.91",NA,"87.75",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aramaio",NA,NA,"92.47",NA,NA,NA,NA,"79.23",NA,NA,"78.81",NA,"60.33",NA,"78.41",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arantzazu",NA,NA,"125.49",NA,NA,NA,NA,"137.61",NA,NA,"168.09",NA,"91.11",NA,"89.3",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Areatza",NA,NA,"113.24",NA,NA,NA,NA,"104.47",NA,NA,"172.39",NA,"97.33",NA,"93.48",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aretxabaleta",NA,NA,"94.66",NA,NA,NA,NA,"93.8",NA,NA,"105.31",NA,"98.38",NA,"103.83",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Armiñón",NA,NA,"93.86",NA,NA,NA,NA,"131.74",NA,NA,"94.08",NA,"119.27",NA,"124.44",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arraia-Maeztu",NA,NA,"94.9",NA,NA,NA,NA,"99.15",NA,NA,"104.49",NA,"119.2",NA,"100.95",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arrankudiaga",NA,NA,"86.46",NA,NA,NA,NA,"101.35",NA,NA,"109.8",NA,"97.55",NA,"90.41",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arrasate/Mondragón",NA,NA,"86.15",NA,NA,NA,NA,"97.26",NA,NA,"97.21",NA,"106.51",NA,"105.34",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arratzu",NA,NA,"57.6",NA,NA,NA,NA,"94.82",NA,NA,"76.35",NA,"115.96",NA,"70.16",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arratzua-Ubarrundia",NA,NA,"138.4",NA,NA,NA,NA,"114.77",NA,NA,"128.68",NA,"75.28",NA,"89.49",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arrieta",NA,NA,"63.12",NA,NA,NA,NA,"65.22",NA,NA,"83.06",NA,"94.04",NA,"76.71",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Arrigorriaga",NA,NA,"105.96",NA,NA,NA,NA,"98.22",NA,NA,"99.67",NA,"93.65",NA,"90.36",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Artea",NA,NA,"103.01",NA,NA,NA,NA,"75.32",NA,NA,"70.18",NA,"75.56",NA,"88.02",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Artzentales",NA,NA,"84.97",NA,NA,NA,NA,"75.56",NA,NA,"63.76",NA,"69.19",NA,"62.37",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Artziniega",NA,NA,"104.47",NA,NA,NA,NA,"124.69",NA,NA,"123.45",NA,"83.77",NA,"93.64",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Asparrena",NA,NA,"110.92",NA,NA,NA,NA,"174.58",NA,NA,"153.37",NA,"130.79",NA,"114.97",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Asteasu",NA,NA,"97",NA,NA,NA,NA,"103.74",NA,NA,"120.41",NA,"105.21",NA,"100.65",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Astigarraga",NA,NA,"83.23",NA,NA,NA,NA,"81.74",NA,NA,"79.47",NA,"85.63",NA,"79.3",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Ataun",NA,NA,"121.76",NA,NA,NA,NA,"103.85",NA,NA,"102.25",NA,"86.63",NA,"73.04",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Atxondo",NA,NA,"94.54",NA,NA,NA,NA,"129.25",NA,NA,"120.61",NA,"119.1",NA,"126.25",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Aulesti",NA,NA,"89.44",NA,NA,NA,NA,"116",NA,NA,"109.29",NA,"98.58",NA,"108.44",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Ayala/Aiara",NA,NA,"79.96",NA,NA,NA,NA,"69.42",NA,NA,"72.12",NA,"61.65",NA,"71.96",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Azkoitia",NA,NA,"106.37",NA,NA,NA,NA,"104.43",NA,NA,"106.53",NA,"92.07",NA,"91.86",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Azpeitia",NA,NA,"105.38",NA,NA,NA,NA,"112.11",NA,NA,"110.7",NA,"88.37",NA,"85.29",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Añana",NA,NA,"119.96",NA,NA,NA,NA,"118.77",NA,NA,"102.06",NA,"159.47",NA,"144.73",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Bakio",NA,NA,"148.65",NA,NA,NA,NA,"145.68",NA,NA,"186.28",NA,"162.86",NA,"118.21",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Baliarrain",NA,NA,"57.11",NA,NA,NA,NA,"59.27",NA,NA,"97.69",NA,"59.21",NA,"57.47",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Balmaseda",NA,NA,"120.42",NA,NA,NA,NA,"98.95",NA,NA,"113.41",NA,"91.78",NA,"87.07",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Barakaldo",NA,NA,"103.23",NA,NA,NA,NA,"113.41",NA,NA,"108.25",NA,"98.06",NA,"103.25",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Barrika",NA,NA,"105.07",NA,NA,NA,NA,"104.47",NA,NA,"78.96",NA,"78.16",NA,"81.54",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Barrundia",NA,NA,"123.75",NA,NA,NA,NA,"95.65",NA,NA,"83.35",NA,"83.61",NA,"82.7",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
"Basauri",NA,NA,"101.2",NA,NA,NA,NA,"103.73",NA,NA,"107.88",NA,"99.44",NA,"98.61",NA,NA,NA,NA,"PIB municipal por persona ocupada (Base CAE=100)"
