"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,"0.35","0.35","0.58","0.58","0.58",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,"1.04","1.04","1.03","1.03","1.03",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,"0.14","0.14","0.24","0.24","0.24",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,"1.07","0.86","0.76","0.69","0.69",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Aia",NA,NA,NA,NA,NA,NA,NA,"0.12","0.12","0.25","1.46","0.67",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,"1.22","1.22","1.22","0.41","0.41",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,"0.64","0.12","0.12","0.12","0.12",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,"0","0","1.07","1.07","1.07",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,"0.61","0.61","0.61","0.61",NA,NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,"0.3","0.29","0.29","0.23","0.31",NA,NA,NA,NA,NA,NA,NA,"Hidrantes contra incendios instalados en suelo urbano (hidrantes/ha.)"
