"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Arratzu",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,"2.65","2.5","2.4","2.3","2.24","2.24","2.17","2.15","3.1","4.14","4.05","3.01","4.05",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Arrieta",NA,NA,NA,NA,NA,"1.96","1.92","1.87","1.83","1.81","1.81","1.81","1.82","1.83","1.83","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Arrigorriaga",NA,NA,NA,NA,NA,"3.68","3.75","4.1","3.74","4.45","4.61","4.58","4.58","4.07","3.75","3.64","3.72","3.74",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Artea",NA,NA,NA,NA,NA,"1.5","1.48","1.48","1.47","2.84","2.84","2.66","2.59","2.55","2.55","2.6","3.89","3.96",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Artzentales",NA,NA,NA,NA,NA,"3.02","2.99","2.93","2.91","2.87","2.87","2.81","2.72","0","0","1.38","1.38","1.36",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Artziniega",NA,NA,NA,NA,NA,"6.36","6.78","5.75","4.8","5.77","6.35","6.05","5.46","4.32","3.78","2.74","2.74","3.81",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Asparrena",NA,NA,NA,NA,NA,"0.63","1.25","1.88","1.9","1.89","1.89","1.22","1.19","1.77","1.18","2.41","3.03","3.05",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Asteasu",NA,NA,NA,NA,NA,"2.25","2.92","2.84","2.08","3.4","4.08","4.06","2.02","2.66","2.66","2.64","2.62","1.98",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Astigarraga",NA,NA,NA,NA,NA,"8.68","8.96","8.1","8.11","9.21","10.33","10.26","10.29","9.57","10.39","8.49","8.55","8.47",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ataun",NA,NA,NA,NA,NA,"1.32","1.31","1.29","0.63","0.61","0.61","0.6","1.2","1.19","1.79","2.37","1.78","1.78",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Atxondo",NA,NA,NA,NA,NA,"2.09","2.1","2.09","1.39","1.38","1.38","1.38","1.4","1.41","1.41","1.44","1.44","1.45",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Aulesti",NA,NA,NA,NA,NA,"1.52","1.51","1.49","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ayala/Aiara",NA,NA,NA,NA,NA,"0.86","1.21","1.16","1.14","1.12","1.12","1.09","1.05","0.69","0.69","1.02","0.68","1.02",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Azkoitia",NA,NA,NA,NA,NA,"7.46","8.35","7.95","8.12","8.23","8.41","8.17","7.73","7.25","7.42","6.8","6.25","6.48",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Azpeitia",NA,NA,NA,NA,NA,"11.33","12.54","11.65","12.58","13.33","13.75","13.36","12.7","12.27","12.27","11.76","11.48","11.45",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Añana",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Bakio",NA,NA,NA,NA,NA,"2.13","2.53","2.42","3.25","3.6","3.6","3.46","3.19","2.33","1.55","2.29","1.92","1.93",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Baliarrain",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Balmaseda",NA,NA,NA,NA,NA,"7.49","7.88","7.77","9.17","8.96","9.24","9.22","9.1","8.88","9.14","8.56","8.7","9.19",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
