"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,"0","0","37.73","44.92","44.92","44.92","44.92","44.92","44.12","3.95","4.03","4.03",NA,"Superficie residencial urbanizable (%)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","35.14","35.14",NA,"Superficie residencial urbanizable (%)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,"25.87","22.51","22.51","22.51","22.51","22.51","19.59","27.55","27.55","23.26","22.97","22.97",NA,"Superficie residencial urbanizable (%)"
"Aduna",NA,NA,NA,NA,NA,NA,"22.41","22.41","19.7","19.7","25.68","25.68","25.68","25.68","25.68","29.69","30.16","30.16",NA,"Superficie residencial urbanizable (%)"
"Aia",NA,NA,NA,NA,NA,NA,"46.58","46.58","46.58","46.58","42.36","24.86","24.86","24.86","24.86","11.88","11.78","11.78",NA,"Superficie residencial urbanizable (%)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,"17.39","17.39","17.39","17.39","17.39","17.39","17.39","17.39","17.39","12.99","12.5","12.5",NA,"Superficie residencial urbanizable (%)"
"Ajangiz",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Albiztur",NA,NA,NA,NA,NA,NA,"0","17.95","17.95","17.95","17.95","17.95","17.95","17.95","17.95","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Alegia",NA,NA,NA,NA,NA,NA,"16.13","20.41","20.41","20.41","20.41","20.41","20.41","20.41","22.47","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,"15.24","15.24","15.24","15.24","49.69","49.69","49.69","49.69","49.69","52.68","51.88","51.88",NA,"Superficie residencial urbanizable (%)"
"Alkiza",NA,NA,NA,NA,NA,NA,"15.22","15.22","13.04","15.22","13.04","13.04","13.04","15.22","15.22","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,"17.33","17.33","17.35","17.35","13.16","13.33","13.33","13.33","13.33","6.25","6.2","6.2",NA,"Superficie residencial urbanizable (%)"
"Altzaga",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Altzo",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","27.78","27.78","26.42","26.42",NA,"Superficie residencial urbanizable (%)"
"Amezketa",NA,NA,NA,NA,NA,NA,"0","0","0","12.36","12.43","12.43","12.43","12.43","12.43","13.66","14.02","14.02",NA,"Superficie residencial urbanizable (%)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,"41.93","36.75","26.2","25.99","24.95","24.94","24.94","24.94","24.87","9.27","9.42","9.46",NA,"Superficie residencial urbanizable (%)"
"Amoroto",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Amurrio",NA,NA,NA,NA,NA,NA,"31.52","31.52","31.49","31.68","31.68","31.68","31.68","31.68","32.15","27.38","24.23","24.24",NA,"Superficie residencial urbanizable (%)"
"Andoain",NA,NA,NA,NA,NA,NA,"25.89","25.89","25.89","25.89","25.89","25.89","25.89","25.89","22.02","22.02","22.03","22.03",NA,"Superficie residencial urbanizable (%)"
"Anoeta",NA,NA,NA,NA,NA,NA,"13.42","13.42","13.42","13.42","13.42","13.42","13.42","13.42","23.53","28.78","30.22","30.22",NA,"Superficie residencial urbanizable (%)"
"Antzuola",NA,NA,NA,NA,NA,NA,"14.13","14.13","15.14","15.14","15.3","15.3","15.05","15.05","15.05","14.74","15.03","15.03",NA,"Superficie residencial urbanizable (%)"
"Arakaldo",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"Superficie residencial urbanizable (%)"
"Arama",NA,NA,NA,NA,NA,NA,"34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","0","0","0",NA,"Superficie residencial urbanizable (%)"
