"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,"51.76","50.72","63.52","63.52","62.72",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,"169.44","2.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artea",NA,NA,NA,NA,NA,NA,NA,"297.78","343.61","459.42","447.4","442.11",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artzentales",NA,NA,NA,NA,NA,NA,NA,"71.22","97.67","107.04","106.74","104.25",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artziniega",NA,NA,NA,NA,NA,NA,NA,"285.1","299.06","306.12","297.03","297.03",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Asparrena",NA,NA,NA,NA,NA,NA,NA,"313.33","337.14","321","301.09","353.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Asteasu",NA,NA,NA,NA,NA,NA,NA,"279.49","273.35","267.47","292.29","293.28",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Astigarraga",NA,NA,NA,NA,NA,NA,NA,"333.57","338.58","327.29","330.27","328.1",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ataun",NA,NA,NA,NA,NA,NA,NA,"235.71","232.02","224.3","242.97","264.67",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Atxondo",NA,NA,NA,NA,NA,NA,NA,"163.08","162.4","161.4","163","165.39",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aulesti",NA,NA,NA,NA,NA,NA,NA,"139.47","278.93","276.47","275.26","286.76",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ayala/Aiara",NA,NA,NA,NA,NA,NA,NA,"353.14","351.8","342.07","335.5","327.91",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Azkoitia",NA,NA,NA,NA,NA,NA,NA,"11.68","11.18","11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Azpeitia",NA,NA,NA,NA,NA,NA,NA,"222.54","226.27","224.62","221.22","240.75",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Añana",NA,NA,NA,NA,NA,NA,NA,"417.58","419.89","431.82","431.82","491.43",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bakio",NA,NA,NA,NA,NA,NA,NA,"414.38","400.18","387.95","38.91","445.34",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Baliarrain",NA,NA,NA,NA,NA,NA,NA,"136.84","285.71","250","227.27","208.33",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Balmaseda",NA,NA,NA,NA,NA,NA,NA,"137.28","136.66","135.35","50.07","98.29",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Barakaldo",NA,NA,NA,NA,NA,NA,NA,"151.61","155.58","159.26","157.42","85.58",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Barrika",NA,NA,NA,NA,NA,NA,NA,"200","195.73","250.53","25.53","24.88",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Barrundia",NA,NA,NA,NA,NA,NA,NA,"447.8","441.32","429.25","412.57","396.7",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Basauri",NA,NA,NA,NA,NA,NA,NA,"98.38","102.01","105.48","112.1","111.47",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Baños de Ebro/Mañueta",NA,NA,NA,NA,NA,NA,NA,"517.71","532.21","532.21","570.57","577.51",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Beasain",NA,NA,NA,NA,NA,NA,NA,"138.8","132.86","132.4","131.21",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Bedia",NA,NA,NA,NA,NA,NA,NA,"229.12","233.89","232.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Beizama",NA,NA,NA,NA,NA,NA,NA,"94.12","87.91","88.89","88.89","87.43",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Belauntza",NA,NA,NA,NA,NA,NA,NA,"185.67","209.15","128.53","140.41","141.89",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
