"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aia",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,"2475.57","2382.45","2327.72","2272.05","2146.89","2073.67","1984.33","1948.05","1935.48","1935.48","1935.48",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,"2437.5","2422.36","2247.84","2184.87","2209.63","2184.87","2102.43","2631.58","2680.97","2762.43","2793.3",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,"3339.32","3316.69","3285.06","3280.42","3288.54","3297.87","3268.89","3218.96","3200.84","3186.27","3185.16",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Altzaga",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Altzo",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Amezketa",NA,NA,NA,NA,NA,NA,NA,"6149.9","6278.83","6093.59","6050.51","6026.16","6175.26","6137.3","6162.55","6188.02","6358.81","6385.93",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,NA,"46.75","45.97","45.39","44.84","44.52","44.1","43.21","53.62","53.82","53.37","53.03",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Amoroto",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Amurrio",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Andoain",NA,NA,NA,NA,NA,NA,NA,"3658.57","3624.34","3571.08","3509.78","3513.85","3507.39","3517.68","3554.34","3548.28","3545.13","3558.48",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Anoeta",NA,NA,NA,NA,NA,NA,NA,"1463.14","1454.95","1435.67","1404.65","1405.41","1419.21","1420.77","1335.47","1320.66","1276.16","1251.88",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Antzuola",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arakaldo",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arama",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aramaio",NA,NA,NA,NA,NA,NA,NA,"107.38","107.17","107.45","106.74","106.88","106.95","105.75","100.6","101.49","98.81","99.87",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arantzazu",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Areatza",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aretxabaleta",NA,NA,NA,NA,NA,NA,NA,"92.75","91.48","90.28","89.7","89.55","89.22","87.59","253.97","251.61","252.37","251.68",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Armiñón",NA,NA,NA,NA,NA,NA,NA,"5586.59","5025.13","5050.51","4830.92","4444.44","4366.81","4329","4219.41","4000","4098.36","4273.5",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arraia-Maeztu",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arrankudiaga",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arrasate/Mondragón",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arratzu",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,NA,NA,"1728.54","1693.18","1651.88","1617.81","1631.98","1566.77","1515.77","1427.12","1408.45","1404.21","1430.03",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Artea",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Artzentales",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Artziniega",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Asparrena",NA,NA,NA,NA,NA,NA,NA,"6007.58","6026.62","5962.38","5784.67","5660.71","5647.27","5600.71","5691.2","5756.66","5786.28","5846.63",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Asteasu",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Astigarraga",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Ataun",NA,NA,NA,NA,NA,NA,NA,"241.42","237.65","229.75","227.41","227.54","227.68","226.19","107.08","105.88","107.53","105.82",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Atxondo",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Aulesti",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Ayala/Aiara",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Azkoitia",NA,NA,NA,NA,NA,NA,NA,"1139.93","1101.33","1071.14","1054.5","1046.6","1040.55","1033.76","957.86","956.45","949.33","947.61",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Azpeitia",NA,NA,NA,NA,NA,NA,NA,"305.1","53.37","52.98","52.17","52.43","52.26","51.7","65.48","65.16","64.74","64.78",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Añana",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
"Bakio",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"Potencia hidráulica instalada (kW por 10.000 habitantes)"
