"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,"8.75","11.25","10.31","6.16","6.49","6.28","5.93","7.09","6.13","7.05","6.75",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,"4.56","9.31","16","10.37","7.2","4.13","7.03","6.19","4.73","3.52","2.03",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,"8.17","13.45","9.25","10.04","7.05","7.77","6.85","7.88","6.51","7.61","7.1",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,"13.45","18.85","16.81","20","16.28","10.3","9.64","10.37","10.35","14.77","15.54",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aia",NA,NA,NA,NA,NA,NA,NA,"8.47","19.23","12.53","12.01","6.78","7.75","8.7","11.08","6.95","9.28","7.62",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,"8.62","9.43","13.62","18.06","7.42","14.72","8.17","9.6","4.92","7.58","9.89",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,"0.92","0.29","0.26","1.29","0.96","1.64","0.56","0","1.82","0.77","0.54",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,"19.19","22.64","8.24","11.93","2.04","4.08","12.82","2.7","9.38","3.45","14.71",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,"9.58","5.23","7","9.44","12.82","20.79","9.3","8.68","21.76","12.94","23.45",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,"6.99","11.18","11.1","13.72","6.54","9.82","6.65","5.52","5.64","4.04","4.09",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,"9.28","12.38","11.27","5.88","8.47","12.07","5.41","6.76","8.96","0","0",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,"4.46","11.28","8.72","5.28","4.92","1.8","2.47","3.63","7.85","3.58","5.09",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Altzaga",NA,NA,NA,NA,NA,NA,NA,"0","5","7.69","25","0","20","0","12.5","11.76","0","25",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Altzo",NA,NA,NA,NA,NA,NA,NA,"12.33","20.75","12.39","25.58","7.23","1.1","3.19","13.48","10.14","20","9.68",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Amezketa",NA,NA,NA,NA,NA,NA,NA,"15","20.25","30.77","15.52","17.39","16.67","27.27","27.5","25","21.79","21.57",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,NA,"4.76","8.49","5.91","5.62","5.8","6.82","6.05","5.5","5.57","4.96","5.16",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Amoroto",NA,NA,NA,NA,NA,NA,NA,"12.13","23.61","5.37","8.1","10.53","10","11.11","12.5","7.81","6.67","12.36",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Amurrio",NA,NA,NA,NA,NA,NA,NA,"5.32","7.21","7.03","6.27","6.5","6.06","3.36","3.55","3.28","2.69","2.74",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Andoain",NA,NA,NA,NA,NA,NA,NA,"6.95","9.27","11.69","10.53","8.59","7.77","8.5","13.72","8.83","8.62","9.59",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Anoeta",NA,NA,NA,NA,NA,NA,NA,"9.33","11.99","12.5","19.55","9.91","12.57","9.11","14.88","12.8","10.18","24.87",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Antzuola",NA,NA,NA,NA,NA,NA,NA,"5.19","5.35","8.72","4.37","7.87","2.7","4.94","6.43","4.73","10.28","11.9",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arakaldo",NA,NA,NA,NA,NA,NA,NA,"15.2","26.47","14.84","6.2","14.04","20.97","7.14","16.28","5.88","13.79","14.71",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arama",NA,NA,NA,NA,NA,NA,NA,"21.21","23.44","23.13","14.17","13.25","27.85","14.29","8.93","8.82","7.91","24.8",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aramaio",NA,NA,NA,NA,NA,NA,NA,"8.77","5.05","11.3","9.09","5.5","3.17","2.13","3.26","3.37","4.46","7.65",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arantzazu",NA,NA,NA,NA,NA,NA,NA,"10.47","39.83","26.92","34.29","26.67","17.65","12.9","9.71","6","22.86","10.53",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Areatza",NA,NA,NA,NA,NA,NA,NA,"9.71","9.49","14.29","11.31","4.86","11.02","3.59","8.53","6.47","4.62","11.43",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aretxabaleta",NA,NA,NA,NA,NA,NA,NA,"4.94","5.86","8.33","6.87","7.38","6.5","4.99","8.91","7.7","9.95","9.61",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Armiñón",NA,NA,NA,NA,NA,NA,NA,"8.51","4.06","5.94","6.49","0","11.32","1.6","1.04","2.04","0.37","1.41",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arraia-Maeztu",NA,NA,NA,NA,NA,NA,NA,"9.91","9.46","9.04","3.29","6.06","6.81","2.82","1.9","4.41","3.16","3.97",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arrankudiaga",NA,NA,NA,NA,NA,NA,NA,"12.74","14.89","12.36","12.17","9.05","8.23","8.89","14.93","12.87","11.41","8.95",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arrasate/Mondragón",NA,NA,NA,NA,NA,NA,NA,"2.71","4.59","4.63","4.67","5.95","5.74","4.63","4.45","5.18","8.6","6.66",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arratzu",NA,NA,NA,NA,NA,NA,NA,"5.56","0","12.5","0","4","7.14","8.33","0","0",NA,NA,NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,NA,NA,"9.89","5.79","6.52","8.59","2.46","4.87","3.66","4.41","3.4","3.96","5.06",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,"10.74","17.04","10","5.59","7.81","9.03","14.13","34.15","8.6","17.39","19.57",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,"7.43","9.79","8.53","7.46","7.57","6.79","5.91","7.65","6.4","7.87","9.37",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Artea",NA,NA,NA,NA,NA,NA,NA,"2.05","3.14","4.8","8.68","9.8","8.35","5.08","7.04","6.12","14.8","16.61",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Artzentales",NA,NA,NA,NA,NA,NA,NA,"5.83","14.15","12.59","17.14","6.25","12.44","2.91","0.5","1.11","0.83","2.99",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Artziniega",NA,NA,NA,NA,NA,NA,NA,"4.35","8.78","11.55","11.81","12.58","12.72","6.52","8.98","4.44","14.23","7.75",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Asparrena",NA,NA,NA,NA,NA,NA,NA,"4.81","8.84","5.24","4.2","3.12","2.62","1.97","9.89","1.27","2.51","3.18",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Asteasu",NA,NA,NA,NA,NA,NA,NA,"14.05","16.61","15.71","21.27","13.6","10.57","7.98","10.87","9.95","15.84","15.1",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Astigarraga",NA,NA,NA,NA,NA,NA,NA,"6.7","10.06","7.91","5.88","4.52","5.76","4.84","6.66","5.41","5.96","6.21",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Ataun",NA,NA,NA,NA,NA,NA,NA,"11.11","8","12.05","11.65","8.21","10.61","4.71","14.29","6.73","12.12","18.92",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Atxondo",NA,NA,NA,NA,NA,NA,NA,"7.22","6.09","6.86","3.66","4.68","4.1","3.2","2.67","1.99","1.97","2.26",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Aulesti",NA,NA,NA,NA,NA,NA,NA,"12.99","7.25","12.33","14.71","4.88","7.78","5.88","6.25","10.64","2","11.27",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Ayala/Aiara",NA,NA,NA,NA,NA,NA,NA,"11.56","7.23","4.73","7.06","5.92","6.11","6.12","5.45","4.71","4.82","3.73",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Azkoitia",NA,NA,NA,NA,NA,NA,NA,"9.85","12.77","12.99","14.32","10.41","8.57","8.15","7.92","7.38","8.4","8.21",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Azpeitia",NA,NA,NA,NA,NA,NA,NA,"11.53","13.82","18.24","15.31","12.71","10.3","8.94","9.43","7.82","9.7","10.33",NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Añana",NA,NA,NA,NA,NA,NA,NA,"4.76","7.69","5.26","15.79","13.79","0","14.71","1.22","2.29","11.11",NA,NA,"Contratos indefinidos registrados en el año (% total contratos)"
"Bakio",NA,NA,NA,NA,NA,NA,NA,"6.39","12.65","4.23","7.07","6.02","3.78","2.12","2.22","1.98","1.96","3.26",NA,"Contratos indefinidos registrados en el año (% total contratos)"
