"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,NA,"1.42","1.42","1.42","1.41","1.41","1.41","1.41","1.42","1.42","1.42",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,NA,"0.78","0.78","0.78","0.78","0.5","0.5","0.49","0.49","0.47","0.47",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,NA,"4.02","4.83","4.83","4.79","4.76","4.19","4.66","4.66","4.16","4.16",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,NA,"1.15","1.15","0.58","0.58","0.58","0.58","0.57","0.57","0.57","0.54",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Aia",NA,NA,NA,NA,NA,NA,NA,NA,"0.87","0.87","0.48","0.48","0.48","0.48","0.49","0.49","0.49","0.53",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,NA,"1.58","1.58","1.58","1.58","1.58","0.32","0.33","0.33","0.33","0.33",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,NA,"0.8","0.8","0.8","0.8","0.8","0.79","0.82","0.82","0.82","0.82",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,NA,"1.01","1.01","1.01","1.01","0.31","0.3","0.31","0.31","0.31","0.31",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,NA,"2.24","2.24","2.24","2.24","2","2.03","2.05","2.05","2.06","2.07",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,NA,"1.42","1.41","1.13","1.16","1.16","1.15","1.16","1.16","1.16","1.16",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,NA,"0.31","0.31","0.31","0.31","0.22","0.23","0.23","0.23","0.23","0.23",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,NA,"2.02","2.02","2.01","2.08","2.08","2.79","2.3","2.3","2.3","2.3",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Altzaga",NA,NA,NA,NA,NA,NA,NA,NA,"1.68","1.68","1.68","1.68","1.68","0.74","0.78","0.78","0.76","0.76",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Altzo",NA,NA,NA,NA,NA,NA,NA,NA,"0.84","0.84","0.84","0.84","0.42","0.42","0.42","0.42","0.43","0.42",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Amezketa",NA,NA,NA,NA,NA,NA,NA,NA,"0.23","0.32","0.32","0.32","0.32","0.32","0.31","0.31","0.32","0.32",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,NA,NA,"1.38","1.36","1.38","1.35","1.35","1.34","1.34","1.34","1.34","1.34",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Amoroto",NA,NA,NA,NA,NA,NA,NA,NA,"0.39","0.39","0.39","0.4","0.4","0.4","0.4","0.4","0.4","0.41",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Amurrio",NA,NA,NA,NA,NA,NA,NA,NA,"0.79","0.79","0.79","0.78","0.78","0.78","0.78","0.78","0.78","0.78",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Andoain",NA,NA,NA,NA,NA,NA,NA,NA,"1.07","1.07","1.07","1.07","1.07","0.97","2.34","2.34","2.34","2.34",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Anoeta",NA,NA,NA,NA,NA,NA,NA,NA,"1.4","1.4","1.4","1.4","1.85","1.85","1.85","1.85","1.85","1.84",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Antzuola",NA,NA,NA,NA,NA,NA,NA,NA,"0.52","0.52","0.52","0.52","0.6","0.39","0.39","0.39","0.39","0.39",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arakaldo",NA,NA,NA,NA,NA,NA,NA,NA,"2.9","2.9","2.9","2.9","2.9","2.79","2.77","2.77","2.77","2.77",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arama",NA,NA,NA,NA,NA,NA,NA,NA,"3.1","3.1","3.1","3.16","3.16","3.01","2.9","2.9","2.9","2.9",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Aramaio",NA,NA,NA,NA,NA,NA,NA,NA,"0.23","0.23","0.23","0.21","0.21","0.21","0.2","0.68","0.68","0.75",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arantzazu",NA,NA,NA,NA,NA,NA,NA,NA,"1.93","1.89","1.89","1.95","1.95","1.95","2.09","2.09","2.09","2.09",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Areatza",NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.27","0.27","0.31","0.31","0.31","0.31","0.31","0.31","0.31",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Aretxabaleta",NA,NA,NA,NA,NA,NA,NA,NA,"0.65","0.65","0.65","0.65","0.65","0.66","0.71","0.66","0.66","0.66",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Armiñón",NA,NA,NA,NA,NA,NA,NA,NA,"4.5","4.5","4.5","4.41","4.41","4.41","3.61","3.61","3.61","3.61",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arraia-Maeztu",NA,NA,NA,NA,NA,NA,NA,NA,"0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.34","0.34","0.34",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arrankudiaga",NA,NA,NA,NA,NA,NA,NA,NA,"0.75","0.75","0.75","0.81","0.94","0.94","0.94","0.94","0.94","0.94",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arrasate/Mondragón",NA,NA,NA,NA,NA,NA,NA,NA,"0.63","0.63","0.63","0.74","0.74","0.82","0.77","1.12","1.61","1.61",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arratzu",NA,NA,NA,NA,NA,NA,NA,NA,"0.38","0.38","0.38","0.38","0.38","0.37","0.37","0.37","0.37","0.37",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,NA,NA,NA,"1.13","1.13","1.12","1.18","1.18","1.18","1.18","2.59","2.59","2.59",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,NA,"0.63","0.63","0.63","0.59","0.59","0.59","0.59","0.59","0.59","0.59",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,NA,"6.1","5.6","5.6","5.67","5.78","5.71","5.72","5.72","5.65","5.65",NA,"Superficie destinada a infraestructuras de transporte y comunicaciones (%)"
