"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Arraia-Maeztu",NA,NA,NA,NA,NA,NA,NA,"0.46","4.42","4.42","4.42","4.42",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arrankudiaga",NA,NA,NA,NA,NA,NA,NA,"12.27","13.19","13.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arrasate/Mondragón",NA,NA,NA,NA,NA,NA,NA,"17.18","17.89","17.91","17.91","17.61",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arratzu",NA,NA,NA,NA,NA,NA,NA,"5.93","5.97","2.99","7.46","7.46",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,NA,NA,"9.05","9.05","9.05","9.05","9.05",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,"24.46","24.53","9.43","9.43","9.43",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,"15.34","15.37","16.68","16.68","20.53",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Artea",NA,NA,NA,NA,NA,NA,NA,"11.22","11.23","12.3","12.3","12.17",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Artzentales",NA,NA,NA,NA,NA,NA,NA,"10.26","10.26","10.26","10.26","10.26",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Artziniega",NA,NA,NA,NA,NA,NA,NA,"10.88","10.88","10.88","9.78","9.78",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Asparrena",NA,NA,NA,NA,NA,NA,NA,"0.96","0.96","2.79","7.15","3.97",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Asteasu",NA,NA,NA,NA,NA,NA,NA,"3.76","3.76","3.76","28.1","28.1",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
