"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,"1.26","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Arrieta",NA,NA,NA,NA,NA,"7.81","9.45","11.09","3.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Arrigorriaga",NA,NA,NA,NA,NA,"3.87","4.12","4.74","6.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Artea",NA,NA,NA,NA,NA,"4.46","5.9","4.44","7.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Artzentales",NA,NA,NA,NA,NA,"6.06","5.91","7.27","17.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Artziniega",NA,NA,NA,NA,NA,"2.76","2.67","3.07","2.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Asparrena",NA,NA,NA,NA,NA,"5.06","6.23","5.69","5.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Asteasu",NA,NA,NA,NA,NA,"6.69","6.46","7.02","6.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Astigarraga",NA,NA,NA,NA,NA,"4.87","4.34","4.48","4.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ataun",NA,NA,NA,NA,NA,"3.3","1.96","1.27","1.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
