"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","0.72","0.73","0.74","0.75","0.74","0.73","0.72","0.72","0.68","0.66","0.65","0.63"
"20001","Abaltzisketa","0.81","0.83","0.84","0.83","0.90","0.90","0.87","0.89","0.88","0.79","0.80","0.78"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.76","0.76","0.76","0.76","0.76","0.76","0.75","0.73","0.68","0.67","0.66","0.64"
"20002","Aduna","1.69","1.75","1.74","1.63","1.66","1.79","1.95","1.75","1.57","1.45","1.43","1.32"
"20016","Aia","0.74","0.76","0.75","0.74","0.72","0.72","0.75","0.74","0.77","0.71","0.69","0.70"
"20003","Aizarnazabal","0.72","0.73","0.72","0.74","0.77","0.80","0.78","0.77","0.79","0.68","0.71","0.71"
"48911","Ajangiz","0.66","0.72","0.60","0.59","0.59","0.55","0.50","0.48","0.51","0.40","0.39","0.37"
"20004","Albiztur","1.14","1.13","1.11","1.10","1.07","1.07","1.04","1.07","0.96","0.93","0.88","0.84"
"20005","Alegia","0.64","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.58","0.58","0.57","0.57"
"01001","Alegría-Dulantzi","0.66","0.68","0.67","0.68","0.67","0.66","0.69","0.70","0.68","0.66","0.65","0.64"
"20006","Alkiza","0.84","0.82","0.83","0.86","0.86","0.85","0.85","0.85","0.79","0.80","0.79","0.79"
"48912","Alonsotegi","0.57","0.57","0.57","0.57","0.57","0.56","0.54","0.53","0.51","0.50","0.50","0.46"
"20906","Altzaga","0.61","0.62","0.63","0.61","0.62","0.56","0.52","0.50","0.46","0.39","0.30","0.32"
"20007","Altzo","0.98","0.96","0.88","0.88","0.88","0.86","0.84","0.84","0.86","0.81","0.81","0.86"
"20008","Amezketa","0.92","0.94","0.89","0.90","0.86","0.84","0.82","0.83","0.81","0.75","0.74","0.73"
"48003","Amorebieta-Etxano","0.63","0.62","0.62","0.63","0.62","0.62","0.61","0.60","0.57","0.57","0.56","0.54"
"48004","Amoroto","0.76","0.87","0.77","0.74","0.72","0.71","0.71","0.69","0.76","0.68","0.70","0.69"
"01002","Amurrio","0.65","0.67","0.66","0.66","0.65","0.64","0.63","0.61","0.62","0.58","0.56","0.54"
"20009","Andoain","0.60","0.60","0.60","0.59","0.59","0.58","0.58","0.58","0.57","0.55","0.54","0.52"
"20010","Anoeta","0.78","0.74","0.75","0.74","0.72","0.69","0.72","0.70","0.68","0.66","0.63","0.61"
"20011","Antzuola","0.66","0.67","0.67","0.65","0.65","0.63","0.62","0.61","0.60","0.60","0.61","0.59"
"48005","Arakaldo","0.87","0.90","0.87","0.78","0.94","1.01","0.99","0.93","1.00","0.98","0.87","0.82"
"20012","Arama","1.43","1.46","1.94","1.92","1.83","2.08","2.11","2.02","1.34","1.87","1.65","0.80"
"01003","Aramaio","0.84","0.86","0.80","0.80","0.79","0.79","0.79","0.77","0.78","0.75","0.73","0.71"
"48006","Arantzazu","0.69","0.72","0.71","0.68","0.72","0.74","0.67","0.68","0.65","0.64","0.63","0.61"
"48093","Areatza","0.62","0.61","0.62","0.63","0.64","0.66","0.64","0.64","0.61","0.61","0.59","0.59"
"20013","Aretxabaleta","0.59","0.61","0.62","0.63","0.62","0.62","0.62","0.62","0.61","0.60","0.59","0.58"
"01006","Armiñón","0.91","0.98","0.94","0.87","0.82","0.87","0.85","0.76","0.73","0.60","0.56","0.43"
"01037","Arraia-Maeztu","1.02","0.96","0.98","0.94","0.93","0.91","0.85","0.81","0.75","0.73","0.69","0.66"
"48009","Arrankudiaga","0.92","0.91","0.94","0.96","0.95","0.94","0.93","0.96","0.89","0.89","0.88","0.84"
"20055","Arrasate/Mondragón","0.59","0.61","0.60","0.61","0.61","0.61","0.61","0.60","0.59","0.57","0.55","0.53"
"48914","Arratzu","0.72","0.75","0.70","0.69","0.70","0.68","0.64","0.63","0.60","0.52","0.44","0.40"
"01008","Arratzua-Ubarrundia","1.03","1.03","1.01","1.02","1.02","0.97","0.95","0.89","0.89","0.90","0.87","0.93"
"48010","Arrieta","0.87","0.90","0.87","0.87","0.81","0.80","0.77","0.73","0.75","0.72","0.72","0.70"
"48011","Arrigorriaga","0.57","0.58","0.58","0.58","0.58","0.57","0.57","0.55","0.54","0.52","0.50","0.49"
"48023","Artea","0.84","0.79","0.86","0.85","0.84","0.85","0.61","0.63","0.60","0.57","0.56","0.54"
"48008","Artzentales","0.94","0.91","0.88","0.91","0.91","0.90","0.91","0.88","0.84","0.77","0.74","0.70"
"01004","Artziniega","0.72","0.70","0.66","0.67","0.65","0.64","0.64","0.64","0.65","0.62","0.59","0.60"
"01009","Asparrena","0.75","0.78","0.76","0.78","0.77","0.80","0.82","0.81","0.79","0.76","0.76","0.80"
"20014","Asteasu","0.89","0.88","0.90","0.91","0.92","0.91","0.89","0.88","0.84","0.83","0.83","0.79"
"20903","Astigarraga","0.83","0.87","0.90","0.93","0.93","0.93","0.97","0.98","0.97","0.93","0.88","0.85"
"20015","Ataun","0.68","0.68","0.69","0.69","0.67","0.67","0.66","0.66","0.64","0.65","0.64","0.62"
"48091","Atxondo","0.80","0.79","0.79","0.76","0.75","0.73","0.73","0.71","0.68","0.66","0.65","0.61"
"48070","Aulesti","0.93","0.96","0.94","0.91","0.90","0.88","0.87","0.84","0.82","0.80","0.80","0.78"
"01010","Ayala/Aiara","0.88","0.87","0.87","0.87","0.88","0.88","0.89","0.88","0.85","0.85","0.85","0.86"
"20017","Azkoitia","0.58","0.58","0.57","0.58","0.58","0.57","0.58","0.58","0.56","0.54","0.53","0.51"
"20018","Azpeitia","0.66","0.66","0.67","0.67","0.67","0.66","0.67","0.65","0.63","0.62","0.60","0.58"
"01049","Añana","0.79","0.85","0.78","0.75","0.76","0.77","0.73","0.70","0.68","0.63","0.59","0.57"
"48012","Bakio","0.69","0.70","0.67","0.67","0.67","0.68","0.68","0.67","0.69","0.64","0.63","0.61"
"20904","Baliarrain","0.84","0.76","0.79","0.79","0.72","0.73","0.68","0.66","0.51","0.50","0.37","0.37"
"48090","Balmaseda","0.55","0.55","0.55","0.57","0.57","0.57","0.57","0.56","0.55","0.53","0.50","0.49"
"48013","Barakaldo","0.49","0.49","0.49","0.49","0.49","0.49","0.49","0.48","0.47","0.45","0.44","0.43"
"48014","Barrika","0.72","0.73","0.70","0.68","0.69","0.70","0.69","0.69","0.69","0.65","0.66","0.66"
"01013","Barrundia","0.93","0.88","0.88","0.85","0.83","0.83","0.82","0.80","0.77","0.78","0.75","0.75"
"48015","Basauri","0.52","0.53","0.53","0.54","0.53","0.53","0.53","0.52","0.51","0.49","0.47","0.46"
"01011","Baños de Ebro/Mañueta","0.95","0.97","0.94","0.89","0.86","0.83","0.78","0.75","0.72","0.70","0.71","0.66"
"20019","Beasain","0.61","0.61","0.60","0.60","0.59","0.59","0.58","0.59","0.57","0.57","0.56","0.54"
"48092","Bedia","1.35","1.44","1.59","1.74","1.76","1.80","1.67","1.47","1.14","1.12","1.10","1.02"
"20020","Beizama","0.95","0.99","0.99","0.91","0.95","0.97","0.92","0.99","1.02","0.98","0.95","0.92"
