"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","15.659.76","14.822.02","13.844.72","14.200.73","15.940.16","14.413.87","11.838.62","16.261.56","16.864.45","16.960.31","16.792.56","17.149.12","16.239.96","15.159.56"
"20001","Abaltzisketa","175.70","134.34","0.00","182.67","184.01","94.31","19.37","25.19","2.79","0.92","6.72","6.09","12.32","48.58"
"48002","Abanto y Ciérvana-Abanto Zierbena","3.961.88","4.090.01","3.279.64","3.292.91","2.889.41","2.589.34","2.282.28","2.929.05","3.050.46","2.835.60","2.860.61","2.802.26","2.288.62","2.124.47"
"20002","Aduna","21.372.13","20.740.10","21.696.71","22.522.82","23.512.11","23.175.80","22.501.42","28.927.76","30.294.87","30.565.11","29.644.04","33.570.25","29.426.76","30.770.42"
"20016","Aia","3.413.54","3.698.91","3.814.92","3.952.00","4.154.45","3.986.85","3.924.92","5.773.16","6.913.31","6.771.59","7.265.86","7.141.49","6.594.85","6.110.87"
"20003","Aizarnazabal","98.823.09","103.999.33","109.819.54","91.106.48","118.606.08","125.026.54","105.103.74","134.178.81","138.503.24","138.046.76","152.048.49","157.482.96","154.467.16","165.252.82"
"48911","Ajangiz","57.111.82","53.637.88","54.468.99","55.654.44","58.045.54","55.298.28","46.313.60","51.491.93","208.43","141.38","167.93","200.40","213.43","205.45"
"20004","Albiztur","2.516.86","2.070.14","6.379.88","7.844.33","8.212.80","8.274.00","8.410.57","8.805.38","8.592.54","8.688.68","8.451.44","6.593.10","7.110.04","6.631.00"
"20005","Alegia","8.385.52","7.991.78","8.329.29","7.923.36","8.718.47","8.642.92","7.770.73","8.799.60","10.024.33","8.399.49","7.506.87","7.257.70","5.336.83","5.956.46"
"01001","Alegría-Dulantzi","3.393.85","3.900.99","3.955.64","4.146.06","4.208.96","4.000.26","4.632.01","5.972.29","5.587.08","4.535.00","4.236.17","4.289.59","2.957.14","4.452.88"
"20006","Alkiza","6.10","7.13","1.28","58.11","293.86","366.14","390.14","475.78","552.16","606.42","605.98","699.09","740.24","572.38"
