"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48012","Bakio","9.36","9.84","8.92","9.28","8.46","9.49","8.89","7.76","5.32","3.11","6.34","7.21","5.56"
"20904","Baliarrain","6.82","11.36","13.04","12.50","5.13","10.26","7.50","10.26","5.56","0.00","4.00","0.00","6.67"
"48090","Balmaseda","15.90","16.11","17.32","15.74","15.08","12.65","11.82","11.17","7.90","6.24","6.24","6.62","7.04"
"48013","Barakaldo","12.62","13.49","14.06","13.99","13.53","11.51","10.44","8.68","6.83","5.88","6.40","6.57","5.76"
"48014","Barrika","8.98","7.72","8.26","7.98","6.83","7.66","4.57","5.58","5.05","3.97","4.43","4.33","3.03"
"01013","Barrundia","4.45","4.86","8.00","9.16","10.77","5.41","4.65","3.85","2.81","0.83","2.16","3.46","3.00"
"48015","Basauri","13.49","14.54","15.61","14.85","15.14","12.86","11.76","10.35","8.60","7.32","7.79","8.15","7.02"
"01011","Baños de Ebro/Mañueta","5.00","6.25","6.17","7.14","7.69","5.26","4.88","4.82","3.57","4.44","1.15","1.18","1.20"
"20019","Beasain","8.56","9.79","10.60","9.98","10.25","9.68","7.79","7.55","5.71","4.31","4.43","5.54","4.05"
"48092","Bedia","9.09","8.50","10.85","11.08","10.32","9.01","8.10","9.72","8.23","4.32","3.82","4.40","4.46"
"20020","Beizama","13.95","4.65","4.44","4.44","6.00","8.33","4.44","6.67","2.27","0.00","2.04","2.22","0.00"
"20021","Belauntza","5.33","6.67","12.82","9.76","9.64","7.95","6.90","9.38","7.14","5.50","5.88","3.88","4.90"
"48016","Berango","8.83","8.52","9.31","8.76","9.32","7.96","6.99","6.26","4.78","4.83","4.61","5.29","4.06"
"01014","Berantevilla","12.20","13.01","14.73","10.29","9.70","5.80","5.00","4.86","2.31","3.73","2.34","2.31","1.43"
"20022","Berastegi","8.23","9.18","9.60","10.09","7.23","5.41","6.65","6.60","6.56","3.96","3.45","4.79","2.78"
"20074","Bergara","8.13","8.89","10.01","10.05","10.07","8.94","7.07","7.27","6.20","4.78","5.36","5.42","4.43"
"48017","Bermeo","10.69","10.13","11.11","11.47","11.36","9.59","8.44","7.57","6.50","5.47","4.72","5.88","4.88"
"01016","Bernedo","8.11","7.21","7.38","6.92","2.26","2.92","3.79","3.60","2.76","0.68","2.84","4.26","2.17"
"48018","Berriatua","8.07","8.07","9.25","8.36","6.39","8.89","8.09","8.66","7.18","3.86","4.76","4.55","4.35"
"48019","Berriz","10.23","11.02","11.87","10.98","10.37","9.49","8.96","9.63","7.91","4.51","4.20","4.66","3.03"
"20023","Berrobi","9.47","10.06","12.79","10.23","11.56","8.62","10.29","7.23","6.25","7.65","5.29","3.53","4.73"
"20024","Bidania-Goiatz","4.55","7.79","9.49","5.10","6.21","3.66","4.49","2.61","2.07","2.22","2.26","3.25","0.85"
"48020","Bilbao","12.42","13.29","14.29","13.92","13.58","12.13","11.27","9.68","7.82","6.57","6.73","7.21","6.13"
"48021","Busturia","11.45","12.74","12.98","12.94","12.09","9.02","7.34","6.32","4.75","5.16","3.73","4.86","3.86"
"01017","Campezo/Kanpezu","11.95","9.56","10.58","12.54","13.25","11.84","8.94","6.84","6.73","4.42","4.33","5.70","4.41"
"20029","Deba","7.83","8.13","9.84","9.58","9.47","7.06","6.29","7.21","5.11","3.82","5.44","6.17","3.24"
"48901","Derio","8.52","9.19","10.31","9.92","8.86","8.15","7.14","6.96","5.59","4.28","3.19","3.86","3.92"
"48026","Dima","6.19","7.52","7.45","8.56","7.41","4.85","6.93","6.48","3.91","3.01","3.08","4.79","3.26"
"20069","Donostia / San Sebastián","7.78","8.60","9.35","9.56","9.54","8.33","7.86","7.32","6.13","5.43","5.55","5.34","4.61"
