"Udalerri kodea","Udalerria","2004","2003","2002","2001"
"48046","Gernika-Lumo","28.19","28.94","26.06","17.59"
"20039","Getaria","37.87","41.75","29.80","19.62"
"48044","Getxo","9.88","14.02","3.05","3.24"
"48047","Gizaburuaga","26.59","23.52","17.82","22.23"
"48042","Gordexola","7.94","4.13","2.41","1.74"
"48043","Gorliz","8.37","6.38","1.98","3.47"
"48045","Güeñes","154.66","363.31","66.24","65.06"
"01056","Harana/Valle de Arana","7.38","3.39","1.45","2.11"
"20040","Hernani","90.41","119.04","59.95","66.91"
"20041","Hernialde","6.87","5.93","1.34","1.19"
"20036","Hondarribia","11.61","7.74","5.88","1.18"
"20042","Ibarra","7.92","5.82","1.94","1.17"
"48048","Ibarrangelu","7.41","4.03","4.10","1.71"
"20043","Idiazabal","215.86","233.49","174.32","165.71"
"48094","Igorre","275.04","255.21","204.49","101.17"
"20044","Ikaztegieta","13.98","9.94","6.24","3.01"
"20045","Irun","54.99","62.94","46.78","51.68"
"20046","Irura","81.67","13.01","35.75","14.27"
"01027","Iruraiz-Gauna","7.29","1.199.17","1.48","2.10"
"01901","Iruña Oka/Iruña de Oca","152.85","163.41","791.63","831.02"
"48049","Ispaster","20.75","10.47","14.47","5.47"
"20047","Itsasondo","23.67","19.53","8.77","3.88"
"48910","Iurreta","150.17","95.67","75.83","65.64"
"48050","Izurtza","507.20","770.70","913.62","1.247.28"
"48022","Karrantza Harana/Valle de Carranza","13.09","7.34","42.12","4.88"
"48907","Kortezubi","7.64","4.13","1.93","1.62"
"01019","Kripan","7.51","3.46","1.53","2.20"
"01020","Kuartango","7.46","4.48","1.41","2.13"
"01028","Labastida/Bastida","7.28","4.48","1.48","2.13"
"01030","Lagrán","7.35","3.38","1.47","2.15"
"01031","Laguardia","156.59","201.96","140.16","88.13"
"01032","Lanciego/Lantziego","7.42","3.43","1.46","2.06"
"48051","Lanestosa","7.70","4.02","1.93","1.68"
"01902","Lantarón","3.931.56","4.242.58","2.825.91","2.859.00"
"01033","Lapuebla de Labarca","126.44","89.49","67.24","57.23"
"48052","Larrabetzu","8.53","35.90","6.73","6.71"
"20048","Larraul","6.56","5.50","1.31","1.18"
"20902","Lasarte-Oria","18.32","12.93","7.96","10.52"
"01036","Laudio/Llodio","364.77","322.11","337.04","248.66"
"48053","Laukiz","7.67","4.04","1.93","1.68"
"20049","Lazkao","59.79","36.62","37.76","30.43"
"20050","Leaburu","7.00","5.55","1.30","1.20"
"20051","Legazpi","650.49","444.96","580.68","457.16"
"20052","Legorreta","199.09","215.41","148.02","156.24"
"01058","Legutio","8.547.16","6.032.84","5.889.24","6.137.15"
"20068","Leintz-Gatzaga","7.26","5.97","1.36","1.15"
"48054","Leioa","48.36","25.47","18.51","16.32"
"48057","Lekeitio","8.32","4.26","2.22","2.01"
"48055","Lemoa","121.01","36.92","48.18","58.39"
"48056","Lemoiz","8.15","46.37","37.40","46.31"
"01034","Leza","7.36","3.53","1.48","2.07"
"48081","Lezama","54.28","50.95","28.77","39.70"
"20053","Lezo","165.68","36.44","24.28","113.71"
"20054","Lizartza","6.86","18.31","1.29","1.19"
"48903","Loiu","2.768.58","2.769.74","2.865.79","2.525.88"
"48058","Mallabia","402.10","274.32","353.71","186.15"
"48060","Markina-Xemein","18.62","22.49","27.80","26.34"
"48061","Maruri-Jatabe","7.42","4.12","1.97","1.75"
"48059","Mañaria","7.51","12.94","1.90","1.69"
"20901","Mendaro","50.42","72.41","74.37","65.66"
"48062","Mendata","7.69","4.10","1.94","1.69"
"48063","Mendexa","7.58","4.18","1.91","1.65"
"48064","Meñaka","7.40","4.09","1.95","1.69"
"01039","Moreda de Álava / Moreda Araba","7.32","3.35","1.42","1.96"
"48066","Morga","7.58","3.93","1.95","1.67"
"48068","Mundaka","80.03","5.43","14.10","1.71"
"48069","Mungia","62.55","70.68","54.03","52.17"
"48007","Munitibar-Arbatzegi Gerrikaitz-","7.64","4.02","1.89","1.67"
"48908","Murueta","7.40","4.03","1.93","1.87"
"48071","Muskiz","1.099.05","1.243.64","1.307.20","1.440.35"
"20057","Mutiloa","6.90","5.73","1.32","2.055.01"
"20056","Mutriku","10.73","7.12","2.43","11.34"
"48067","Muxika","515.61","239.81","288.87","167.05"
"48909","Nabarniz","7.59","4.03","1.92","1.67"
"01041","Navaridas","7.27","3.35","1.44","2.20"
"20063","Oiartzun","28.78","24.62","20.91","24.63"
"01042","Okondo","34.80","4.35","10.96","2.91"
"20058","Olaberria","18.199.86","19.751.85","14.179.46","11.805.66"
"48073","Ondarroa","8.08","4.05","1.95","1.88"
"20076","Ordizia","29.67","22.13","14.68","11.27"
"20905","Orendain","6.53","5.42","1.32","1.20"
"20060","Orexa","6.55","5.60","1.27","1.21"
