"Udalerri kodea","Udalerria","2015","2014","2013","2012"
"48001","Abadiño","3.86","4.60","4.75","5.05"
"20001","Abaltzisketa","4.52","4.76","5.19","7.01"
"48002","Abanto y Ciérvana-Abanto Zierbena","8.77","9.21","9.66","10.19"
"20002","Aduna","7.69","10.05","10.53","10.16"
"20016","Aia","8.57","8.42","8.82","8.78"
"20003","Aizarnazabal","5.35","6.95","6.92","7.17"
"48911","Ajangiz","2.96","4.09","3.68","4.35"
"20004","Albiztur","6.57","6.47","6.62","7.81"
"20005","Alegia","6.79","6.84","7.36","7.55"
"01001","Alegría-Dulantzi","5.16","5.22","5.46","6.16"
"20006","Alkiza","7.36","7.88","10.32","12.08"
"48912","Alonsotegi","9.40","10.38","10.90","10.93"
"20906","Altzaga","7.81","7.94","6.45","6.67"
"20007","Altzo","7.05","7.38","7.95","8.39"
"20008","Amezketa","9.25","9.63","10.92","11.46"
"48003","Amorebieta-Etxano","5.21","5.27","5.54","5.50"
"48004","Amoroto","4.68","6.67","8.75","10.00"
"01002","Amurrio","5.59","5.72","5.82","6.78"
"20009","Andoain","6.70","6.81","7.11","7.47"
"20010","Anoeta","7.65","7.74","7.96","8.39"
"20011","Antzuola","3.90","3.71","4.15","4.92"
"48005","Arakaldo","6.12","5.13","4.88","10.00"
"20012","Arama","5.06","3.95","5.00","5.00"
"01003","Aramaio","2.26","2.50","2.60","2.84"
"48006","Arantzazu","8.40","10.08","7.38","7.83"
"48093","Areatza","6.54","6.64","6.82","7.42"
"20013","Aretxabaleta","4.28","4.19","4.39","5.11"
"01006","Armiñón","5.80","5.56","9.72","7.46"
"01037","Arraia-Maeztu","5.81","6.39","6.67","6.62"
"48009","Arrankudiaga","8.71","8.70","10.68","11.56"
"20055","Arrasate/Mondragón","2.94","3.03","2.85","3.20"
"48914","Arratzu","5.04","5.88","5.97","6.62"
"01008","Arratzua-Ubarrundia","7.75","8.46","8.79","9.32"
"48010","Arrieta","7.11","8.33","8.46","9.41"
"48011","Arrigorriaga","6.70","6.63","7.05","7.58"
"48023","Artea","3.11","4.15","3.47","3.88"
"48008","Artzentales","11.02","12.76","15.42","16.97"
"01004","Artziniega","5.38","6.24","5.53","6.67"
"01009","Asparrena","2.99","2.40","3.27","2.50"
"20014","Asteasu","8.94","9.28","8.32","9.71"
"20903","Astigarraga","7.30","7.94","8.34","9.16"
"20015","Ataun","5.61","5.94","6.36","6.76"
"48091","Atxondo","4.58","5.31","4.79","5.04"
"48070","Aulesti","5.19","5.63","4.48","5.00"
"01010","Ayala/Aiara","6.28","6.06","6.67","6.98"
"20017","Azkoitia","5.69","6.05","6.11","6.80"
"20018","Azpeitia","7.39","7.68","8.08","8.57"
"01049","Añana","5.77","5.88","6.52","5.77"
"48012","Bakio","4.81","5.55","6.04","6.32"
"20904","Baliarrain","8.00","8.16","13.73","12.00"
"48090","Balmaseda","5.83","6.24","5.92","5.89"
"48013","Barakaldo","7.34","7.33","7.40","8.19"
"48014","Barrika","7.40","7.62","7.87","8.49"
"01013","Barrundia","3.01","3.83","3.50","4.55"
"48015","Basauri","6.90","6.92","7.01","7.48"
"01011","Baños de Ebro/Mañueta","2.78","2.68","1.82","1.82"
"20019","Beasain","5.92","5.82","6.72","6.74"
"48092","Bedia","5.96","6.85","6.10","6.15"
"20020","Beizama","16.36","14.06","10.53","11.54"
"20021","Belauntza","13.01","12.40","12.31","14.93"
"48016","Berango","5.87","5.72","6.00","6.47"
"01014","Berantevilla","2.96","5.76","4.86","4.49"
"20022","Berastegi","10.54","10.98","10.63","12.29"
"20074","Bergara","3.94","3.82","3.92","4.20"
"48017","Bermeo","6.63","6.47","7.07","7.74"
"01016","Bernedo","4.23","5.91","6.19","6.00"
"48018","Berriatua","2.97","3.40","3.71","4.59"
"48019","Berriz","3.99","4.13","4.29","4.66"
"20023","Berrobi","5.17","5.78","6.70","6.91"
"20024","Bidania-Goiatz","7.96","9.52","10.43","12.56"
"48020","Bilbao","5.51","5.47","5.53","6.08"
"48021","Busturia","5.56","6.15","6.29","7.49"
"01017","Campezo/Kanpezu","6.91","6.09","7.39","10.26"
"20029","Deba","5.10","5.28","5.76","5.61"
"48901","Derio","5.93","5.42","5.15","6.43"
"48026","Dima","6.16","5.12","5.65","6.78"
"20069","Donostia / San Sebastián","4.33","4.43","4.54","4.77"
"48027","Durango","3.73","3.90","3.94","4.45"
"48028","Ea","12.50","13.50","12.55","12.59"
"20030","Eibar","3.78","3.98","3.92","4.24"
"48031","Elantxobe","4.95","5.00","5.26","4.12"
"01021","Elburgo/Burgelu","4.91","4.96","4.04","3.60"
"01022","Elciego","2.98","2.65","2.71","3.55"
"20031","Elduain","1.87","3.00","3.09","3.00"
"20033","Elgeta","2.06","1.91","2.44","3.53"
"20032","Elgoibar","3.79","3.68","3.45","3.67"
"48032","Elorrio","2.57","2.74","2.60","2.67"
"01023","Elvillar/Bilar","3.20","2.24","2.29","3.62"
"48902","Erandio","6.80","6.95","7.37","8.03"
"48033","Ereño","9.30","7.79","6.02","8.89"
"48034","Ermua","5.40","5.59","6.10","6.36"
"20067","Errenteria","6.78","6.87","7.02","7.15"
"20066","Errezil","8.53","8.47","10.12","11.24"
"01046","Erriberagoitia/Ribera Alta","7.36","7.11","8.37","8.76"
"48079","Errigoiti","7.19","7.53","8.67","9.74"
"20034","Eskoriatza","4.37","5.12","4.42","5.08"
"48029","Etxebarri","7.69","7.69","8.19","8.63"
"48030","Etxebarria","6.06","5.69","6.08","6.64"
"20035","Ezkio-Itsaso","6.64","8.30","8.97","9.05"
"48906","Forua","10.17","11.94","8.75","10.19"
