"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","10.22","-0.67","-2.00","-1.73","2.93","-0.92","-7.10","-1.20","3.34","1.04","1.37","2.81","5.03","6.50"
"20001","Abaltzisketa","-31.88","9.52","-11.89","-14.37","17.61","-8.97","-6.59","14.38","22.69","10.19","54.29","32.08","35.90","-54.65"
"48002","Abanto y Ciérvana-Abanto Zierbena","-1.80","0.24","-4.33","-7.45","1.29","-7.10","-6.25","0.04","3.30","5.95","6.42","-0.83","5.47","11.06"
"20002","Aduna","-0.39","-6.39","5.47","-9.86","2.35","0.00","-8.58","1.53","1.89","-2.38","10.54","-3.58","1.76","-4.38"
"20016","Aia","1.50","-0.53","-6.39","-7.06","12.19","-2.24","-9.41","-0.46","1.40","-2.72","5.65","13.71","4.31","9.71"
"20003","Aizarnazabal","0.80","-0.79","-7.77","-12.71","-5.41","-1.96","-7.12","4.38","1.35","-4.43","7.97","3.08","4.28","-0.85"
"48911","Ajangiz","7.29","1.03","2.78","-3.16","11.72","6.17","-10.98","-8.77","9.07","-0.39","-13.67","18.37","6.11","0.74"
"20004","Albiztur","46.34","-38.35","-6.34","-5.96","4.86","-8.86","2.60","-0.65","4.03","3.47","29.73","6.73","0.97","3.00"
"20005","Alegia","4.38","-2.77","3.52","1.79","19.89","0.54","-2.89","-6.16","2.27","-8.53","7.69","0.50","-4.07","0.97"
"01001","Alegría-Dulantzi","-2.51","-1.38","-0.41","-4.95","-5.19","-7.54","1.16","3.47","11.76","-0.40","13.79","10.18","-3.70","13.30"
"20006","Alkiza","-7.50","5.26","1.33","4.17","26.32","-1.72","3.57","5.66","8.16","19.51","5.13","-7.14","7.69","0.00"
"48912","Alonsotegi","-0.64","-3.56","4.89","-6.39","-8.29","-12.48","-11.32","7.66","2.46","-1.03","-4.56","10.79","-10.38","4.06"
"20906","Altzaga","8.33","9.09","-21.43","12.00","31.58","-9.52","10.53","5.56","0.00","5.88","-51.43","-2.78","140.00","-16.67"
"20007","Altzo","-3.30","6.69","-1.73","2.85","-5.70","3.11","-2.03","-13.49","8.60","34.19","7.34","4.81","-12.97","10.65"
