"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48014","Barrika","47.22","30.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01013","Barrundia","30.25","20.79","0.00","0.00","0.00","154.14","0.00","0.00","164.61","166.32","172.41","176.21"
"48015","Basauri","157.87","84.19","4.45","4.45","4.45","4.45","4.45","4.45","0.00","0.00","0.00","0.00"
"01011","Baños de Ebro/Mañueta","7.41","7.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20019","Beasain","90.85","58.36","14.87","14.98","14.95","15.34","15.61","15.61","0.00","0.00","0.00","0.00"
"48092","Bedia","33.96","5.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20020","Beizama","12.20","12.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","26.79","8.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48016","Berango","57.84","24.88","59.41","59.48","59.46","59.48","59.58","59.69","51.00","51.60","0.00","0.00"
"01014","Berantevilla","21.54","16.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","25.50","14.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20074","Bergara","74.34","45.69","5.08","5.08","5.13","5.14","5.24","5.28","2.66","2.69","2.74","2.82"
"48017","Bermeo","42.77","16.27","6.23","6.23","6.23","6.23","0.00","0.00","0.00","0.00","0.00","0.00"
"01016","Bernedo","27.47","5.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48018","Berriatua","20.24","8.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48019","Berriz","86.16","63.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20023","Berrobi","39.29","17.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20024","Bidania-Goiatz","29.20","25.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48020","Bilbao","163.43","95.19","13.93","13.37","12.35","12.35","10.78","9.16","5.40","5.40","5.27","4.00"
"48021","Busturia","20.72","9.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01017","Campezo/Kanpezu","13.99","6.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20029","Deba","93.57","47.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48901","Derio","116.99","88.21","32.19","32.19","32.19","32.59","33.85","35.47","33.04","34.06","34.66","35.51"
"48026","Dima","24.93","14.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20069","Donostia / San Sebastián","195.90","125.77","13.33","12.23","10.25","8.68","6.87","6.90","1.43","1.44","1.21","1.23"
"48027","Durango","88.98","32.91","10.32","10.72","10.79","10.76","4.88","4.92","4.92","2.49","0.00","0.00"
"48028","Ea","14.30","4.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20030","Eibar","122.51","79.04","9.13","9.13","9.22","4.97","0.00","0.00","0.00","0.00","0.00","0.00"
"48031","Elantxobe","38.74","7.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","21.05","7.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01022","Elciego","30.81","24.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20031","Elduain","9.62","9.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20033","Elgeta","41.95","11.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20032","Elgoibar","58.08","43.51","52.62","52.67","32.75","33.24","33.49","33.65","33.80","35.27","9.00","9.08"
"48032","Elorrio","60.22","37.52","0.00","0.00","0.00","4.84","4.84","4.92","0.00","0.00","0.00","0.00"
"01023","Elvillar/Bilar","11.86","3.95","63.24","63.49","66.95","66.95","67.23","67.51","0.00","0.00","0.00","0.00"
