"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","51.37","51.73","52.19","54.18","53.51","50.81","51.22","52.98","56.62","53.66","60.23","61.43","54.32","54.39"
"20001","Abaltzisketa","36.36","33.33","28.57","22.22","14.29","22.22","0.00","16.67","16.67","20.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","43.02","42.41","47.88","44.55","47.83","47.83","43.08","42.68","40.91","41.86","45.76","41.84","40.96","43.28"
"20002","Aduna","66.67","75.00","80.00","50.00","75.00","62.50","63.64","58.33","63.64","60.00","50.00","60.00","100.00","100.00"
"20016","Aia","59.30","59.26","59.52","58.82","60.19","68.18","71.55","76.04","60.71","66.67","78.26","70.00","66.67","54.55"
"20003","Aizarnazabal","57.81","59.21","55.13","52.50","56.94","53.23","56.25","61.82","68.75","75.76","88.10","92.73","93.33","100.00"
"48911","Ajangiz","0.00","28.57","42.86","0.00","55.56","45.45","33.33","42.86","16.67","0.00","37.50","25.00","20.00","33.33"
"20004","Albiztur","20.00","25.00","40.00","66.67","33.33","33.33","33.33","60.00","80.00","100.00","100.00","66.67","66.67","50.00"
"20005","Alegia","53.42","53.47","53.90","51.15","55.38","58.40","60.38","62.73","55.29","50.91","51.22","63.33","53.57","58.33"
"01001","Alegría-Dulantzi","51.79","53.24","53.60","52.07","54.51","58.70","56.82","51.53","53.44","53.51","54.35","50.63","48.21","53.33"
"20006","Alkiza","28.57","36.36","40.00","40.00","40.00","14.29","25.00","20.00","25.00","40.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","37.74","43.12","45.74","45.38","43.61","44.44","46.81","51.52","41.67","49.25","46.77","50.98","58.33","65.38"
"20906","Altzaga","0.00","0.00","40.00","40.00","33.33","50.00","50.00","50.00","40.00","60.00","0.00","0.00","60.00","60.00"
"20007","Altzo","73.33","70.00","100.00","53.33","53.85","61.54","55.56","54.55","61.54","70.00","100.00","100.00","100.00","100.00"
"20008","Amezketa","32.08","35.56","37.50","37.50","44.90","55.32","71.64","73.77","76.60","63.64","66.67","75.00","75.00","50.00"
"48003","Amorebieta-Etxano","52.39","49.93","50.57","53.88","56.66","52.97","51.84","50.68","51.05","49.67","50.59","50.74","54.05","57.78"
"48004","Amoroto","27.27","42.86","57.14","50.00","57.14","70.00","60.00","63.64","45.45","50.00","55.56","50.00","60.00","44.44"
"01002","Amurrio","50.58","51.71","53.06","56.25","54.56","56.69","56.34","55.73","55.82","54.68","55.90","54.66","47.27","46.96"
"20009","Andoain","50.00","50.15","50.81","52.06","53.57","53.97","56.64","55.42","54.08","52.63","52.68","51.21","52.46","56.76"
"20010","Anoeta","58.82","57.76","55.14","64.00","64.29","58.14","47.52","49.49","58.57","53.19","53.66","52.94","51.52","50.00"
"20011","Antzuola","56.58","61.45","63.86","63.53","58.33","54.84","55.68","59.22","55.68","55.13","59.70","61.90","65.00","61.11"
"48005","Arakaldo","33.33","50.00","80.00","75.00","66.67","75.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","41.18","50.00","52.63","31.58","38.46","40.00","50.00","37.50","33.33","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","57.69","55.26","45.45","50.00","42.50","37.04","44.12","40.00","50.00","58.82","64.00","60.71","61.90","70.00"
"48006","Arantzazu","25.00","41.67","36.36","41.18","42.11","50.00","57.14","62.50","37.50","50.00","100.00","100.00","100.00","100.00"
"48093","Areatza","50.00","47.73","44.95","48.15","50.35","47.37","48.12","45.04","50.86","48.48","48.31","46.67","65.12","66.67"
"20013","Aretxabaleta","50.00","57.94","61.66","63.82","64.72","63.19","61.19","64.93","63.78","64.11","59.68","63.10","61.11","57.14"
"01006","Armiñón","54.55","45.00","47.06","41.67","42.86","50.00","57.14","75.00","75.00","66.67","50.00","50.00","50.00","50.00"
"01037","Arraia-Maeztu","43.33","42.31","47.83","44.44","37.93","36.36","38.89","46.51","46.67","48.84","51.06","52.17","50.00","57.14"
"48009","Arrankudiaga","60.00","50.00","66.67","58.33","58.33","60.00","58.33","64.71","66.67","69.23","100.00","100.00","100.00","100.00"
"20055","Arrasate/Mondragón","52.88","54.77","55.43","53.72","53.61","52.50","51.68","51.28","49.44","48.38","51.38","50.36","52.81","48.53"
"48914","Arratzu","53.85","53.33","63.64","66.67","66.67","62.50","66.67","72.73","70.00","66.67","75.00","66.67","66.67","66.67"
"01008","Arratzua-Ubarrundia","59.09","65.38","57.14","59.09","50.00","64.71","52.38","48.00","35.71","33.33","47.06","66.67","62.50","60.00"
"48010","Arrieta","36.84","40.91","41.67","40.00","48.28","40.00","45.00","47.37","47.37","45.00","37.50","42.86","50.00","60.00"
"48011","Arrigorriaga","50.34","50.00","47.53","48.06","52.29","52.78","53.19","50.80","51.26","50.00","49.03","51.58","52.63","52.63"
"48023","Artea","36.00","51.22","50.00","48.15","50.77","48.48","46.67","40.00","46.15","38.10","38.46","62.96","57.58","72.73"
"48008","Artzentales","42.86","38.46","23.08","19.05","68.09","64.00","65.12","66.67","66.67","33.33","41.67","36.36","28.57","25.00"
"01004","Artziniega","50.00","50.00","50.79","57.69","53.33","48.33","46.94","47.25","49.37","46.67","44.68","39.53","38.30","39.29"
"01009","Asparrena","48.89","47.47","48.21","51.54","54.61","54.96","55.47","55.46","50.60","49.21","48.33","35.29","31.25","46.67"
"20014","Asteasu","53.45","57.38","65.31","58.49","53.85","50.00","49.02","50.00","50.88","52.63","48.48","60.71","62.50","59.09"
"20903","Astigarraga","54.11","54.43","53.74","55.45","54.84","55.34","53.53","59.77","59.17","57.22","55.00","52.38","53.29","56.62"
"20015","Ataun","50.62","57.38","54.69","57.81","50.00","51.39","51.56","52.63","50.00","40.00","32.00","28.57","22.22","33.33"
"48091","Atxondo","54.17","52.27","57.14","56.36","54.55","54.55","54.72","53.85","46.51","57.50","58.33","54.29","48.15","54.55"
"48070","Aulesti","30.00","50.00","60.00","57.14","64.29","70.00","50.00","40.00","57.14","50.00","66.67","50.00","50.00","50.00"
"01010","Ayala/Aiara","48.84","46.81","39.62","37.25","48.28","50.00","59.52","55.56","44.83","48.65","48.57","60.00","50.00","37.50"
"20017","Azkoitia","54.12","55.79","57.46","58.65","60.39","58.92","61.89","63.88","63.36","61.22","63.72","63.84","59.51","57.63"
"20018","Azpeitia","56.40","57.38","55.99","54.90","55.58","55.32","55.67","58.48","55.34","57.97","58.03","56.67","57.99","56.59"
"01049","Añana","50.00","42.86","54.55","58.33","54.55","37.50","50.00","50.00","0.00","0.00","33.33","66.67","100.00","0.00"
"48012","Bakio","44.33","46.46","47.75","49.58","47.55","45.53","44.00","50.45","46.07","39.77","42.11","48.15","42.50","53.57"
"20904","Baliarrain","45.45","41.67","0.00","0.00","33.33","25.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","48.45","50.00","50.72","50.00","48.52","46.70","46.17","48.66","50.33","50.22","53.04","52.26","51.80","53.25"
"48013","Barakaldo","49.09","49.34","49.62","50.39","51.17","51.27","50.91","50.96","50.41","48.41","49.23","48.92","49.29","49.72"
"48014","Barrika","50.00","42.00","43.40","44.68","51.06","45.16","44.64","50.00","52.00","53.06","46.15","37.50","46.67","57.69"
"01013","Barrundia","58.82","58.62","57.58","56.76","55.26","57.50","57.45","60.53","61.76","60.71","51.85","50.00","50.00","38.46"
"48015","Basauri","51.90","52.25","52.81","52.63","51.15","51.80","53.16","51.91","51.96","50.71","49.72","49.86","49.36","51.03"
