"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2006"
"48014","Barrika","21.81","21.81","21.81","21.30","21.30","19.26","19.26","19.49","19.47","19.47"
"01013","Barrundia","2.43","2.43","2.43","2.43","2.44","2.44","2.44","2.44","2.44","2.44"
"48015","Basauri","7.36","7.36","7.36","7.36","7.36","7.43","7.43","7.43","7.37","7.37"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20019","Beasain","20.91","20.90","20.90","21.02","21.02","21.11","21.11","21.11","21.11","12.65"
"48092","Bedia","42.06","42.06","42.06","42.06","42.06","41.78","41.78","41.78","41.78","41.78"
"20020","Beizama","15.44","15.47","15.47","15.48","15.48","15.43","15.17","15.17","15.17","15.19"
"20021","Belauntza","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48016","Berango","17.50","17.50","17.50","17.50","17.50","1.11","1.12","1.12","1.12","1.12"
"01014","Berantevilla","26.10","26.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","28.01","28.01","28.08","28.11","32.91","46.59","46.59","46.56","46.56","46.56"
"20074","Bergara","8.44","8.44","8.44","8.44","8.44","8.40","8.28","4.72","4.72","4.72"
"48017","Bermeo","13.57","13.57","13.01","13.01","13.01","12.85","12.85","12.85","12.84","12.70"
"01016","Bernedo","30.02","30.02","30.02","30.03","30.03","30.11","30.11","30.11","30.11","30.11"
"48018","Berriatua","23.04","23.04","23.02","23.24","23.24","22.00","24.69","24.69","24.70","24.71"
"48019","Berriz","64.65","64.65","64.65","64.57","64.08","63.88","63.88","63.88","63.82","63.82"
"20023","Berrobi","24.76","26.11","26.01","25.88","25.88","27.43","28.44","28.44","28.44","1.22"
"20024","Bidania-Goiatz","6.09","5.36","5.36","5.46","5.46","5.49","13.90","13.89","13.89","13.89"
"48020","Bilbao","24.70","24.70","24.70","24.28","21.53","24.45","24.51","25.34","25.38","25.53"
"48021","Busturia","19.05","19.05","19.00","19.00","19.00","19.14","19.14","19.15","19.16","19.16"
"01017","Campezo/Kanpezu","11.56","11.56","11.56","11.56","11.56","11.58","11.64","11.64","11.64","11.64"
"20029","Deba","13.44","13.44","13.00","13.02","13.02","13.00","12.60","12.60","12.59","8.61"
"48901","Derio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48026","Dima","49.04","49.04","49.11","49.10","49.11","49.49","49.49","27.07","27.06","52.33"
"20069","Donostia / San Sebastián","15.22","15.22","15.22","15.22","15.22","15.26","2.04","2.04","2.04","2.04"
"48027","Durango","19.16","19.13","19.13","19.13","19.13","18.81","19.14","19.14","19.22","19.22"
"48028","Ea","9.78","21.03","21.09","21.09","21.08","20.73","20.73","20.73","20.75","20.75"
"20030","Eibar","1.51","1.51","1.51","1.50","1.50","1.50","1.66","1.66","14.94","7.19"
"48031","Elantxobe","66.87","66.87","66.87","67.16","67.16","64.95","64.95","65.05","65.16","65.16"
"01021","Elburgo/Burgelu","3.15","3.15","3.15","3.14","3.14","3.12","3.12","3.12","3.12","3.12"
"01022","Elciego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20031","Elduain","78.05","78.05","77.61","77.58","77.56","78.22","78.22","78.19","78.19","78.19"
"20033","Elgeta","4.38","4.38","4.38","4.44","4.44","4.60","4.56","4.56","4.56","4.56"
"20032","Elgoibar","8.62","8.62","8.62","9.17","9.17","9.10","9.06","9.06","9.06","9.06"
"48032","Elorrio","4.04","4.04","4.04","4.01","4.01","42.43","42.43","42.43","42.43","42.43"
"01023","Elvillar/Bilar","2.72","2.72","2.72","2.72","2.72","0.00","0.00","0.00","0.00","0.00"
"48902","Erandio","5.76","5.76","6.45","5.91","5.91","6.18","6.36","6.36","6.35","6.35"
"48033","Ereño","30.02","30.01","30.01","30.10","30.71","30.20","30.20","30.20","30.18","30.18"
"48034","Ermua","16.19","3.67","3.67","3.67","3.67","3.84","3.84","3.84","3.84","3.84"
"20067","Errenteria","21.14","21.14","21.14","21.13","21.13","20.90","21.14","21.14","21.14","21.14"
"20066","Errezil","55.07","54.98","54.98","55.00","54.98","54.51","54.95","54.95","54.95","54.96"
"01046","Erriberagoitia/Ribera Alta","15.98","15.98","15.98","15.98","15.98","16.02","16.02","16.02","16.02","16.01"
"48079","Errigoiti","3.99","3.97","3.97","3.97","3.97","3.99","3.99","3.99","3.99","3.99"
"20034","Eskoriatza","15.54","15.54","15.54","15.54","16.42","16.35","16.35","16.35","16.35","35.22"
"48029","Etxebarri","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48030","Etxebarria","17.30","17.30","17.30","17.52","17.52","17.63","17.34","17.34","17.35","17.35"
"20035","Ezkio-Itsaso","14.05","14.05","14.05","14.07","14.07","14.07","14.07","14.07","14.07","14.32"
"48906","Forua","31.51","31.51","31.49","31.64","32.41","30.44","30.06","30.06","30.06","30.06"
"48035","Fruiz","21.28","21.28","21.28","21.28","21.28","21.02","21.39","21.39","21.38","21.46"
"20038","Gabiria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20037","Gaintza","3.82","3.82","3.82","3.82","3.82","3.77","3.77","3.77","3.77","3.77"
"48036","Galdakao","6.94","7.02","7.02","7.02","7.02","6.93","6.93","6.93","6.90","6.90"
"48037","Galdames","30.32","30.32","30.32","28.93","28.93","28.91","28.85","28.85","28.85","28.85"
"48038","Gamiz-Fika","14.09","13.85","13.85","13.85","13.85","13.61","13.61","13.45","13.45","6.92"
