"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","23.17","27.03","26.41","13.36","10.22","16.92","13.61","12.90","11.59","13.01","11.91"
"20001","Abaltzisketa","25.00","12.50","14.29","16.67","0.00","0.00","44.44","11.76","25.00","21.05","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","27.17","31.65","26.37","20.09","15.15","25.56","17.02","14.67","13.48","25.77","20.92"
"20002","Aduna","22.89","48.48","19.15","25.81","13.51","15.79","8.57","9.33","15.58","15.79","9.43"
"20016","Aia","32.20","15.56","28.57","15.00","21.05","12.24","30.43","19.57","15.69","20.00","19.05"
"20003","Aizarnazabal","38.89","20.00","16.67","41.67","5.88","25.00","5.88","16.67","17.07","7.89","21.43"
"48911","Ajangiz","0.00","50.00","20.00","0.00","0.00","0.00","0.00","25.00","0.00","100.00","33.33"
"20004","Albiztur","40.00","0.00","0.00","100.00","60.00","50.00","0.00","7.69","0.00","16.67","26.32"
"20005","Alegia","17.58","13.64","28.85","26.32","25.00","13.51","20.00","11.11","20.00","13.64","8.00"
"01001","Alegría-Dulantzi","25.93","20.59","34.15","25.64","9.76","32.79","21.62","13.64","20.41","10.00","10.42"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","42.86","40.00","25.00","12.50","30.77","22.22"
"48912","Alonsotegi","35.14","9.68","21.57","26.32","7.14","33.33","10.71","22.06","28.79","23.75","14.89"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","16.67","30.00","0.00","25.00","33.33","0.00","16.67","18.18","14.29","24.24","16.67"
"20008","Amezketa","4.55","17.65","22.22","18.18","12.50","21.05","33.33","11.11","25.00","6.25","8.33"
"48003","Amorebieta-Etxano","28.73","25.23","26.92","23.30","19.86","20.79","16.88","19.41","14.92","14.87","17.04"
"48004","Amoroto","36.36","40.00","40.00","33.33","0.00","16.67","40.00","15.00","20.83","17.65","21.95"
"01002","Amurrio","26.79","29.96","17.46","16.59","14.21","14.34","15.84","17.19","17.92","20.90","16.27"
"20009","Andoain","30.21","23.47","22.82","21.45","15.11","23.39","15.09","12.87","22.61","14.25","13.71"
"20010","Anoeta","26.60","20.69","14.67","26.74","18.52","19.72","13.79","17.24","14.00","11.76","27.91"
"20011","Antzuola","40.43","42.31","35.71","38.89","30.00","18.18","20.00","9.52","32.14","18.75","0.00"
"48005","Arakaldo","60.00","25.00","50.00","0.00","0.00","15.38","12.50","0.00","15.79","8.33","26.32"
"20012","Arama","25.81","9.09","0.00","0.00","11.11","4.55","9.09","29.41","3.23","20.00","14.29"
"01003","Aramaio","57.14","14.29","50.00","0.00","66.67","16.67","50.00","12.50","23.08","20.00","20.00"
