"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","22.17","26.61","28.38","29.23","33.45","36.24","60.33","53.77","41.96","31.79","30.43"
"20001","Abaltzisketa","6.17","6.08","3.04","3.03","3.09","3.12","3.07","3.15","3.15","3.29","3.39"
"48002","Abanto y Ciérvana-Abanto Zierbena","23.49","24.08","29.93","25.82","27.19","27.08","31.16","30.60","29.77","29.45","30.91"
"20002","Aduna","36.17","36.17","8.49","4.38","6.64","4.42","2.33","5.32","5.32","5.41","5.43"
"20016","Aia","11.24","11.21","10.79","6.87","6.91","7.49","7.47","7.01","5.39","8.75","6.77"
"20003","Aizarnazabal","23.23","19.35","20.65","15.58","13.05","15.01","18.36","29.10","45.94","51.72","53.75"
"48911","Ajangiz","29.85","26.14","4.32","6.67","8.75","15.28","6.67","6.74","13.48","11.31","11.34"
"20004","Albiztur","6.06","3.12","3.06","3.11","3.16","3.21","6.35","3.18","3.18","0.00","0.00"
"20005","Alegia","21.97","20.10","20.64","15.95","13.55","19.69","22.86","24.56","26.90","22.53","17.95"
"01001","Alegría-Dulantzi","17.51","19.08","20.51","9.76","10.46","7.49","8.47","10.54","10.54","9.54","7.31"
"20006","Alkiza","5.59","2.76","5.36","2.63","2.70","5.60","5.67","5.76","5.76","6.21","0.00"
"48912","Alonsotegi","31.15","27.31","29.19","28.65","22.50","22.70","22.63","24.73","21.90","18.19","17.95"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","6.25","6.29","6.37","0.00","0.00","0.00"
"20007","Altzo","16.95","17.28","20.00","7.33","2.43","2.47","2.51","5.00","2.50","5.28","2.79"
"20008","Amezketa","7.46","5.31","5.17","1.03","0.00","0.00","2.01","2.03","4.07","5.24","3.08"
"48003","Amorebieta-Etxano","24.13","24.55","21.37","16.09","18.47","19.46","22.48","24.34","25.93","28.67","35.00"
"48004","Amoroto","7.06","14.63","4.80","0.00","0.00","0.00","0.00","2.48","2.48","2.44","2.53"
"01002","Amurrio","18.23","23.00","29.79","28.50","34.21","41.44","44.78","43.88","40.89","39.17","33.33"
"20009","Andoain","35.45","36.34","44.35","41.97","45.06","47.86","50.27","50.60","49.77","53.75","52.83"
"20010","Anoeta","34.05","30.63","23.77","24.57","19.67","21.29","18.38","17.67","19.88","19.03","15.19"
"20011","Antzuola","2.76","8.21","10.49","5.94","7.81","6.40","5.09","8.39","11.66","9.43","5.79"
"48005","Arakaldo","31.85","19.11","13.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","19.42","14.29","4.61","4.61","5.00","4.98","4.59","0.00","0.00","5.43","5.78"
"01003","Aramaio","9.32","9.22","15.56","12.07","9.91","10.03","10.02","32.24","42.31","44.21","44.30"
"48006","Arantzazu","7.96","7.85","10.53","5.49","5.56","8.47","9.23","13.03","13.03","13.11","10.20"
"48093","Areatza","18.12","11.72","20.64","25.26","21.21","22.90","42.03","37.84","34.23","32.41","29.85"
"20013","Aretxabaleta","17.45","19.07","23.02","17.46","19.12","22.75","29.10","32.95","35.66","49.40","48.38"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.05","0.00","0.00"
"01037","Arraia-Maeztu","11.08","11.24","16.81","5.47","6.77","5.54","7.06","8.49","5.66","5.57","5.49"
"48009","Arrankudiaga","18.26","19.53","8.21","10.37","10.41","8.57","6.52","11.30","12.43","12.97","16.99"
"20055","Arrasate/Mondragón","22.65","22.49","38.86","36.55","41.99","43.24","47.48","53.88","56.29","54.17","52.62"
"48914","Arratzu","19.56","14.78","12.56","15.50","10.31","12.85","2.64","2.79","8.38","8.50","5.70"
"01008","Arratzua-Ubarrundia","6.13","9.03","14.08","2.04","4.07","7.36","4.38","4.43","7.76","5.68","9.28"
"48010","Arrieta","8.90","6.99","17.45","3.67","3.63","1.85","3.58","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","34.50","34.28","41.62","37.82","38.72","39.73","46.93","43.71","41.29","47.16","44.83"
"48023","Artea","14.73","13.02","16.77","17.11","15.33","16.60","23.68","24.76","26.13","16.15","13.33"
"48008","Artzentales","14.80","8.22","6.93","1.37","1.32","4.04","5.49","2.82","4.23","1.46","2.91"
"01004","Artziniega","9.24","8.75","14.85","12.01","9.13","9.22","9.90","7.37","7.37","5.88","4.90"
"01009","Asparrena","8.59","13.96","22.40","16.16","18.85","13.06","13.10","15.05","15.67","20.28","25.27"
"20014","Asteasu","21.26","17.70","19.70","18.51","18.52","22.13","15.61","16.80","17.47","10.30","6.32"
"20903","Astigarraga","80.44","80.87","40.65","25.26","24.00","26.98","28.67","31.40","33.83","32.15","28.76"
"20015","Ataun","4.70","8.96","16.47","11.30","11.90","11.98","10.78","11.49","12.70","10.01","10.80"
"48091","Atxondo","12.37","15.97","30.15","28.14","34.63","36.39","32.80","20.60","19.23","8.98","8.33"
"48070","Aulesti","6.08","6.08","3.06","6.17","4.48","7.34","7.35","4.41","17.65","20.77","2.97"
"01010","Ayala/Aiara","5.09","7.17","9.56","7.16","5.83","10.07","9.55","11.07","11.07","6.83","6.86"
"20017","Azkoitia","19.94","18.68","26.83","27.39","29.06","30.92","32.16","32.82","28.76","25.22","16.63"
"20018","Azpeitia","18.82","17.44","25.31","24.05","24.47","32.75","47.89","50.29","47.82","25.40","14.21"
"01049","Añana","12.58","6.37","36.36","12.99","6.02","0.00","5.71","5.68","5.68","11.05","10.99"
"48012","Bakio","23.81","26.65","25.24","23.97","22.27","24.39","31.98","34.54","47.83","56.65","53.45"
