"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","6.85","7.65","8.89","9.47","7.78","6.08","6.28","6.29","4.77","3.36","2.79","3.28","1.90","2.01"
"20001","Abaltzisketa","3.96","3.96","4.21","7.14","11.22","6.12","2.17","3.49","2.53","2.67","2.86","1.43","1.43","3.03"
"48002","Abanto y Ciérvana-Abanto Zierbena","11.57","12.76","12.41","13.21","12.00","10.83","8.80","8.38","6.35","5.39","5.62","7.02","5.55","4.51"
"20002","Aduna","7.50","10.83","8.73","9.84","9.02","5.31","4.59","5.00","3.33","4.65","3.61","3.61","2.38","3.80"
"20016","Aia","4.99","5.95","6.46","6.37","5.58","4.77","6.22","5.01","5.25","4.00","3.63","3.85","2.77","2.89"
"20003","Aizarnazabal","13.53","13.53","13.66","16.58","19.69","17.49","9.89","8.47","5.65","5.71","3.68","2.45","3.95","2.04"
"48911","Ajangiz","3.92","3.92","1.27","2.65","3.31","1.35","2.74","5.67","4.35","0.74","1.56","2.34","3.42","0.00"
"20004","Albiztur","4.82","2.41","4.88","8.43","3.61","2.41","1.32","1.32","0.00","2.33","2.67","1.33","1.43","3.03"
"20005","Alegia","7.92","12.50","12.42","12.02","10.09","11.52","11.75","9.95","7.24","7.28","6.73","5.49","4.51","4.53"
"01001","Alegría-Dulantzi","9.41","10.05","9.84","11.36","10.76","7.68","6.16","6.85","4.46","3.24","1.52","2.02","2.08","4.02"
"20006","Alkiza","9.68","10.75","8.79","10.64","6.38","3.19","3.26","6.67","6.74","3.61","2.50","2.50","5.71","1.56"
"48912","Alonsotegi","13.64","14.52","15.57","15.17","14.79","13.32","10.91","9.28","9.03","7.48","6.86","7.27","6.10","4.37"
"20906","Altzaga","6.98","4.65","7.32","5.26","2.63","5.56","2.78","0.00","3.03","2.70","0.00","0.00","0.00","0.00"
"20007","Altzo","5.38","6.15","9.77","12.98","12.98","11.81","11.02","7.14","4.76","3.09","4.60","6.90","5.26","2.82"
"20008","Amezketa","6.11","9.16","8.30","7.20","4.55","4.06","3.00","5.22","4.69","2.42","0.81","1.22","2.07","1.26"
"48003","Amorebieta-Etxano","7.94","8.37","9.22","9.54","8.56","6.47","6.78","6.66","4.81","3.08","3.15","3.22","2.75","2.69"
"48004","Amoroto","2.27","1.52","2.46","1.56","1.56","0.81","0.00","1.61","2.40","1.82","3.96","6.93","3.33","2.67"
"01002","Amurrio","12.15","12.60","13.22","12.75","11.21","9.41","8.02","7.13","4.96","4.74","4.48","4.88","4.69","4.30"
"20009","Andoain","9.91","11.15","11.85","11.72","11.50","10.19","10.55","9.62","7.39","6.77","6.11","5.83","4.91","5.03"
"20010","Anoeta","10.09","9.04","12.17","10.55","10.91","10.39","8.67","7.78","7.39","6.67","7.26","6.65","4.78","5.30"
"20011","Antzuola","5.89","6.24","7.18","7.72","7.17","6.68","7.66","7.58","5.70","3.95","3.14","3.33","2.18","1.22"
"48005","Arakaldo","14.29","11.90","10.53","11.54","3.85","13.04","0.00","5.26","0.00","0.00","5.56","5.56","5.88","6.25"
"20012","Arama","5.45","10.91","7.69","3.70","5.56","2.00","3.77","3.57","4.08","4.35","2.38","0.00","0.00","0.00"
"01003","Aramaio","2.32","2.74","2.30","2.40","2.18","1.97","3.51","3.26","3.33","2.44","1.79","2.30","1.53","1.62"
"48006","Arantzazu","6.67","3.81","7.62","6.73","2.88","4.04","1.94","5.49","2.30","1.20","3.75","5.00","2.70","1.43"
"48093","Areatza","6.71","10.79","10.95","11.78","9.37","8.62","5.81","5.12","4.08","4.66","3.31","1.84","2.25","1.20"
"20013","Aretxabaleta","6.51","6.77","7.49","7.01","7.22","6.89","6.80","7.53","5.37","4.72","3.88","3.29","1.71","0.91"
"01006","Armiñón","14.93","8.96","9.09","8.47","5.08","5.26","7.41","3.77","2.08","4.17","4.55","4.55","2.78","3.03"
"01037","Arraia-Maeztu","6.88","5.05","8.10","10.24","10.73","7.84","8.61","6.19","5.24","3.81","4.33","4.33","2.75","3.30"
"48009","Arrankudiaga","7.36","6.13","6.75","9.44","10.49","7.25","8.12","8.33","7.72","4.72","4.11","6.39","5.31","3.92"
"20055","Arrasate/Mondragón","9.37","10.11","9.89","9.06","8.59","7.44","8.08","8.70","5.71","4.26","3.89","3.80","2.79","2.13"
"48914","Arratzu","3.03","3.03","3.23","1.59","1.59","0.00","2.44","5.08","4.46","0.90","1.90","1.90","0.97","1.96"
"01008","Arratzua-Ubarrundia","3.32","3.60","4.10","4.71","5.82","5.68","5.32","4.46","5.00","3.75","3.96","3.60","3.70","3.93"
"48010","Arrieta","5.19","5.66","5.31","9.09","5.88","3.74","5.68","7.41","5.13","2.84","3.91","2.34","1.64","3.77"
"48011","Arrigorriaga","10.37","11.95","11.89","12.90","12.29","11.00","10.43","9.34","8.23","7.08","6.43","6.57","6.12","6.13"
"48023","Artea","7.39","10.00","9.79","6.49","7.79","5.60","5.36","4.13","4.09","5.18","4.84","2.15","3.30","4.24"
"48008","Artzentales","12.26","13.79","11.20","12.88","10.98","7.84","8.37","7.33","6.11","6.67","6.76","5.80","6.19","8.33"
"01004","Artziniega","10.63","11.01","9.28","10.21","10.79","8.88","8.37","7.81","6.82","6.86","5.61","4.59","4.32","4.89"
"01009","Asparrena","9.47","9.84","10.78","9.79","9.23","6.80","4.23","3.33","2.34","2.18","3.26","4.26","2.68","1.71"
"20014","Asteasu","5.16","5.40","5.61","7.05","7.05","5.06","3.95","4.42","4.14","3.79","3.18","3.18","2.01","2.72"
"20903","Astigarraga","7.90","9.00","8.80","10.69","9.04","7.50","6.07","6.38","4.70","4.79","5.05","4.86","3.23","3.40"
"20015","Ataun","6.31","4.91","5.21","4.95","4.95","4.58","4.62","4.13","2.20","1.52","1.28","1.02","1.01","1.28"
"48091","Atxondo","6.13","5.42","8.41","7.54","7.10","7.21","6.13","5.52","2.59","2.72","3.05","2.58","1.22","1.29"
"48070","Aulesti","2.59","5.18","5.03","5.98","10.33","4.97","4.00","3.59","1.29","0.63","1.24","1.24","0.63","1.91"
"01010","Ayala/Aiara","7.28","8.01","7.51","7.92","7.78","6.35","5.79","4.35","2.59","2.99","2.90","5.26","3.67","4.02"
"20017","Azkoitia","9.11","10.20","11.02","11.04","9.91","7.95","7.76","6.86","4.20","3.63","3.22","3.45","3.57","3.31"
"20018","Azpeitia","7.44","9.05","11.33","11.19","9.91","7.05","6.69","6.25","4.68","3.53","3.12","3.23","3.30","3.00"
"01049","Añana","7.69","3.85","9.26","9.62","1.92","1.92","1.89","2.04","0.00","0.00","0.00","0.00","2.27","0.00"
"48012","Bakio","8.87","9.13","7.33","6.56","6.04","6.00","5.34","6.25","5.21","3.65","4.42","3.18","2.26","2.07"
"20904","Baliarrain","8.00","8.00","6.90","6.67","10.00","11.54","10.71","6.67","3.33","0.00","3.23","3.23","0.00","0.00"
"48090","Balmaseda","14.69","15.30","15.62","15.01","14.15","12.42","10.49","8.33","5.59","4.48","4.97","5.14","4.30","3.68"
"48013","Barakaldo","12.75","13.49","14.25","14.25","13.60","11.43","10.31","8.62","7.02","6.09","6.43","6.72","6.07","6.22"
"48014","Barrika","11.43","9.67","10.25","8.21","8.94","8.67","5.75","6.79","4.62","4.39","3.44","2.65","2.39","1.75"
"01013","Barrundia","4.76","5.95","6.12","7.59","6.96","4.85","4.92","2.47","1.92","1.26","1.83","0.46","0.94","1.62"
"48015","Basauri","12.98","13.46","14.41","14.23","13.33","11.50","10.93","9.82","7.93","6.77","6.81","6.99","5.59","5.80"
"01011","Baños de Ebro/Mañueta","2.02","2.02","2.97","3.03","3.03","0.00","0.00","1.10","1.09","1.14","0.00","0.00","0.00","1.25"
"20019","Beasain","6.54","7.31","8.47","7.87","8.25","7.48","6.81","6.79","5.15","3.86","3.34","3.64","3.03","3.00"
"48092","Bedia","7.16","8.06","9.97","10.20","9.54","6.42","6.83","7.17","5.43","4.08","4.17","2.50","4.00","2.88"
"20020","Beizama","7.14","5.36","4.26","10.20","10.20","4.17","2.27","2.50","0.00","0.00","0.00","2.22","0.00","0.00"
"20021","Belauntza","4.94","4.94","12.20","12.64","13.79","13.95","8.05","6.74","5.62","5.26","4.26","6.38","4.21","3.16"
"48016","Berango","7.86","7.86","8.59","9.53","8.18","7.49","6.80","5.77","4.10","4.46","4.16","4.92","3.95","3.33"
"01014","Berantevilla","4.10","4.92","4.76","4.10","3.28","3.10","2.29","3.68","1.69","1.80","1.74","1.74","0.00","1.67"
"20022","Berastegi","6.33","6.33","7.60","7.12","5.26","2.86","3.69","2.76","3.64","3.77","4.55","3.03","0.78","0.82"
"20074","Bergara","7.61","8.65","8.82","8.91","9.07","7.66","6.79","6.36","4.64","4.13","4.18","3.72","2.86","1.38"
"48017","Bermeo","8.78","8.05","8.94","9.64","8.87","7.55","6.36","5.43","5.06","4.11","3.23","3.84","2.86","2.26"
"01016","Bernedo","5.03","5.66","2.52","2.41","2.41","3.55","3.57","0.57","1.08","2.27","1.79","2.38","2.50","2.04"
