"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"20019","Beasain","1.99","1.98","1.84","1.79","1.84","1.97","1.68","1.73","2.13","2.00","2.26"
"48092","Bedia","2.80","2.54","2.17","2.70","2.40","3.23","2.74","2.59","2.98","3.53","3.72"
"20020","Beizama","2.48","2.07","2.15","1.26","1.67","2.50","1.72","2.08","2.62","3.12","2.89"
"20021","Belauntza","1.58","1.41","1.41","1.44","1.24","1.66","1.43","1.48","1.44","1.35","1.34"
"48016","Berango","4.68","4.47","4.09","5.33","4.52","5.79","4.56","3.09","2.93","2.76","2.94"
"01014","Berantevilla","2.76","2.95","2.22","2.37","2.73","1.96","1.58","1.80","1.75","1.81","1.42"
"20022","Berastegi","1.58","2.15","2.19","1.84","2.68","3.68","2.44","1.68","2.12","1.46","1.82"
"20074","Bergara","3.08","2.82","3.02","3.02","3.80","4.88","4.02","3.25","2.70","2.60","2.62"
"48017","Bermeo","2.88","2.68","2.69","3.07","2.92","2.95","2.59","2.54","2.70","2.59","2.64"
"01016","Bernedo","2.20","2.22","2.11","2.73","2.12","2.29","1.56","1.51","1.71","1.79","1.58"
"48018","Berriatua","2.52","2.16","2.68","2.55","2.56","5.11","8.36","3.85","5.08","6.78","8.11"
"48019","Berriz","2.95","2.56","2.99","2.70","3.25","3.54","2.50","3.35","2.52","2.35","2.41"
"20023","Berrobi","2.04","2.07","1.66","1.64","1.88","1.70","1.50","1.71","1.55","1.43","1.44"
"20024","Bidania-Goiatz","1.80","1.29","1.42","1.27","1.67","1.42","1.30","1.56","1.37","1.20","1.35"
"48020","Bilbao","3.49","3.36","3.36","3.53","3.45","3.65","3.00","3.21","3.27","3.13","3.08"
"48021","Busturia","1.76","2.53","3.06","2.41","2.81","2.69","2.35","1.92","2.04","2.30","1.99"
"01017","Campezo/Kanpezu","1.92","2.14","2.67","1.90","2.21","2.34","1.90","2.25","2.19","2.74","1.88"
"20029","Deba","3.09","2.70","3.56","2.74","2.37","2.88","1.98","2.06","1.97","2.10","2.17"
"48901","Derio","3.40","3.77","3.48","3.17","3.16","3.25","2.79","2.36","2.78","2.93","3.05"
"48026","Dima","3.10","3.29","3.38","2.70","3.22","2.66","2.59","2.73","2.40","2.59","2.01"
"20069","Donostia / San Sebastián","3.34","3.24","3.12","3.18","3.13","3.34","2.96","2.97","2.83","2.83","2.85"
"48027","Durango","2.85","2.81","2.60","2.79","2.73","3.10","2.43","2.55","4.00","4.20","4.03"
"48028","Ea","1.64","1.67","1.63","1.51","1.85","1.95","1.54","1.59","2.00","1.76","1.58"
"20030","Eibar","2.69","2.63","2.51","2.59","2.44","2.34","2.11","2.16","2.14","2.09","2.10"
"48031","Elantxobe","1.80","1.56","2.00","4.50","2.00","2.17","1.52","1.44","2.57","1.67","2.13"
"01021","Elburgo/Burgelu","3.11","2.98","2.92","2.72","3.11","5.40","2.65","2.12","1.83","4.00","5.30"
"01022","Elciego","2.26","2.89","2.66","2.63","2.03","3.10","1.72","1.44","1.50","1.35","1.56"
"20031","Elduain","1.63","3.20","2.44","3.00","2.82","2.50","1.58","2.00","2.22","1.53","1.39"
"20033","Elgeta","3.52","3.54","3.50","2.97","2.65","2.65","1.65","2.13","2.56","2.39","2.28"
"20032","Elgoibar","2.49","2.35","2.25","2.00","2.30","2.38","1.91","2.03","2.00","1.94","1.77"
"48032","Elorrio","4.24","3.99","3.83","3.47","3.65","3.71","3.58","3.35","2.83","2.38","2.29"
"01023","Elvillar/Bilar","2.36","2.73","2.57","2.75","2.12","2.50","1.56","1.65","1.37","1.26","1.21"
"48902","Erandio","3.46","3.03","2.83","2.95","2.54","2.52","2.14","2.19","2.11","2.11","2.24"
"48033","Ereño","13.16","13.17","11.96","4.95","1.67","2.14","2.16","2.33","2.47","1.42","1.27"
"48034","Ermua","8.16","6.24","6.72","5.01","4.70","3.92","2.21","2.70","2.39","2.08","1.83"
"20067","Errenteria","2.98","2.74","3.15","3.04","3.30","3.31","2.65","2.74","2.81","2.86","2.94"
"20066","Errezil","1.54","1.35","2.10","1.85","1.80","1.65","1.67","2.19","1.58","1.60","1.69"
"01046","Erriberagoitia/Ribera Alta","2.06","1.96","1.24","1.74","2.01","2.71","1.79","2.09","2.09","1.95","1.71"
"48079","Errigoiti","1.60","1.86","1.22","1.16","1.34","1.71","1.19","1.56","1.98","1.89","1.71"
"20034","Eskoriatza","2.29","1.92","1.78","1.66","1.58","1.88","1.70","2.91","2.00","2.12","1.92"
"48029","Etxebarri","2.01","1.90","1.98","1.90","2.06","2.07","1.96","2.30","2.43","2.41","2.34"
"48030","Etxebarria","2.26","2.50","2.50","2.92","3.08","2.98","2.93","2.56","1.92","1.66","1.63"
"20035","Ezkio-Itsaso","1.97","2.42","1.72","1.70","1.66","1.60","1.50","1.40","1.39","1.56","1.65"
"48906","Forua","5.54","4.12","3.21","4.32","3.47","2.93","2.11","3.09","4.00","4.26","4.19"
"48035","Fruiz","1.83","1.35","1.79","1.89","1.90","2.11","1.42","1.79","2.56","1.57","1.50"
"20038","Gabiria","1.60","1.97","1.72","1.69","1.48","1.68","1.31","1.47","1.60","1.48","1.41"
"20037","Gaintza","4.00","2.50","3.00","1.83","2.38","2.12","2.22","2.00","3.00","2.83","1.50"
"48036","Galdakao","2.56","2.61","2.84","2.89","2.50","2.45","2.06","2.30","2.38","2.40","2.33"
"48037","Galdames","2.31","2.43","1.62","1.90","1.89","1.86","1.79","1.77","1.76","2.04","1.76"
"48038","Gamiz-Fika","2.30","1.92","1.59","1.81","2.16","1.99","1.66","1.80","2.01","1.72","1.67"
"48039","Garai","5.83","1.31","2.14","1.44","1.40","1.38","1.40","3.56","3.29","1.88","1.50"
"48040","Gatika","4.73","4.13","4.13","3.66","3.78","2.78","2.13","2.04","2.21","1.98","2.08"
"48041","Gautegiz Arteaga","2.17","2.19","1.79","1.63","2.15","2.57","1.84","3.15","3.44","3.46","2.00"
"20907","Gaztelu","1.67","2.50","1.75","2.33","2.50","1.60","1.46","1.60","1.67","1.50","1.33"
"48046","Gernika-Lumo","2.78","2.76","2.89","2.83","3.29","3.01","2.19","2.22","2.14","2.15","2.12"
"20039","Getaria","2.64","2.22","1.59","1.83","1.92","1.91","1.42","1.38","1.66","2.23","1.76"
"48044","Getxo","2.79","2.73","2.53","2.62","2.68","2.79","2.50","2.48","2.39","2.42","2.58"
"48047","Gizaburuaga","1.73","2.17","2.34","2.28","2.05","2.20","1.83","1.75","1.67","1.84","1.90"
"48042","Gordexola","3.73","4.07","4.64","4.52","4.74","4.15","4.17","3.75","2.50","2.30","1.99"
"48043","Gorliz","3.29","3.47","3.72","3.43","3.36","3.36","2.96","2.29","2.52","2.52","2.07"
"48045","Güeñes","4.40","5.93","3.82","2.57","1.72","2.44","2.08","1.92","2.00","2.44","2.45"
"01056","Harana/Valle de Arana","1.80","1.89","1.45","1.46","1.32","1.54","2.75","1.11","1.75","1.42","1.77"
"20040","Hernani","2.79","2.57","2.53","2.46","2.53","2.73","2.37","2.53","2.62","2.50","2.60"
"20041","Hernialde","1.39","2.74","2.41","1.69","2.00","3.20","1.40","1.12","1.56","1.21","1.29"
