"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","2.52","3.86","4.14","6.60","6.26","4.79","6.04","7.88","3.49","4.61","3.08","6.21","1.14","2.29"
"20001","Abaltzisketa","-12.23","18.24","-9.09","-12.23","-3.10","-6.17","3.12","-9.46","12.86","20.00","0.00","0.00","-3.56","-7.09"
"48002","Abanto y Ciérvana-Abanto Zierbena","-6.97","-3.21","-0.62","-1.03","-0.51","-0.41","0.41","1.25","0.73","1.77","-2.30","1.17","-0.11","-2.84"
"20002","Aduna","4.26","6.37","30.17","4.40","17.70","24.94","-2.41","12.85","10.72","2.71","8.33","-8.65","-2.92","0.00"
"20016","Aia","4.39","5.38","3.92","3.94","7.94","10.97","4.03","6.82","0.54","3.33","0.57","2.89","-4.76","-12.14"
"20003","Aizarnazabal","3.87","7.74","15.52","6.51","12.00","18.03","1.45","16.64","9.29","-1.60","3.22","13.25","-3.53","-1.85"
"48911","Ajangiz","-4.31","-2.17","0.00","0.00","-6.55","6.61","2.23","-6.74","-4.50","0.00","0.00","-2.31","-6.99","4.67"
"20004","Albiztur","9.23","3.09","15.38","15.67","22.29","-3.18","12.74","-3.19","3.25","6.71","-6.76","3.37","3.39","-3.44"
"20005","Alegia","-1.73","3.44","0.00","3.40","0.56","5.67","3.44","2.32","5.30","1.79","1.81","2.42","1.22","4.35"
"01001","Alegría-Dulantzi","4.18","6.54","7.59","6.97","8.11","15.95","7.50","20.83","17.18","14.69","15.57","13.61","11.03","13.91"
"20006","Alkiza","5.56","2.72","2.65","15.98","10.99","-5.63","2.82","5.68","20.90","0.00","16.08","6.76","14.18","14.81"
"48912","Alonsotegi","-2.45","-2.46","1.41","2.12","-0.35","0.71","2.47","-2.82","1.06","4.65","-3.98","-3.35","-8.71","-3.76"
"20906","Altzaga","0.00","5.85","18.18","0.00","37.27","6.25","0.00","31.45","0.00","12.90","12.99","13.25","7.09","-8.00"
"20007","Altzo","0.00","7.44","-7.41","0.00","4.90","4.98","-2.50","7.48","15.38","5.42","5.57","11.30","5.97","3.14"
"20008","Amezketa","1.06","-5.24","-1.03","1.03","4.11","-2.04","-1.01","8.11","-2.06","4.15","5.14","3.08","6.11","-3.04"
"48003","Amorebieta-Etxano","1.01","1.29","-0.27","2.42","3.60","2.99","1.40","1.80","0.29","0.99","1.65","1.02","2.48","0.37"
"48004","Amoroto","-2.39","-7.25","9.76","-7.43","0.00","0.00","-7.30","0.00","-12.29","2.48","-12.76","13.19","8.02","10.61"
"01002","Amurrio","2.73","2.34","2.36","0.49","1.59","1.40","0.10","0.00","1.11","0.31","-2.29","-1.26","-0.63","-1.46"
"20009","Andoain","0.41","1.09","2.12","1.64","3.75","3.00","3.95","3.50","4.54","4.74","1.64","0.36","0.51","0.86"
"20010","Anoeta","7.08","12.46","5.84","2.16","6.55","3.26","7.56","6.01","14.45","6.73","6.74","1.12","4.50","-6.28"
