"Udalerri kodea","Udalerria","2011","2001","1996","1991"
"48906","Forua","18.14","15.31","26.61","18.02"
"48035","Fruiz","7.33","3.53","16.13","21.62"
"20038","Gabiria","25.42","23.30","33.33","26.38"
"20037","Gaintza","26.67","31.25","38.46","28.57"
"48036","Galdakao","10.55","9.62","9.91","15.84"
"48037","Galdames","16.54","9.13","20.96","11.66"
"48038","Gamiz-Fika","13.32","13.51","29.05","1.13"
"48039","Garai","18.05","22.22","25.33","4.29"
"48040","Gatika","14.33","13.44","23.94","15.63"
"48041","Gautegiz Arteaga","10.97","5.89","40.09","23.58"
"20907","Gaztelu","19.48","11.76","20.00",NA
"48046","Gernika-Lumo","14.49","12.67","19.98","15.25"
"20039","Getaria","20.84","17.57","29.66","22.58"
"48044","Getxo","9.77","7.57","12.98","14.40"
"48047","Gizaburuaga","10.99","26.56","30.77","10.87"
"48042","Gordexola","21.79","24.72","26.03","21.12"
"48043","Gorliz","12.18","16.99","63.91","6.97"
"48045","Güeñes","14.48","15.79","17.09","19.50"
"01056","Harana/Valle de Arana","29.03","13.59","41.35","33.18"
"20040","Hernani","10.78","11.15","12.68","7.75"
"20041","Hernialde","12.21","13.64","20.00","9.18"
"20036","Hondarribia","8.65","4.97","29.82","9.44"
"20042","Ibarra","11.17","12.66","14.80","12.58"
"48048","Ibarrangelu","13.91","1.97","54.25","11.90"
"20043","Idiazabal","24.13","17.55","26.40","19.97"
"48094","Igorre","14.27","23.57","22.49","21.33"
"20044","Ikaztegieta","16.67","27.17","26.32","23.08"
"20045","Irun","10.18","10.76","14.31","14.27"
"20046","Irura","13.81","15.63","24.92","30.72"
"01027","Iruraiz-Gauna","22.01","25.00","37.24","7.18"
"01901","Iruña Oka/Iruña de Oca","18.53","11.80","32.14","12.64"
"48049","Ispaster","25.40","22.54","30.94","17.69"
"20047","Itsasondo","16.31","19.64","25.46","24.60"
"48910","Iurreta","13.22","10.98","13.37","14.49"
"48050","Izurtza","13.91","5.94","24.24","2.35"
"48022","Karrantza Harana/Valle de Carranza","23.00","26.67","34.23","18.92"
"48907","Kortezubi","18.18","18.83","31.85","16.23"
"01019","Kripan","28.23","16.52","32.26","13.98"
"01020","Kuartango","16.20","5.98","47.54","11.02"
"01028","Labastida/Bastida","12.07","2.85","65.28","3.05"
"01030","Lagrán","6.70","1.73","58.60","4.19"
"01031","Laguardia","21.08","10.51","40.22","13.19"
"01032","Lanciego/Lantziego","23.94","10.52","42.24","14.29"
"48051","Lanestosa","13.78","9.79","44.63","10.06"
"01902","Lantarón","26.56","29.37","48.21","7.44"
"01033","Lapuebla de Labarca","22.22","11.64","39.30","19.19"
"48052","Larrabetzu","17.12","24.13","25.71","20.95"
